Date,Open,High,Low,Close,Volume,Adj Close
2012-09-11,438.00,445.90,437.50,442.87,715800,442.87
2012-09-10,436.62,441.20,436.33,437.49,753400,437.49
2012-09-07,432.89,436.79,431.07,436.20,613500,436.20
2012-09-06,425.00,432.60,422.56,432.60,961700,432.60
2012-09-05,423.94,425.42,420.36,422.10,552600,422.10
2012-09-04,417.54,426.00,417.54,424.38,509100,424.38
2012-08-31,422.30,423.63,419.01,422.90,464900,422.90
2012-08-30,422.53,423.95,420.27,420.95,380100,420.95
2012-08-29,424.98,426.47,421.74,425.82,401100,425.82
2012-08-28,422.62,425.90,422.62,424.60,398300,424.60
2012-08-27,422.49,426.20,420.52,423.42,469900,423.42
2012-08-24,418.60,423.47,417.67,422.45,513000,422.45
2012-08-23,420.93,422.80,416.67,418.33,574400,418.33
2012-08-22,421.10,425.72,418.83,421.20,693100,421.20
2012-08-21,427.03,429.81,422.45,423.31,423200,423.31
2012-08-20,427.10,428.60,423.69,427.20,438400,427.20
2012-08-17,427.95,429.46,425.16,426.81,541600,426.81
2012-08-16,427.24,430.90,426.03,428.52,413400,428.52
2012-08-15,428.08,431.10,426.20,427.09,405000,427.09
2012-08-14,427.05,433.15,426.34,428.08,569600,428.08
2012-08-13,424.57,426.76,422.12,425.63,403900,425.63
2012-08-10,423.36,427.86,423.35,426.03,456500,426.03
2012-08-09,424.05,427.86,420.64,425.94,707400,425.94
2012-08-08,415.97,427.00,415.17,424.45,1010100,424.45
2012-08-07,421.29,422.85,413.18,416.40,1217900,416.40
2012-08-06,424.20,427.56,419.00,419.85,763700,419.85
2012-08-03,428.43,429.00,423.00,424.13,1028000,424.13
2012-08-02,425.77,429.08,418.10,423.43,1144400,423.43
2012-08-01,424.09,432.99,420.00,427.20,2172300,427.20
2012-07-31,443.02,443.26,433.16,436.57,1153000,436.57
2012-07-30,436.20,446.75,436.20,441.15,989700,441.15
2012-07-27,423.81,436.75,423.22,436.75,964400,436.75
2012-07-26,418.82,427.44,417.62,423.77,706100,423.77
2012-07-25,413.00,415.00,406.49,412.33,606900,412.33
2012-07-24,417.28,417.78,404.70,409.89,945700,409.89
2012-07-23,416.27,418.60,411.28,415.98,914700,415.98
2012-07-20,424.90,426.87,421.43,423.15,896300,423.15
2012-07-19,438.24,438.99,427.94,427.94,819500,427.94
2012-07-18,433.36,439.45,432.00,436.82,577500,436.82
2012-07-17,438.32,440.00,430.07,435.68,619200,435.68
2012-07-16,439.77,448.00,435.74,436.89,1747900,436.89
2012-07-13,425.22,430.25,423.96,429.60,608200,429.60
2012-07-12,416.05,426.58,414.47,424.25,764600,424.25
2012-07-11,418.95,420.31,412.84,419.89,628400,419.89
2012-07-10,431.80,436.43,420.12,420.25,821100,420.25
2012-07-09,434.33,434.98,423.30,431.27,1106400,431.27
2012-07-06,441.03,445.25,439.44,441.63,816400,441.63
2012-07-05,440.44,445.00,438.43,444.05,597200,444.05
2012-07-03,439.55,443.40,436.80,441.77,486300,441.47
2012-07-02,435.07,439.93,430.16,439.90,618000,439.60
2012-06-29,427.46,430.23,425.63,430.11,935100,429.82
2012-06-28,429.29,430.38,416.76,421.30,962900,421.01
2012-06-27,433.18,435.73,431.15,431.92,444600,431.63
2012-06-26,429.75,434.32,427.03,432.22,619800,431.93
2012-06-25,432.85,434.31,428.52,428.52,700000,428.23
2012-06-22,421.58,435.08,420.60,435.08,870600,434.78
2012-06-21,428.80,432.70,421.04,421.17,554400,420.88
2012-06-20,427.83,429.99,421.12,428.81,499900,428.52
2012-06-19,428.99,429.80,425.75,427.57,687700,427.28
2012-06-18,424.93,427.99,422.30,425.62,630700,425.33
2012-06-15,422.75,426.69,419.95,426.69,809300,426.40
2012-06-14,409.64,419.98,409.54,419.05,745200,418.77
2012-06-13,415.08,418.17,408.00,409.75,795600,409.47
2012-06-12,414.00,419.90,410.94,417.75,578800,417.47
2012-06-11,420.50,421.25,413.51,413.84,590500,413.56
2012-06-08,412.45,416.61,410.91,416.55,744100,416.27
2012-06-07,424.51,425.07,413.98,415.71,943800,415.43
2012-06-06,414.57,419.98,412.77,419.98,973300,419.69
2012-06-05,401.03,409.79,400.24,408.20,969300,407.92
2012-06-04,391.70,401.52,390.10,400.26,966700,399.99
2012-06-01,398.61,399.24,389.90,391.78,1123700,391.51
2012-05-31,412.30,412.99,399.01,406.51,1066200,406.23
2012-05-30,410.90,415.63,409.30,411.58,674300,411.30
2012-05-29,417.33,419.75,413.19,416.05,465800,415.77
2012-05-25,416.55,421.95,412.12,413.96,694800,413.68
2012-05-24,420.06,428.77,416.10,419.83,1081000,419.54
2012-05-23,411.15,417.14,406.57,417.09,875000,416.81
