Date,Open,High,Low,Close,Volume,Adj Close
2012-09-12,56.51,56.89,56.35,56.66,938400,56.66
2012-09-11,55.88,56.43,55.86,56.15,926100,56.15
2012-09-10,56.48,56.57,55.86,55.88,1073200,55.88
2012-09-07,56.03,56.67,56.00,56.47,774200,56.47
2012-09-06,54.95,56.15,54.92,56.01,992700,56.01
2012-09-05,54.48,54.79,54.22,54.38,965800,54.38
2012-09-04,54.87,55.30,54.39,54.61,924600,54.61
2012-08-31,55.00,55.45,54.49,54.91,849200,54.91
2012-08-30,54.06,54.85,53.73,54.55,897800,54.55
2012-08-29,54.61,54.95,54.35,54.45,706400,54.45
2012-08-28,54.05,54.84,53.93,54.47,969300,54.47
2012-08-27,55.25,55.32,54.06,54.15,1184100,54.15
2012-08-24,54.24,55.30,54.11,55.18,894000,55.18
2012-08-23,54.76,54.96,54.33,54.40,568200,54.40
2012-08-22,54.68,55.09,54.40,54.82,596200,54.82
2012-08-21,55.00,55.79,54.65,54.87,723200,54.87
2012-08-20,55.07,55.27,54.74,55.00,594800,55.00
2012-08-17,55.10,55.37,54.97,55.30,952900,55.30
2012-08-16,54.44,55.15,54.20,54.94,1257500,54.94
2012-08-15,54.26,54.51,54.05,54.39,819500,54.39
2012-08-14,54.76,54.85,54.20,54.34,946100,54.34
2012-08-13,54.25,54.52,53.97,54.32,806600,54.32
2012-08-10,54.16,54.61,53.98,54.50,777600,54.50
2012-08-09,54.30,54.72,53.98,54.37,1070300,54.37
2012-08-08,53.91,54.56,53.87,54.50,1106800,54.50
2012-08-07,53.19,54.77,53.09,54.25,1821400,54.25
2012-08-06,52.69,53.16,52.42,52.88,1154800,52.88
2012-08-03,51.89,52.80,51.78,52.63,1010800,52.63
2012-08-02,50.70,51.18,50.00,50.81,1146800,50.81
2012-08-01,51.95,52.09,51.26,51.32,1432000,51.32
2012-07-31,51.93,52.04,51.54,51.72,1653800,51.37
2012-07-30,52.42,52.91,52.11,52.23,1149500,51.88
2012-07-27,51.38,53.00,51.00,52.53,2294500,52.17
2012-07-26,49.33,50.97,49.31,50.76,2119100,50.42
2012-07-25,48.60,48.83,47.84,47.98,1756100,47.66
2012-07-24,49.10,49.10,47.96,48.47,1489500,48.14
2012-07-23,49.14,49.49,48.42,49.16,1705800,48.83
2012-07-20,51.32,51.48,50.26,50.30,1301000,49.96
2012-07-19,52.23,52.65,51.57,51.91,1355200,51.56
2012-07-18,51.23,52.61,50.94,52.15,1435400,51.80
2012-07-17,51.00,51.29,50.04,51.26,976700,50.91
2012-07-16,50.76,50.95,50.40,50.58,726900,50.24
2012-07-13,49.80,51.27,49.71,51.11,927300,50.76
2012-07-12,49.87,49.97,49.20,49.61,1101100,49.27
2012-07-11,50.24,50.65,49.85,50.45,1147500,50.11
2012-07-10,50.87,51.42,50.08,50.23,1607400,49.89
2012-07-09,50.91,50.95,50.12,50.39,1218700,50.05
2012-07-06,50.64,51.28,50.64,50.96,1174400,50.62
2012-07-05,51.97,52.13,51.38,51.43,1330600,51.08
2012-07-03,51.84,52.48,51.75,52.34,829300,51.99
2012-07-02,52.36,52.60,51.73,51.99,1447900,51.64
2012-06-29,52.27,52.36,51.88,52.26,1717100,51.91
2012-06-28,50.39,50.84,49.90,50.80,1033700,50.46
2012-06-27,49.97,50.91,49.83,50.70,1506100,50.36
2012-06-26,49.48,50.25,49.23,49.79,1504000,49.45
2012-06-25,50.01,50.01,48.78,49.44,1741500,49.11
2012-06-22,49.92,51.26,49.92,50.82,2671100,50.48
2012-06-21,51.32,51.42,49.58,49.63,1849500,49.29
2012-06-20,50.82,51.89,50.69,51.14,2303700,50.79
2012-06-19,49.89,50.99,49.62,50.70,1916000,50.36
2012-06-18,49.35,49.72,49.06,49.65,1218500,49.31
2012-06-15,48.08,49.78,48.08,49.75,2639900,49.41
2012-06-14,47.45,48.05,47.31,47.92,1617600,47.60
2012-06-13,48.03,48.08,47.06,47.24,1981100,46.92
2012-06-12,47.97,48.36,47.44,48.33,1640500,48.00
2012-06-11,49.28,49.28,47.51,47.57,1465900,47.25
2012-06-08,48.00,48.71,47.37,48.53,1567200,48.20
2012-06-07,49.37,49.69,48.18,48.26,2031500,47.93
2012-06-06,46.87,48.37,46.77,48.37,1633000,48.04
2012-06-05,45.27,46.77,45.17,46.57,1673600,46.25
2012-06-04,46.11,46.39,45.26,45.46,1490800,45.15
2012-06-01,46.70,46.75,45.78,45.81,2359500,45.50
2012-05-31,47.83,48.37,47.16,47.92,2129100,47.60
2012-05-30,47.84,48.15,47.72,47.92,1913700,47.60
2012-05-29,48.12,48.53,48.00,48.40,1089400,48.07
2012-05-25,47.80,48.33,47.68,47.78,1482700,47.46
2012-05-24,47.63,47.93,47.14,47.90,1741100,47.58
2012-05-23,46.81,47.48,46.42,47.32,1881200,47.00
2012-05-22,47.80,48.39,47.00,47.31,1516300,46.99
2012-05-21,46.47,47.51,46.15,47.50,1396300,47.18
2012-05-18,47.52,47.75,46.32,46.41,1672600,46.10
2012-05-17,47.81,48.04,47.19,47.20,1933400,46.88
2012-05-16,49.46,49.64,47.82,47.85,1982100,47.53
2012-05-15,49.59,50.01,49.11,49.18,1113200,48.85
2012-05-14,49.57,50.28,49.35,49.66,1761400,49.32
2012-05-11,50.17,51.03,49.71,50.47,1008900,50.13
2012-05-10,50.99,51.52,50.62,50.78,968400,50.44
2012-05-09,50.63,51.14,50.32,50.60,1868500,50.26
2012-05-08,51.60,51.93,50.90,51.51,1746400,51.16
2012-05-07,51.70,52.23,51.43,52.07,1500000,51.72
2012-05-04,52.39,52.61,51.20,52.00,1898300,51.65
2012-05-03,53.44,53.55,52.54,52.80,1806200,52.44
2012-05-02,53.68,53.80,53.07,53.41,1625600,53.05
2012-05-01,53.96,55.00,53.96,54.26,1468500,53.55
2012-04-30,54.10,54.48,53.88,54.21,1008100,53.50
2012-04-27,54.29,54.55,53.74,54.08,1474700,53.37
2012-04-26,53.47,54.49,53.26,54.25,1760500,53.54
2012-04-25,53.01,53.70,52.85,53.60,1919200,52.89
2012-04-24,52.42,52.89,51.46,52.45,3336900,51.76
2012-04-23,52.44,53.13,51.95,52.84,2110600,52.14
2012-04-20,53.82,54.11,53.29,53.45,1607300,52.75
2012-04-19,53.88,54.24,53.05,53.56,1921800,52.85
2012-04-18,54.66,54.85,53.90,53.96,1522100,53.25
2012-04-17,54.22,55.49,54.15,55.17,1541800,54.44
2012-04-16,53.50,53.91,53.19,53.64,1518500,52.93
2012-04-13,54.42,54.45,53.13,53.13,1649500,52.43
2012-04-12,54.08,54.89,54.03,54.73,1768000,54.01
2012-04-11,54.18,54.81,53.74,53.85,1461900,53.14
2012-04-10,54.45,54.74,53.17,53.22,1825900,52.52
2012-04-09,54.27,54.78,54.23,54.46,1579000,53.74
2012-04-05,55.58,55.95,55.00,55.53,1767500,54.80
2012-04-04,56.30,56.71,55.92,56.07,1263600,55.33
