Date,Open,High,Low,Close,Volume,Adj Close 
2012-10-30,115.567234236,115.567234236,115.567234236,115.567234236,115.567234236,115.567234236
2012-10-29,101.335780932,101.335780932,101.335780932,101.335780932,101.335780932,101.335780932
2012-10-26,101.672407615,101.672407615,101.672407615,101.672407615,101.672407615,101.672407615
2012-10-25,113.787640784,113.787640784,113.787640784,113.787640784,113.787640784,113.787640784
2012-10-24,95.6891004559,95.6891004559,95.6891004559,95.6891004559,95.6891004559,95.6891004559
2012-10-23,108.885403158,108.885403158,108.885403158,108.885403158,108.885403158,108.885403158
2012-10-22,104.457999833,104.457999833,104.457999833,104.457999833,104.457999833,104.457999833
2012-10-19,83.7184095001,83.7184095001,83.7184095001,83.7184095001,83.7184095001,83.7184095001
2012-10-18,105.137693089,105.137693089,105.137693089,105.137693089,105.137693089,105.137693089
2012-10-17,103.384057286,103.384057286,103.384057286,103.384057286,103.384057286,103.384057286
2012-10-16,97.1080469984,97.1080469984,97.1080469984,97.1080469984,97.1080469984,97.1080469984
2012-10-15,102.88631935,102.88631935,102.88631935,102.88631935,102.88631935,102.88631935
2012-10-12,91.802242377,91.802242377,91.802242377,91.802242377,91.802242377,91.802242377
2012-10-11,107.873335451,107.873335451,107.873335451,107.873335451,107.873335451,107.873335451
2012-10-10,100.057062317,100.057062317,100.057062317,100.057062317,100.057062317,100.057062317
2012-10-09,84.7781211265,84.7781211265,84.7781211265,84.7781211265,84.7781211265,84.7781211265
2012-10-08,104.270843278,104.270843278,104.270843278,104.270843278,104.270843278,104.270843278
2012-10-05,83.5891588808,83.5891588808,83.5891588808,83.5891588808,83.5891588808,83.5891588808
2012-10-04,119.202828633,119.202828633,119.202828633,119.202828633,119.202828633,119.202828633
2012-10-03,91.3622656652,91.3622656652,91.3622656652,91.3622656652,91.3622656652,91.3622656652
2012-10-02,103.561500104,103.561500104,103.561500104,103.561500104,103.561500104,103.561500104
2012-10-01,107.677954383,107.677954383,107.677954383,107.677954383,107.677954383,107.677954383
2012-09-28,94.7621662739,94.7621662739,94.7621662739,94.7621662739,94.7621662739,94.7621662739
2012-09-27,100.040707618,100.040707618,100.040707618,100.040707618,100.040707618,100.040707618
2012-09-26,98.5909939314,98.5909939314,98.5909939314,98.5909939314,98.5909939314,98.5909939314
2012-09-25,98.973220644,98.973220644,98.973220644,98.973220644,98.973220644,98.973220644
2012-09-24,89.0329432681,89.0329432681,89.0329432681,89.0329432681,89.0329432681,89.0329432681
2012-09-21,96.6104407114,96.6104407114,96.6104407114,96.6104407114,96.6104407114,96.6104407114
2012-09-20,101.989629817,101.989629817,101.989629817,101.989629817,101.989629817,101.989629817
2012-09-19,109.040112326,109.040112326,109.040112326,109.040112326,109.040112326,109.040112326
2012-09-18,110.352970957,110.352970957,110.352970957,110.352970957,110.352970957,110.352970957
2012-09-17,104.191547177,104.191547177,104.191547177,104.191547177,104.191547177,104.191547177
2012-09-14,117.158904472,117.158904472,117.158904472,117.158904472,117.158904472,117.158904472
2012-09-13,97.9084884609,97.9084884609,97.9084884609,97.9084884609,97.9084884609,97.9084884609
