Ticker,Date,Open,High,Low,Close,Volume,Open Interest
AAM-199501,19940516,9.00000,9.00000,8.25000,8.25000,119800,8.25000
AAM-199501,19940517,8.00000,8.00000,7.37500,7.50000,51300,7.50000
AAM-199501,19940518,7.37500,7.87500,7.37500,7.87500,21500,7.87500
AAM-199501,19940519,7.62500,8.00000,7.25000,8.00000,48100,8.00000
AAM-199501,19940520,8.00000,8.00000,7.62500,8.00000,63300,8.00000
AAM-199501,19940523,8.00000,8.00000,7.75000,7.87500,38900,7.87500
AAM-199501,19940524,7.75000,7.75000,7.50000,7.50000,7800,7.50000
AAM-199501,19940525,7.37500,7.37500,6.75000,7.12500,133200,7.12500
AAM-199501,19940526,7.00000,7.00000,6.87500,7.00000,16100,7.00000
AAM-199501,19940527,6.87500,6.87500,6.75000,6.75000,4000,6.75000
AAM-199501,19940531,7.00000,7.00000,6.62500,6.62500,8600,6.62500
AAM-199501,19940601,6.50000,6.50000,6.12500,6.25000,8500,6.25000
AAM-199501,19940602,6.12500,6.50000,6.00000,6.50000,26600,6.50000
AAM-199501,19940603,6.62500,6.75000,6.50000,6.62500,9900,6.62500
AAM-199501,19940606,6.75000,7.00000,6.37500,6.50000,14100,6.50000
AAM-199501,19940607,6.62500,6.62500,6.25000,6.62500,18300,6.62500
AAM-199501,19940608,6.50000,6.50000,6.25000,6.25000,3000,6.25000
AAM-199501,19940609,6.25000,6.25000,5.62500,5.87500,21600,5.87500
AAM-199501,19940610,6.00000,6.25000,5.87500,6.25000,10900,6.25000
AAM-199501,19940613,6.12500,6.37500,6.12500,6.37500,14300,6.37500
AAM-199501,19940614,6.25000,6.25000,5.87500,6.25000,32100,6.25000
AAM-199501,19940615,6.25000,6.62500,6.25000,6.25000,10400,6.25000
AAM-199501,19940616,6.25000,6.25000,6.00000,6.25000,14300,6.25000
AAM-199501,19940617,6.00000,6.25000,6.00000,6.25000,6300,6.25000
AAM-199501,19940620,6.00000,6.12500,6.00000,6.00000,9900,6.00000
AAM-199501,19940621,6.12500,6.37500,5.87500,5.87500,19500,5.87500
AAM-199501,19940622,6.00000,6.00000,5.87500,6.00000,4500,6.00000
AAM-199501,19940623,6.00000,6.37500,5.75000,6.37500,31700,6.37500
AAM-199501,19940624,6.12500,6.25000,6.12500,6.25000,7000,6.25000
AAM-199501,19940627,6.12500,6.12500,5.87500,5.87500,2700,5.87500
AAM-199501,19940628,5.87500,5.87500,5.75000,5.75000,5000,5.75000
AAM-199501,19940629,5.62500,5.62500,5.62500,5.62500,800,5.62500
AAM-199501,19940630,5.75000,5.75000,5.25000,5.25000,12300,5.25000
AAM-199501,19940701,5.12500,5.25000,5.12500,5.12500,4700,5.12500
AAM-199501,19940705,5.25000,5.25000,5.12500,5.25000,7700,5.25000
AAM-199501,19940706,5.25000,5.50000,5.25000,5.37500,8100,5.37500
AAM-199501,19940707,5.25000,5.25000,5.25000,5.25000,1000,5.25000
AAM-199501,19940708,5.50000,5.50000,5.50000,5.50000,1600,5.50000
AAM-199501,19940711,5.25000,5.25000,5.00000,5.12500,5600,5.12500
AAM-199501,19940712,5.00000,5.12500,5.00000,5.12500,2400,5.12500
AAM-199501,19940713,5.00000,5.00000,5.00000,5.00000,1000,5.00000
AAM-199501,19940714,5.00000,5.12500,4.87500,5.00000,8700,5.00000
AAM-199501,19940715,5.00000,5.00000,5.00000,5.00000,2000,5.00000
AAM-199501,19940718,5.12500,5.12500,5.12500,5.12500,2800,5.12500
AAM-199501,19940719,5.00000,5.00000,5.00000,5.00000,500,5.00000
AAM-199501,19940720,5.00000,5.00000,4.87500,4.87500,1400,4.87500
AAM-199501,19940721,4.87500,5.25000,4.87500,5.12500,8300,5.12500
AAM-199501,19940722,5.00000,5.00000,5.00000,5.00000,3800,5.00000
AAM-199501,19940726,5.12500,5.12500,4.87500,5.00000,1500,5.00000
AAM-199501,19940727,5.00000,5.37500,5.00000,5.37500,15400,5.37500
AAM-199501,19940728,5.37500,5.37500,4.87500,5.25000,13500,5.25000
AAM-199501,19940729,5.37500,5.50000,5.25000,5.50000,25500,5.50000
