Ticker,Date,Open,High,Low,Close,Volume,Open Interest
ABPA-201012,20050114,6.25000,6.50000,5.75000,6.00000,98596,6.00000
ABPA-201012,20050118,6.25000,6.25000,5.75000,5.99000,13300,5.99000
ABPA-201012,20050119,6.00000,6.00000,5.75000,5.75000,27700,5.75000
ABPA-201012,20050120,5.75000,6.00000,5.75000,5.89000,12400,5.89000
ABPA-201012,20050121,5.90001,6.00000,5.75000,5.90001,13900,5.90001
ABPA-201012,20050124,5.90001,6.50000,5.75000,5.90001,5100,5.90001
ABPA-201012,20050125,6.50000,6.50000,5.75000,6.05001,37526,6.05001
ABPA-201012,20050126,5.85000,6.25000,5.85000,6.20000,14750,6.20000
ABPA-201012,20050127,6.25000,6.25000,5.85000,6.15001,2910,6.15001
ABPA-201012,20050128,5.80001,6.25000,5.80001,6.24000,17250,6.24000
ABPA-201012,20050131,6.00000,6.00000,6.00000,6.00000,6500,6.00000
ABPA-201012,20050201,6.24000,6.24000,5.85000,5.85000,34450,5.85000
ABPA-201012,20050204,5.80001,6.00000,5.80001,6.00000,14676,6.00000
ABPA-201012,20050207,5.90001,5.90001,5.90001,5.90001,500,5.90001
ABPA-201012,20050208,5.90001,5.90001,5.75000,5.75000,1250,5.75000
ABPA-201012,20050209,5.90001,6.20000,5.75000,6.09001,10090,6.09001
ABPA-201012,20050210,5.90001,6.20000,5.80001,5.80001,4500,5.80001
ABPA-201012,20050211,5.80001,6.25000,5.80001,5.99000,12650,5.99000
ABPA-201012,20050214,5.85000,6.10000,5.75000,5.80001,12600,5.80001
ABPA-201012,20050215,6.00000,6.00000,5.75000,5.80001,31900,5.80001
ABPA-201012,20050216,5.85000,5.85000,5.75000,5.85000,9100,5.85000
ABPA-201012,20050217,5.80001,5.80001,5.80001,5.80001,1000,5.80001
ABPA-201012,20050218,5.80001,5.95000,5.75000,5.90001,18000,5.90001
ABPA-201012,20050222,5.75000,5.95000,5.75000,5.75000,56000,5.75000
ABPA-201012,20050223,5.75000,5.85000,5.65001,5.75000,45200,5.75000
ABPA-201012,20050224,5.65001,5.65001,5.65001,5.65001,1000,5.65001
ABPA-201012,20050225,5.60000,5.70000,5.50000,5.65001,45000,5.65001
ABPA-201012,20050228,5.75000,5.75000,5.60000,5.60000,11000,5.60000
ABPA-201012,20050301,5.55001,5.55001,5.50000,5.50000,3000,5.50000
ABPA-201012,20050303,5.50000,5.60000,5.50000,5.58000,2700,5.58000
ABPA-201012,20050304,5.60000,5.70000,5.50000,5.50000,19500,5.50000
ABPA-201012,20050307,5.70000,5.99000,5.70000,5.70000,21000,5.70000
ABPA-201012,20050308,5.70000,5.85000,5.60000,5.60000,26400,5.60000
ABPA-201012,20050309,5.60000,5.60000,5.55001,5.55001,1400,5.55001
ABPA-201012,20050310,5.55001,5.70000,5.55001,5.70000,34400,5.70000
ABPA-201012,20050311,5.70000,5.75000,5.70000,5.75000,15500,5.75000
ABPA-201012,20050314,5.55001,5.55001,5.55001,5.55001,3600,5.55001
ABPA-201012,20050315,5.56000,5.95000,5.55001,5.75000,47300,5.75000
ABPA-201012,20050316,5.60000,5.75000,5.60000,5.75000,4400,5.75000
ABPA-201012,20050317,5.60000,5.65001,5.55001,5.65001,17200,5.65001
ABPA-201012,20050318,5.50000,5.65001,5.50000,5.65001,19600,5.65001
ABPA-201012,20050321,5.65001,5.65001,5.50000,5.50000,42300,5.50000
ABPA-201012,20050322,5.50000,5.60000,5.50000,5.50000,14000,5.50000
ABPA-201012,20050323,5.50000,5.60000,5.30001,5.60000,26900,5.60000
ABPA-201012,20050324,5.50000,5.60000,5.30001,5.55001,27200,5.55001
ABPA-201012,20050328,5.60000,5.60000,5.35000,5.60000,22700,5.60000
ABPA-201012,20050329,5.60000,5.60000,5.35000,5.35000,22600,5.35000
ABPA-201012,20050330,5.50000,5.50000,5.35000,5.35000,2400,5.35000
ABPA-201012,20050331,5.40001,5.40001,5.40001,5.40001,1300,5.40001
ABPA-201012,20050404,5.40001,5.40001,5.40001,5.40001,1000,5.40001
ABPA-201012,20050405,5.35000,5.50000,5.35000,5.50000,3600,5.50000
ABPA-201012,20050407,5.35000,5.55001,5.35000,5.55001,4900,5.55001
ABPA-201012,20050408,5.50000,5.75000,5.45000,5.50000,9800,5.50000
ABPA-201012,20050411,5.55001,5.70000,5.47000,5.70000,20300,5.70000
ABPA-201012,20050412,5.50000,5.65001,5.50000,5.65001,19000,5.65001
ABPA-201012,20050413,5.60000,5.60000,5.35000,5.36001,40500,5.36001
ABPA-201012,20050414,5.41000,5.41000,5.30001,5.30001,4000,5.30001
ABPA-201012,20050415,5.30001,5.50000,5.20000,5.20000,4500,5.20000
ABPA-201012,20050418,5.18000,5.50000,5.18000,5.45000,14900,5.45000
ABPA-201012,20050419,5.40001,5.45000,5.40001,5.45000,4100,5.45000
ABPA-201012,20050420,5.45000,5.45000,5.45000,5.45000,2500,5.45000
ABPA-201012,20050421,5.35000,5.35000,5.05001,5.05001,1000,5.05001
ABPA-201012,20050422,5.30001,5.30001,5.25000,5.25000,15100,5.25000
ABPA-201012,20050425,5.25000,5.25000,5.25000,5.25000,2500,5.25000
ABPA-201012,20050426,5.25000,5.25000,5.05001,5.05001,5200,5.05001
ABPA-201012,20050427,5.05001,5.30001,5.05001,5.30001,2200,5.30001
ABPA-201012,20050429,5.30001,5.30001,5.30001,5.30001,300,5.30001
ABPA-201012,20050502,5.05001,5.45000,5.05001,5.25000,10600,5.25000
ABPA-201012,20050503,5.14000,5.35000,5.14000,5.15001,18500,5.15001
ABPA-201012,20050504,5.15001,5.35000,5.15001,5.35000,2200,5.35000
ABPA-201012,20050505,5.40001,5.40001,5.25000,5.25000,3000,5.25000
ABPA-201012,20050506,5.45000,5.45000,5.30001,5.35000,3600,5.35000
ABPA-201012,20050509,5.35000,5.35000,5.35000,5.35000,5000,5.35000
ABPA-201012,20050510,5.30001,5.30001,5.30001,5.30001,500,5.30001
ABPA-201012,20050511,5.15001,5.30001,5.15001,5.30001,1200,5.30001
ABPA-201012,20050512,5.35000,5.35000,5.25000,5.30001,18200,5.30001
ABPA-201012,20050513,5.30001,5.30001,5.30001,5.30001,1500,5.30001
ABPA-201012,20050516,5.50000,5.50000,5.30001,5.40001,29800,5.40001
ABPA-201012,20050517,5.40001,5.50000,5.40001,5.40001,1600,5.40001
ABPA-201012,20050518,5.35000,5.60000,5.35000,5.60000,26500,5.60000
ABPA-201012,20050519,5.50000,5.55001,5.50000,5.55001,5600,5.55001
ABPA-201012,20050520,5.50000,5.60000,5.50000,5.50000,8000,5.50000
ABPA-201012,20050523,5.50000,5.60000,5.50000,5.50000,800,5.50000
ABPA-201012,20050524,5.55001,5.60000,5.55001,5.55001,12400,5.55001
ABPA-201012,20050525,5.65001,5.75000,5.55001,5.75000,53200,5.75000
ABPA-201012,20050526,5.75000,5.75000,5.60000,5.70000,3900,5.70000
ABPA-201012,20050527,5.85000,5.85000,5.60000,5.75000,40800,5.75000
ABPA-201012,20050531,5.80001,5.80001,5.65001,5.75000,3400,5.75000
ABPA-201012,20050601,5.65001,5.65001,5.65001,5.65001,4400,5.65001
ABPA-201012,20050602,5.70000,5.80001,5.70000,5.80001,7600,5.80001
ABPA-201012,20050603,5.70000,5.78001,5.70000,5.78001,2100,5.78001
ABPA-201012,20050606,5.65001,5.70000,5.65001,5.65001,5800,5.65001
ABPA-201012,20050607,5.65001,5.90001,5.65001,5.80001,66400,5.80001
ABPA-201012,20050608,5.70000,5.70000,5.70000,5.70000,5400,5.70000
ABPA-201012,20050610,5.65001,5.85000,5.65001,5.65001,10500,5.65001
ABPA-201012,20050613,5.70000,5.80001,5.70000,5.80001,3500,5.80001
ABPA-201012,20050614,5.65001,5.65001,5.65001,5.65001,1500,5.65001
ABPA-201012,20050615,5.65001,5.65001,5.65001,5.65001,2300,5.65001
ABPA-201012,20050616,5.80001,5.95000,5.65001,5.65001,5100,5.65001
ABPA-201012,20050617,5.65001,5.65001,5.65001,5.65001,5000,5.65001
ABPA-201012,20050620,5.75000,5.75000,5.70000,5.70000,1500,5.70000
ABPA-201012,20050621,5.65001,5.65001,5.65001,5.65001,1300,5.65001
ABPA-201012,20050622,5.65001,5.65001,5.65001,5.65001,3000,5.65001
ABPA-201012,20050623,5.65001,5.80001,5.65001,5.74000,5500,5.74000
ABPA-201012,20050624,5.74000,5.74000,5.65001,5.65001,900,5.65001
ABPA-201012,20050627,5.74000,5.90001,5.70000,5.75000,19100,5.75000
ABPA-201012,20050628,5.65001,5.75000,5.65001,5.70000,8200,5.70000
ABPA-201012,20050629,5.90001,5.90001,5.65001,5.65001,2200,5.65001
ABPA-201012,20050706,5.75000,5.80001,5.65001,5.65001,23600,5.65001
ABPA-201012,20050707,5.80001,5.80001,5.80001,5.80001,3700,5.80001
ABPA-201012,20050708,5.70000,5.70000,5.70000,5.70000,4000,5.70000
ABPA-201012,20050711,5.65001,5.65001,5.65001,5.65001,4000,5.65001
ABPA-201012,20050712,5.75000,5.75000,5.60000,5.68000,7800,5.68000
ABPA-201012,20050714,5.65001,5.68000,5.65001,5.68000,4500,5.68000
ABPA-201012,20050715,5.75000,5.80001,5.65001,5.75000,16000,5.75000
ABPA-201012,20050718,5.65001,5.79000,5.65001,5.79000,5000,5.79000
ABPA-201012,20050719,5.65001,5.79000,5.65001,5.79000,6200,5.79000
ABPA-201012,20050720,5.70000,5.85000,5.70000,5.85000,4800,5.85000
ABPA-201012,20050721,5.65001,5.84001,5.65001,5.75000,17000,5.75000
ABPA-201012,20050722,5.95000,5.95000,5.65001,5.65001,15000,5.65001
ABPA-201012,20050725,5.65001,5.80001,5.65001,5.80001,12500,5.80001
ABPA-201012,20050726,5.65001,5.80001,5.65001,5.80001,26500,5.80001
ABPA-201012,20050729,5.65001,5.75000,5.65001,5.75000,9500,5.75000
