Ticker,Date,Open,High,Low,Close,Volume,Open Interest
ACIG-199103,19821101,8.18620,8.18620,8.07919,8.07919,61089,18.87500
ACIG-199103,19821102,8.18620,8.29321,8.07919,8.23971,166458,19.25000
ACIG-199103,19821103,8.29321,8.45372,8.13270,8.18620,131333,19.12500
ACIG-199103,19821104,8.13270,8.29321,7.97218,8.13270,111229,19.00000
ACIG-199103,19821105,8.23971,8.40022,8.02569,8.29321,99058,19.37500
ACIG-199103,19821108,8.34671,8.40022,8.23971,8.34671,92166,19.50000
ACIG-199103,19821109,8.45372,8.61424,8.23971,8.56073,170956,20.00000
ACIG-199103,19821110,9.41681,9.79134,8.98877,9.57732,847167,22.37500
ACIG-199103,19821111,9.47031,10.11237,9.47031,10.11237,417122,23.62500
ACIG-199103,19821112,10.16587,10.37989,9.89835,9.95185,329750,23.25000
ACIG-199103,19821115,9.73783,9.95185,9.47031,9.84484,317170,23.00000
ACIG-199103,19821116,9.52381,9.73783,9.30980,9.63082,171248,22.50000
ACIG-199103,19821117,9.63082,9.73783,9.47031,9.57732,105727,22.37500
ACIG-199103,19821118,9.79134,9.79134,9.41681,9.41681,98649,22.00000
ACIG-199103,19821119,9.41681,9.73783,9.14928,9.30980,82477,21.75000
ACIG-199103,19821122,9.30980,9.30980,8.98877,8.98877,56500,21.00000
ACIG-199103,19821123,9.04227,9.04227,8.82825,8.82825,87084,20.62500
ACIG-199103,19821124,9.09578,9.36330,8.88176,9.25629,169963,21.62500
ACIG-199103,19821126,9.47031,9.79134,9.14928,9.73783,174110,22.75000
ACIG-199103,19821129,9.79134,9.79134,9.52381,9.52381,41569,22.25000
ACIG-199103,19821130,9.47031,9.84484,9.47031,9.84484,31517,23.00000
ACIG-199103,19830103,8.23971,8.34671,8.18620,8.23971,80685,19.25000
ACIG-199103,19830104,8.13270,8.23971,8.13270,8.23971,28736,19.25000
ACIG-199103,19830105,8.18620,8.66774,8.18620,8.66774,93194,20.25000
ACIG-199103,19830106,9.30980,9.89835,8.66774,9.52381,307801,22.25000
ACIG-199103,19830107,9.95185,9.95185,9.30980,9.30980,138423,21.75000
ACIG-199103,19830110,9.30980,9.57732,9.30980,9.57732,65607,22.37500
ACIG-199103,19830111,9.63082,9.63082,9.36330,9.36330,57589,21.87500
ACIG-199103,19830112,9.30980,9.47031,9.30980,9.47031,43455,22.12500
ACIG-199103,19830113,9.47031,9.47031,9.36330,9.36330,23013,21.87500
ACIG-199103,19830114,9.41681,9.47031,9.30980,9.36330,74200,21.87500
ACIG-199103,19830117,9.30980,9.41681,9.30980,9.41681,47197,22.00000
ACIG-199103,19830118,9.52381,9.73783,9.30980,9.63082,74550,22.50000
ACIG-199103,19830119,9.73783,9.79134,9.63082,9.73783,77307,22.75000
ACIG-199103,19830120,9.63082,9.68433,9.57732,9.63082,28736,22.50000
ACIG-199103,19830121,9.63082,9.68433,9.52381,9.57732,26984,22.37500
ACIG-199103,19830124,9.25629,9.57732,8.93526,9.04227,61327,21.12500
ACIG-199103,19830125,9.20279,9.47031,8.88176,9.41681,135386,22.00000
ACIG-199103,19830126,9.30980,9.41681,9.25629,9.30980,53617,21.75000
ACIG-199103,19830127,9.30980,9.41681,9.20279,9.36330,49809,21.87500
ACIG-199103,19830128,9.30980,9.68433,9.30980,9.68433,28970,22.62500
ACIG-199103,19830131,9.30980,9.30980,8.93526,8.93526,27171,20.87500
ACIG-199103,19830201,8.98877,9.09578,8.98877,9.09578,108952,21.25000
ACIG-199103,19830202,8.93526,9.09578,8.93526,9.09578,18223,21.25000
ACIG-199103,19830203,9.09578,9.14928,9.04227,9.09578,43794,21.25000
ACIG-199103,19830204,9.20279,9.20279,9.09578,9.09578,52332,21.25000
ACIG-199103,19830207,9.09578,9.09578,8.61424,8.61424,79959,20.12500
ACIG-199103,19830208,8.77475,8.93526,8.61424,8.72125,109886,20.37500
ACIG-199103,19830209,8.66774,8.98877,8.66774,8.98877,52589,21.00000
ACIG-199103,19830210,9.14928,9.30980,8.98877,9.25629,148820,21.62500
ACIG-199103,19830211,9.36330,9.36330,9.20279,9.20279,46277,21.50000
ACIG-199103,19830214,9.25629,9.36330,9.14928,9.25629,33633,21.62500
ACIG-199103,19830215,9.41681,9.41681,9.25629,9.25629,93275,21.62500
ACIG-199103,19830216,9.41681,9.41681,9.25629,9.25629,40616,21.62500
ACIG-199103,19830217,9.25629,9.36330,9.25629,9.36330,63944,21.87500
ACIG-199103,19830218,9.41681,9.47031,9.30980,9.36330,55370,21.87500
ACIG-199103,19830222,9.36330,9.47031,9.25629,9.36330,126324,21.87500
ACIG-199103,19830223,9.25629,9.36330,9.25629,9.36330,30956,21.87500
ACIG-199103,19830224,9.30980,9.41681,9.25629,9.30980,91465,21.75000
ACIG-199103,19830225,9.25629,9.36330,9.14928,9.20279,103730,21.50000
ACIG-199103,19830228,9.04227,9.52381,9.04227,9.52381,189307,22.25000
ACIG-199103,19830301,9.89835,10.37989,9.41681,10.00536,384064,23.37500
ACIG-199103,19830302,10.05886,10.37989,9.73783,9.79134,180207,22.87500
ACIG-199103,19830303,10.05886,10.05886,9.20279,9.20279,398658,21.50000
ACIG-199103,19830304,9.57732,9.95185,9.20279,9.84484,276028,23.00000
ACIG-199103,19830307,9.25629,10.11237,9.25629,10.11237,295069,23.62500
ACIG-199103,19830308,9.79134,10.11237,9.47031,9.63082,115446,22.50000
ACIG-199103,19830309,9.30980,9.73783,9.30980,9.73783,85215,22.75000
ACIG-199103,19830310,10.05886,10.05886,9.57732,9.57732,166061,22.37500
ACIG-199103,19830311,9.63082,9.79134,9.47031,9.73783,124354,22.75000
ACIG-199103,19830314,9.73783,9.73783,9.47031,9.47031,34811,22.12500
ACIG-199103,19830315,9.63082,9.63082,9.47031,9.47031,64937,22.12500
ACIG-199103,19830316,9.63082,9.79134,9.47031,9.73783,119266,22.75000
ACIG-199103,19830317,9.68433,9.79134,9.57732,9.63082,57215,22.50000
ACIG-199103,19830318,9.57732,9.84484,9.57732,9.84484,62301,23.00000
ACIG-199103,19830321,9.68433,9.79134,9.68433,9.79134,20197,22.87500
ACIG-199103,19830322,9.84484,9.89835,9.73783,9.84484,40341,23.00000
ACIG-199103,19830323,9.84484,9.89835,9.73783,9.79134,64247,22.87500
ACIG-199103,19830324,9.73783,9.89835,9.57732,9.73783,40978,22.75000
ACIG-199103,19830325,9.79134,9.79134,9.63082,9.63082,37848,22.50000
ACIG-199103,19830328,9.63082,9.79134,9.47031,9.68433,67247,22.62500
ACIG-199103,19830329,9.68433,9.68433,9.52381,9.52381,42988,22.25000
ACIG-199103,19830330,9.84484,10.16587,9.52381,10.11237,193068,23.62500
ACIG-199103,19830331,10.37989,10.59391,10.11237,10.37989,306587,24.25000
ACIG-199103,19830404,10.16587,10.37989,9.95185,10.21937,72424,23.87500
ACIG-199103,19830405,10.32638,10.32638,10.16587,10.16587,75461,23.75000
ACIG-199103,19830406,10.05886,10.21937,9.84484,10.00536,49459,23.37500
ACIG-199103,19830407,9.95185,10.11237,9.84484,10.00536,45557,23.37500
ACIG-199103,19830408,10.16587,10.16587,10.00536,10.00536,24298,23.37500
ACIG-199103,19830411,10.11237,10.11237,9.89835,9.89835,31657,23.12500
ACIG-199103,19830412,10.05886,10.21937,9.89835,10.16587,58033,23.75000
ACIG-199103,19830413,10.16587,10.32638,10.05886,10.16587,117864,23.75000
ACIG-199103,19830414,10.16587,10.27288,10.11237,10.21937,56479,23.87500
ACIG-199103,19830415,10.54040,10.86143,10.21937,10.75442,237684,25.12500
ACIG-199103,19830418,10.80792,10.96844,10.70091,10.75442,294746,25.12500
ACIG-199103,19830419,10.80792,10.96844,10.70091,10.80792,189587,25.25000
ACIG-199103,19830420,10.75442,10.91493,10.75442,10.91493,45090,25.50000
ACIG-199103,19830421,10.86143,11.12895,10.86143,11.12895,160489,26.00000
ACIG-199103,19830422,11.02194,11.12895,10.96844,11.02194,53828,25.75000
ACIG-199103,19830425,11.34297,11.61049,11.07545,11.44998,133225,26.75000
ACIG-199103,19830426,11.44998,11.55699,11.34297,11.44998,127125,26.75000
ACIG-199103,19830427,11.50348,11.50348,11.28946,11.28946,27685,26.37500
ACIG-199103,19830428,11.34297,11.44998,11.23596,11.34297,90413,26.50000
ACIG-199103,19830429,11.23596,11.34297,11.07545,11.12895,46842,26.00000
ACIG-199103,19830502,10.91493,11.12895,10.64741,10.80792,49529,25.25000
ACIG-199103,19830503,10.70091,10.86143,10.70091,10.86143,51188,25.37500
ACIG-199103,19830504,11.02194,11.02194,10.86143,10.86143,32007,25.37500
ACIG-199103,19830505,10.91493,10.96844,10.86143,10.91493,30138,25.50000
ACIG-199103,19830506,10.91493,11.23596,10.91493,11.23596,103730,26.25000
ACIG-199103,19830509,11.44998,11.66400,11.18246,11.34297,31820,26.50000
ACIG-199103,19830510,11.34297,11.39647,11.28946,11.34297,17674,26.50000
ACIG-199103,19830511,11.44998,11.66400,11.28946,11.55699,75859,27.00000
ACIG-199103,19830512,11.61049,11.61049,11.44998,11.44998,30839,26.75000
ACIG-199103,19830513,11.34297,11.55699,11.07545,11.44998,34110,26.75000
ACIG-199103,19830516,10.91493,11.34297,10.54040,10.91493,38637,25.50000
ACIG-199103,19830517,10.86143,11.12895,10.86143,11.12895,33234,26.00000
ACIG-199103,19830518,11.61049,11.98502,11.23596,11.77101,104314,27.50000
ACIG-199103,19830519,12.09203,12.41306,11.71750,12.19904,183744,28.50000
ACIG-199103,19830520,11.98502,12.30605,11.71750,11.82451,98378,27.62500
ACIG-199103,19830523,11.77101,12.52007,11.77101,12.52007,132174,29.25000
ACIG-199103,19830524,12.94811,13.37614,12.52007,13.16212,142416,30.75000
ACIG-199103,19830525,13.16212,13.16212,12.52007,12.52007,72564,29.25000
ACIG-199103,19830526,12.52007,12.68058,12.35956,12.52007,67518,29.25000
ACIG-199103,19830527,12.25255,12.73409,11.77101,12.30605,120201,28.75000
ACIG-199103,19830531,12.09203,12.35956,11.87801,11.98502,63313,28.00000
ACIG-199103,19830601,11.77101,11.98502,11.55699,11.77101,33876,27.50000
ACIG-199103,19830602,11.98502,11.98502,11.77101,11.77101,20793,27.50000
ACIG-199103,19830603,12.09203,12.09203,11.87801,11.87801,34343,27.75000
ACIG-199103,19830606,11.93152,11.93152,11.77101,11.77101,5140,27.50000
ACIG-199103,19830607,11.66400,11.82451,11.55699,11.71750,69364,27.37500
ACIG-199103,19830608,11.61049,11.66400,11.61049,11.66400,26994,27.25000
ACIG-199103,19830609,11.55699,11.93152,11.55699,11.93152,31657,27.87500
ACIG-199103,19830610,11.98502,12.25255,11.98502,12.25255,38315,28.62500
ACIG-199103,19830613,12.35956,12.52007,12.19904,12.41306,99177,29.00000
ACIG-199103,19830614,12.41306,12.73409,12.41306,12.73409,48361,29.75000
ACIG-199103,19830615,12.62708,12.78759,12.62708,12.78759,165524,29.87500
ACIG-199103,19830616,12.94811,13.21563,12.68058,13.05511,50697,30.50000
ACIG-199103,19830617,12.94811,13.16212,12.78759,12.84110,132115,30.00000
ACIG-199103,19830620,12.73409,12.94811,12.46656,12.57357,105132,29.37500
ACIG-199103,19830621,12.46656,12.62708,12.30605,12.52007,52917,29.25000
ACIG-199103,19830622,12.62708,12.62708,12.35956,12.35956,37310,28.87500
ACIG-199103,19830623,12.30605,12.41306,12.19904,12.30605,17990,28.75000
