Ticker,Date,Open,High,Low,Close,Volume,Open Interest
ADVP-200403,19961008,2.46876,2.62500,2.31250,2.46876,6460800,9.87500
ADVP-200403,19961009,2.40626,2.46876,2.25000,2.25000,2432800,9.00000
ADVP-200403,19961010,2.25000,2.34376,2.25000,2.28126,516600,9.12500
ADVP-200403,19961011,2.25000,2.31250,2.25000,2.25000,373600,9.00000
ADVP-200403,19961014,2.31250,2.31250,2.25000,2.25000,354000,9.00000
ADVP-200403,19961015,2.25000,2.31250,2.06250,2.06250,1067000,8.25000
ADVP-200403,19961016,2.06250,2.06250,2.00000,2.00000,140000,8.00000
ADVP-200403,19961017,2.00000,2.03126,1.93750,1.93750,3095580,7.75000
ADVP-200403,19961018,2.03126,2.03126,1.93750,1.96876,223700,7.87500
ADVP-200403,19961021,2.03126,2.03126,1.96876,2.03126,58800,8.12500
ADVP-200403,19961022,1.96876,2.12500,1.96876,2.03126,49200,8.12500
ADVP-200403,19961023,2.03126,2.12500,2.03126,2.03126,70800,8.12500
ADVP-200403,19961024,2.09376,2.09376,2.03126,2.03126,312900,8.12500
ADVP-200403,19961025,2.03126,2.03126,2.03126,2.03126,112400,8.12500
ADVP-200403,19961028,2.03126,2.06250,2.03126,2.06250,293600,8.25000
ADVP-200403,19961029,2.03126,2.06250,2.00000,2.03126,261600,8.12500
ADVP-200403,19961030,2.09376,2.09376,2.03126,2.03126,171200,8.12500
ADVP-200403,19961031,2.03126,2.09376,2.03126,2.03126,218800,8.12500
ADVP-200403,19961101,2.06250,2.25000,2.03126,2.25000,238000,9.00000
ADVP-200403,19961104,2.25000,2.25000,2.18750,2.25000,36000,9.00000
ADVP-200403,19961105,2.25000,2.25000,2.12500,2.12500,49000,8.50000
ADVP-200403,19961106,2.18750,2.34376,2.12500,2.28126,1391200,9.12500
ADVP-200403,19961107,2.31250,2.37500,2.28126,2.34376,952320,9.37500
ADVP-200403,19961108,2.34376,2.37500,2.31250,2.37500,63400,9.50000
ADVP-200403,19961111,2.37500,2.37500,2.28126,2.28126,526200,9.12500
ADVP-200403,19961112,2.31250,2.34376,2.28126,2.28126,135600,9.12500
ADVP-200403,19961113,2.28126,2.31250,2.25000,2.25000,73300,9.00000
ADVP-200403,19961114,2.25000,2.31250,2.25000,2.25000,168400,9.00000
ADVP-200403,19961115,2.21876,2.31250,2.21876,2.28126,160000,9.12500
ADVP-200403,19961118,2.31250,2.31250,2.21876,2.21876,102420,8.87500
ADVP-200403,19961119,2.21876,2.31250,2.21876,2.21876,130800,8.87500
ADVP-200403,19961120,2.31250,2.31250,2.18750,2.18750,244400,8.75000
ADVP-200403,19961121,2.18750,2.28126,2.18750,2.28126,127600,9.12500
ADVP-200403,19961122,2.28126,2.37500,2.28126,2.31250,106400,9.25000
ADVP-200403,19961125,2.31250,2.40626,2.31250,2.40626,106800,9.62500
ADVP-200403,19961126,2.34376,2.65626,2.34376,2.50000,416800,10.00000
ADVP-200403,19961127,2.56250,3.12500,2.53126,3.00000,573300,12.00000
ADVP-200403,19961129,3.00000,3.06250,3.00000,3.03126,104600,12.12500
ADVP-200403,19961202,3.06250,3.31250,2.93750,3.28126,548464,13.12500
ADVP-200403,19961203,3.15626,3.46876,3.15626,3.40626,1144064,13.62500
ADVP-200403,19961204,3.40626,3.50000,3.18750,3.18750,340040,12.75000
ADVP-200403,19961205,3.28126,3.43750,3.28126,3.34376,420600,13.37500
ADVP-200403,19961206,3.21876,3.34376,3.18750,3.31250,153200,13.25000
ADVP-200403,19961209,3.34376,3.56250,3.34376,3.50000,357400,14.00000
ADVP-200403,19961210,3.62500,3.62500,3.37500,3.46876,663124,13.87500
ADVP-200403,19961211,3.46876,3.46876,3.18750,3.18750,244720,12.75000
ADVP-200403,19961212,3.25000,3.25000,2.93750,2.93750,140700,11.75000
ADVP-200403,19961213,2.96876,2.96876,2.81250,2.87500,118600,11.50000
ADVP-200403,19961216,2.87500,2.93750,2.75000,2.87500,172000,11.50000
ADVP-200403,19961217,2.90626,2.93750,2.87500,2.93750,167680,11.75000
ADVP-200403,19961218,2.93750,3.06250,2.93750,2.93750,119560,11.75000
ADVP-200403,19961219,3.00000,3.43750,3.00000,3.40626,335684,13.62500
ADVP-200403,19961220,3.50000,3.62500,3.43750,3.59376,1137200,14.37500
ADVP-200403,19961223,3.68750,4.31250,3.65626,4.31250,653600,17.25000
ADVP-200403,19961224,4.34376,4.40626,4.12500,4.25000,493420,17.00000
ADVP-200403,19961226,4.37500,4.43750,4.34376,4.43750,518060,17.75000
ADVP-200403,19961227,4.40626,4.43750,4.37500,4.40626,187872,17.62500
ADVP-200403,19961230,4.68750,5.37500,4.34376,4.62500,1419240,18.50000
ADVP-200403,19961231,4.93750,5.31250,4.84376,5.18750,1004992,20.75000
ADVP-200403,19970102,5.18750,5.18750,4.46876,4.46876,1248436,17.87500
ADVP-200403,19970103,4.59376,4.84376,4.46876,4.68750,2055704,18.75000
ADVP-200403,19970106,4.90626,5.00000,4.78126,4.87500,1263592,19.50000
ADVP-200403,19970107,4.93750,4.93750,4.53126,4.65626,959244,18.62500
ADVP-200403,19970108,4.68750,4.71876,4.59376,4.65626,490832,18.62500
ADVP-200403,19970109,4.68750,4.71876,4.59376,4.62500,497228,18.50000
ADVP-200403,19970110,4.62500,4.62500,4.53126,4.62500,199656,18.50000
ADVP-200403,19970113,4.71876,4.90626,4.59376,4.78126,1033544,19.12500
ADVP-200403,19970114,4.78126,4.96876,4.71876,4.90626,522720,19.62500
ADVP-200403,19970115,5.03126,5.31250,4.93750,5.21876,533500,20.87500
ADVP-200403,19970116,5.28126,5.93750,5.25000,5.84376,1073196,23.37500
ADVP-200403,19970117,5.93750,6.31250,5.50000,5.56250,1682552,22.25000
ADVP-200403,19970120,5.50000,5.84376,5.50000,5.75000,428532,23.00000
ADVP-200403,19970121,5.81250,5.84376,5.75000,5.84376,421084,23.37500
ADVP-200403,19970122,5.84376,5.96876,5.43750,5.46876,821076,21.87500
ADVP-200403,19970123,5.62500,5.68750,5.43750,5.46876,336632,21.87500
ADVP-200403,19970124,5.25000,5.50000,5.03126,5.25000,549644,21.00000
ADVP-200403,19970127,5.12500,5.18750,4.68750,4.81250,455504,19.25000
ADVP-200403,19970128,5.06250,5.06250,4.37500,4.50000,597168,18.00000
ADVP-200403,19970129,4.37500,4.62500,4.18750,4.59376,389032,18.37500
ADVP-200403,19970130,4.78126,5.00000,4.62500,4.81250,394912,19.25000
ADVP-200403,19970131,4.75000,4.93750,4.75000,4.75000,322080,19.00000
ADVP-200403,19970203,4.93750,4.93750,4.62500,4.75000,259804,19.00000
ADVP-200403,19970204,4.78126,4.81250,4.65626,4.78126,148160,19.12500
ADVP-200403,19970205,4.81250,4.81250,4.50000,4.50000,175828,18.00000
ADVP-200403,19970206,4.46876,4.87500,4.46876,4.87500,195716,19.50000
ADVP-200403,19970207,4.87500,4.87500,4.65626,4.65626,97180,18.62500
ADVP-200403,19970210,4.71876,4.81250,4.71876,4.81250,78016,19.25000
ADVP-200403,19970211,4.81250,4.81250,4.71876,4.71876,32288,18.87500
ADVP-200403,19970212,4.81250,4.81250,4.62500,4.62500,45224,18.50000
ADVP-200403,19970213,4.78126,4.78126,4.46876,4.59376,184540,18.37500
ADVP-200403,19970214,4.56250,4.68750,4.50000,4.59376,92076,18.37500
ADVP-200403,19970218,4.50000,4.71876,4.50000,4.65626,116228,18.62500
ADVP-200403,19970219,4.62500,4.71876,4.50000,4.68750,111556,18.75000
ADVP-200403,19970220,4.68750,4.68750,4.56250,4.56250,31448,18.25000
ADVP-200403,19970221,4.68750,4.68750,4.25000,4.31250,266680,17.25000
ADVP-200403,19970224,4.21876,4.21876,3.50000,3.78126,1161000,15.12500
ADVP-200403,19970225,3.75000,4.18750,3.56250,4.00000,835204,16.00000
ADVP-200403,19970226,4.15626,4.21876,3.71876,4.06250,384300,16.25000
ADVP-200403,19970227,4.00000,4.06250,3.62500,3.75000,302204,15.00000
ADVP-200403,19970228,3.75000,3.78126,3.59376,3.71876,407088,14.87500
ADVP-200403,19970303,3.68750,3.81250,3.65626,3.68750,142904,14.75000
ADVP-200403,19970304,3.65626,3.71876,3.53126,3.65626,261192,14.62500
ADVP-200403,19970305,3.59376,4.06250,3.59376,4.03126,347892,16.12500
ADVP-200403,19970306,4.18750,4.18750,3.93750,4.00000,245820,16.00000
ADVP-200403,19970307,3.93750,4.15626,3.93750,4.09376,200872,16.37500
ADVP-200403,19970310,4.12500,4.18750,3.81250,3.93750,203560,15.75000
ADVP-200403,19970311,4.03126,4.06250,3.93750,3.93750,45372,15.75000
ADVP-200403,19970312,3.93750,4.06250,3.71876,3.71876,131988,14.87500
ADVP-200403,19970313,3.84376,3.87500,3.71876,3.78126,121840,15.12500
ADVP-200403,19970314,3.84376,4.03126,3.84376,4.00000,162596,16.00000
ADVP-200403,19970317,3.90626,4.03126,3.87500,4.00000,160480,16.00000
ADVP-200403,19970318,4.03126,4.12500,3.93750,3.96876,109292,15.87500
ADVP-200403,19970319,4.06250,4.06250,3.87500,3.87500,183032,15.50000
