Ticker,Date,Open,High,Low,Close,Volume,Open Interest
AGE-200710,19720322,0.43810,0.43810,0.42034,0.42034,287155,17.75000
AGE-200710,19720323,0.42034,0.42330,0.41738,0.42034,143578,17.75000
AGE-200710,19720324,0.41738,0.42330,0.41146,0.42034,114018,17.75000
AGE-200710,19720327,0.40850,0.41442,0.40850,0.41442,50675,17.50000
AGE-200710,19720328,0.40850,0.40850,0.39666,0.39666,59120,16.75000
AGE-200710,19720329,0.39370,0.39666,0.39074,0.39370,84458,16.62500
AGE-200710,19720330,0.39370,0.39962,0.39370,0.39962,21115,16.87500
AGE-200710,19720403,0.40258,0.40258,0.38482,0.38482,50675,16.25000
AGE-200710,19720404,0.38482,0.39074,0.37890,0.38778,122463,16.37500
AGE-200710,19720405,0.39666,0.40554,0.38778,0.40258,190029,17.00000
AGE-200710,19720406,0.40850,0.40850,0.40554,0.40554,38006,17.12500
AGE-200710,19720407,0.40554,0.40554,0.39666,0.39666,92903,16.75000
AGE-200710,19720410,0.39370,0.39370,0.38186,0.38186,63343,16.12500
AGE-200710,19720411,0.38186,0.39370,0.38186,0.39370,105572,16.62500
AGE-200710,19720412,0.40258,0.40258,0.39074,0.39074,97126,16.50000
AGE-200710,19720413,0.39074,0.39962,0.38482,0.39074,126686,16.50000
AGE-200710,19720414,0.38778,0.39666,0.38778,0.39666,88680,16.75000
AGE-200710,19720417,0.39074,0.39370,0.38778,0.39074,21115,16.50000
AGE-200710,19720418,0.38482,0.38482,0.37890,0.37890,50675,16.00000
AGE-200710,19720419,0.37298,0.38186,0.36113,0.37890,211143,16.00000
AGE-200710,19720420,0.37890,0.38482,0.37890,0.38482,29560,16.25000
AGE-200710,19720421,0.38482,0.39074,0.38186,0.38482,261818,16.25000
AGE-200710,19720424,0.38778,0.38778,0.37890,0.37890,46452,16.00000
AGE-200710,19720425,0.37298,0.37298,0.37298,0.37298,21115,15.75000
AGE-200710,19720426,0.37594,0.37594,0.36113,0.36113,42229,15.25000
AGE-200710,19720427,0.35521,0.35521,0.34929,0.34929,38006,14.75000
AGE-200710,19720428,0.35817,0.36706,0.34929,0.35817,97126,15.12500
AGE-200710,19720501,0.34929,0.35521,0.34337,0.34929,67566,14.75000
AGE-200710,19720502,0.35225,0.35225,0.34633,0.34633,25338,14.62500
AGE-200710,19720503,0.33153,0.34337,0.33153,0.34337,92903,14.50000
AGE-200710,19720504,0.34337,0.34337,0.34337,0.34337,12669,14.50000
AGE-200710,19720505,0.35225,0.35225,0.34633,0.34633,109795,14.62500
AGE-200710,19720508,0.34929,0.35225,0.34929,0.35225,25338,14.87500
AGE-200710,19720509,0.34041,0.34633,0.33449,0.34337,63343,14.50000
AGE-200710,19720510,0.33449,0.34041,0.33449,0.34041,25338,14.37500
AGE-200710,19720511,0.34041,0.34337,0.34041,0.34337,29560,14.50000
AGE-200710,19720512,0.34929,0.34929,0.34633,0.34633,29560,14.62500
AGE-200710,19720515,0.34633,0.34633,0.34337,0.34337,21115,14.50000
AGE-200710,19720516,0.34633,0.34633,0.34337,0.34337,12669,14.50000
AGE-200710,19720517,0.34337,0.34633,0.33745,0.34337,33783,14.50000
AGE-200710,19720518,0.33745,0.33745,0.33153,0.33153,114018,14.00000
AGE-200710,19720519,0.31969,0.33745,0.31969,0.33745,118240,14.25000
AGE-200710,19720522,0.33449,0.33449,0.33153,0.33153,21115,14.00000
AGE-200710,19720523,0.32857,0.32857,0.32857,0.32857,42229,13.87500
AGE-200710,19720524,0.32265,0.32561,0.31969,0.32265,59120,13.62500
AGE-200710,19720525,0.31969,0.32561,0.31969,0.32561,118240,13.75000
AGE-200710,19720526,0.32265,0.32561,0.32265,0.32561,12669,13.75000
AGE-200710,19720530,0.33153,0.33153,0.32561,0.32561,33783,13.75000
AGE-200710,19720531,0.31969,0.31969,0.31673,0.31673,12669,13.37500
AGE-200710,19720601,0.31377,0.31377,0.30785,0.30785,76012,13.00000
AGE-200710,19720602,0.31081,0.31377,0.31081,0.31377,46452,13.25000
AGE-200710,19720605,0.31673,0.31673,0.30785,0.30785,16892,13.00000
AGE-200710,19720606,0.30785,0.30785,0.30785,0.30785,54898,13.00000
AGE-200710,19720607,0.30489,0.30785,0.30489,0.30785,38006,13.00000
AGE-200710,19720608,0.31081,0.31081,0.29897,0.29897,50675,12.62500
AGE-200710,19720609,0.29897,0.29897,0.29009,0.29009,25338,12.25000
AGE-200710,19720612,0.29305,0.29601,0.29305,0.29601,42229,12.50000
AGE-200710,19720613,0.30193,0.30193,0.30193,0.30193,12669,12.75000
AGE-200710,19720614,0.30785,0.31377,0.30785,0.31377,25338,13.25000
AGE-200710,19720615,0.31969,0.33153,0.31969,0.33153,38006,14.00000
AGE-200710,19720616,0.33745,0.33745,0.32265,0.32265,67566,13.62500
AGE-200710,19720619,0.31969,0.31969,0.31969,0.31969,4223,13.50000
AGE-200710,19720620,0.31377,0.31969,0.31377,0.31969,12669,13.50000
AGE-200710,19720621,0.31081,0.31377,0.31081,0.31377,29560,13.25000
AGE-200710,19720622,0.30785,0.31377,0.29897,0.30193,76012,12.75000
AGE-200710,19720623,0.30785,0.30785,0.30193,0.30193,42229,12.75000
AGE-200710,19720626,0.30489,0.30489,0.29897,0.29897,38006,12.62500
AGE-200710,19720627,0.30193,0.30193,0.29601,0.29601,54898,12.50000
AGE-200710,19720628,0.29601,0.29601,0.29601,0.29601,12669,12.50000
