Ticker,Date,Open,High,Low,Close,Volume,Open Interest
AKES-200901,20050119,7.70000,7.72000,7.50000,7.65001,30000,7.65001
AKES-200901,20050120,7.75000,7.75000,7.50000,7.65001,15000,7.65001
AKES-200901,20050121,7.75000,8.00000,7.65001,8.00000,17000,8.00000
AKES-200901,20050124,8.00000,8.00000,7.75000,7.95000,15900,7.95000
AKES-200901,20050125,8.00000,8.00000,7.80001,7.90001,10500,7.90001
AKES-200901,20050126,7.75000,8.00000,6.30001,8.00000,7500,8.00000
AKES-200901,20050127,8.25000,8.25000,8.25000,8.25000,400,8.25000
AKES-200901,20050128,8.00000,8.03000,8.00000,8.03000,7700,8.03000
AKES-200901,20050131,8.00000,8.00000,8.00000,8.00000,500,8.00000
AKES-200901,20050201,8.00000,8.00000,8.00000,8.00000,1000,8.00000
AKES-200901,20050202,8.00000,8.00000,8.00000,8.00000,500,8.00000
AKES-200901,20050207,8.00000,8.00000,8.00000,8.00000,500,8.00000
AKES-200901,20050209,7.75000,7.75000,7.50000,7.50000,2500,7.50000
AKES-200901,20050214,7.50000,7.50000,7.50000,7.50000,1000,7.50000
AKES-200901,20050217,7.00000,7.50000,7.00000,7.50000,1500,7.50000
AKES-200901,20050218,7.00000,7.00000,7.00000,7.00000,700,7.00000
AKES-200901,20050301,7.50000,7.50000,7.50000,7.50000,3000,7.50000
AKES-200901,20050302,8.00000,8.00000,5.49000,7.50000,403000,7.50000
AKES-200901,20050303,7.50000,7.50000,7.50000,7.50000,500,7.50000
AKES-200901,20050304,7.50000,7.90001,7.50000,7.90001,2500,7.90001
AKES-200901,20050307,8.00000,8.00000,7.95000,7.95000,2100,7.95000
AKES-200901,20050309,8.50000,8.50000,8.25000,8.25000,5700,8.25000
AKES-200901,20050310,8.50000,8.50000,8.50000,8.50000,2000,8.50000
AKES-200901,20050314,8.50000,8.50000,8.50000,8.50000,1500,8.50000
AKES-200901,20050315,8.25000,8.75000,8.25000,8.50000,3900,8.50000
AKES-200901,20050316,8.75000,8.75000,8.00000,8.00000,4200,8.00000
AKES-200901,20050317,8.25000,8.75000,8.25000,8.75000,1400,8.75000
AKES-200901,20050318,8.25000,8.25000,8.00000,8.00000,2000,8.00000
AKES-200901,20050321,8.00000,8.00000,8.00000,8.00000,500,8.00000
AKES-200901,20050322,8.00000,8.00000,8.00000,8.00000,500,8.00000
AKES-200901,20050324,8.25000,8.25000,8.00000,8.16000,7000,8.16000
AKES-200901,20050329,8.00000,8.30001,8.00000,8.18001,4600,8.18001
AKES-200901,20050330,8.15000,8.15000,8.15000,8.15000,500,8.15000
