Ticker,Date,Open,High,Low,Close,Volume,Open Interest
AMRF-198908,19821101,5.25000,5.25000,5.25000,5.25000,1000,5.25000
AMRF-198908,19821102,6.12500,6.12500,6.12500,6.12500,1200,6.12500
AMRF-198908,19821103,6.25000,6.25000,6.25000,6.25000,600,6.25000
AMRF-198908,19821104,6.25000,6.25000,6.25000,6.25000,300,6.25000
AMRF-198908,19821105,6.62500,6.62500,6.62500,6.62500,2900,6.62500
AMRF-198908,19821108,6.62500,6.62500,6.62500,6.62500,500,6.62500
AMRF-198908,19821109,6.50000,6.50000,6.50000,6.50000,1200,6.50000
AMRF-198908,19821110,6.62500,6.62500,6.62500,6.62500,1100,6.62500
AMRF-198908,19821111,6.62500,6.62500,6.62500,6.62500,500,6.62500
AMRF-198908,19821112,6.62500,6.62500,6.62500,6.62500,108,6.62500
AMRF-198908,19821115,6.87500,6.87500,6.87500,6.87500,1800,6.87500
AMRF-198908,19821116,7.12500,7.12500,7.12500,7.12500,1750,7.12500
AMRF-198908,19821117,7.37500,7.37500,7.37500,7.37500,1500,7.37500
AMRF-198908,19821118,7.37500,7.37500,7.37500,7.37500,300,7.37500
AMRF-198908,19821119,7.37500,7.37500,7.37500,7.37500,126,7.37500
AMRF-198908,19821122,7.25000,7.25000,7.25000,7.25000,2804,7.25000
AMRF-198908,19821124,7.12500,7.12500,7.12500,7.12500,950,7.12500
AMRF-198908,19821129,6.87500,6.87500,6.87500,6.87500,600,6.87500
AMRF-198908,19821130,6.87500,6.87500,6.87500,6.87500,200,6.87500
AMRF-198908,19821201,7.12500,7.12500,7.12500,7.12500,676,7.12500
AMRF-198908,19821202,7.00000,7.00000,7.00000,7.00000,600,7.00000
AMRF-198908,19821203,7.00000,7.00000,7.00000,7.00000,16,7.00000
AMRF-198908,19821206,6.75000,6.75000,6.75000,6.75000,740,6.75000
AMRF-198908,19821207,6.62500,6.62500,6.62500,6.62500,600,6.62500
AMRF-198908,19821208,6.62500,6.62500,6.62500,6.62500,100,6.62500
AMRF-198908,19821209,6.50000,6.50000,6.50000,6.50000,200,6.50000
AMRF-198908,19821214,6.25000,6.25000,6.25000,6.25000,500,6.25000
AMRF-198908,19821215,6.25000,6.25000,6.25000,6.25000,700,6.25000
AMRF-198908,19821217,6.25000,6.25000,6.25000,6.25000,150,6.25000
AMRF-198908,19821220,6.12500,6.12500,6.12500,6.12500,250,6.12500
AMRF-198908,19821221,6.12500,6.12500,6.12500,6.12500,500,6.12500
AMRF-198908,19821222,5.62500,5.62500,5.62500,5.62500,1100,5.62500
AMRF-198908,19821223,5.62500,5.62500,5.62500,5.62500,400,5.62500
AMRF-198908,19821227,5.62500,5.62500,5.62500,5.62500,240,5.62500
AMRF-198908,19821228,5.50000,5.50000,5.50000,5.50000,150,5.50000
AMRF-198908,19821229,5.50000,5.50000,5.50000,5.50000,3100,5.50000
AMRF-198908,19821230,5.37500,5.37500,5.37500,5.37500,4300,5.37500
AMRF-198908,19821231,5.12500,5.12500,5.12500,5.12500,5700,5.12500
AMRF-198908,19830103,5.12500,5.12500,5.12500,5.12500,400,5.12500
AMRF-198908,19830104,5.12500,5.12500,5.12500,5.12500,490,5.12500
AMRF-198908,19830106,5.25000,5.25000,5.25000,5.25000,1700,5.25000
AMRF-198908,19830107,5.50000,5.50000,5.50000,5.50000,3400,5.50000
AMRF-198908,19830110,5.75000,5.75000,5.75000,5.75000,300,5.75000
AMRF-198908,19830111,5.50000,5.50000,5.50000,5.50000,188,5.50000
AMRF-198908,19830114,5.62500,5.62500,5.62500,5.62500,226,5.62500
AMRF-198908,19830117,5.62500,5.62500,5.62500,5.62500,3200,5.62500
AMRF-198908,19830118,5.62500,5.62500,5.62500,5.62500,200,5.62500
AMRF-198908,19830119,5.62500,5.62500,5.62500,5.62500,800,5.62500
AMRF-198908,19830120,5.50000,5.50000,5.50000,5.50000,500,5.50000
AMRF-198908,19830121,5.50000,5.50000,5.50000,5.50000,2096,5.50000
AMRF-198908,19830124,5.37500,5.37500,5.37500,5.37500,200,5.37500
AMRF-198908,19830127,5.37500,5.37500,5.37500,5.37500,150,5.37500
AMRF-198908,19830128,5.37500,5.37500,5.37500,5.37500,150,5.37500
AMRF-198908,19830202,5.25000,5.25000,5.25000,5.25000,500,5.25000
AMRF-198908,19830203,5.25000,5.25000,5.25000,5.25000,1344,5.25000
AMRF-198908,19830204,5.25000,5.25000,5.25000,5.25000,200,5.25000
AMRF-198908,19830207,5.25000,5.25000,5.25000,5.25000,400,5.25000
AMRF-198908,19830208,5.25000,5.25000,5.25000,5.25000,3000,5.25000
AMRF-198908,19830209,6.12500,6.12500,6.12500,6.12500,5326,6.12500
AMRF-198908,19830210,6.37500,6.37500,6.37500,6.37500,700,6.37500
AMRF-198908,19830215,5.87500,5.87500,5.87500,5.87500,2636,5.87500
AMRF-198908,19830216,6.12500,6.12500,6.12500,6.12500,100,6.12500
AMRF-198908,19830217,6.25000,6.25000,6.25000,6.25000,300,6.25000
AMRF-198908,19830222,5.87500,5.87500,5.87500,5.87500,800,5.87500
AMRF-198908,19830223,5.62500,5.62500,5.62500,5.62500,200,5.62500
AMRF-198908,19830228,5.62500,5.62500,5.62500,5.62500,150,5.62500
AMRF-198908,19830301,5.37500,5.37500,5.37500,5.37500,1200,5.37500
AMRF-198908,19830302,5.50000,5.50000,5.50000,5.50000,2400,5.50000
AMRF-198908,19830303,5.50000,5.50000,5.50000,5.50000,850,5.50000
AMRF-198908,19830304,6.00000,6.00000,6.00000,6.00000,700,6.00000
AMRF-198908,19830307,6.50000,6.50000,6.50000,6.50000,1850,6.50000
AMRF-198908,19830308,6.87500,6.87500,6.87500,6.87500,1100,6.87500
AMRF-198908,19830309,7.50000,7.50000,7.50000,7.50000,1680,7.50000
AMRF-198908,19830310,7.37500,7.37500,7.37500,7.37500,2320,7.37500
AMRF-198908,19830315,7.12500,7.12500,7.12500,7.12500,1000,7.12500
AMRF-198908,19830316,6.87500,6.87500,6.87500,6.87500,2500,6.87500
AMRF-198908,19830317,6.87500,6.87500,6.87500,6.87500,1100,6.87500
AMRF-198908,19830318,6.87500,6.87500,6.87500,6.87500,200,6.87500
AMRF-198908,19830321,7.12500,7.12500,7.12500,7.12500,764,7.12500
AMRF-198908,19830322,7.00000,7.00000,7.00000,7.00000,500,7.00000
AMRF-198908,19830324,7.00000,7.00000,7.00000,7.00000,300,7.00000
AMRF-198908,19830328,6.37500,6.37500,6.37500,6.37500,900,6.37500
AMRF-198908,19830330,6.37500,6.37500,6.37500,6.37500,36,6.37500
AMRF-198908,19830404,6.37500,6.37500,6.37500,6.37500,400,6.37500
AMRF-198908,19830405,6.12500,6.12500,6.12500,6.12500,1000,6.12500
AMRF-198908,19830407,5.87500,5.87500,5.87500,5.87500,4800,5.87500
AMRF-198908,19830408,5.87500,5.87500,5.87500,5.87500,1400,5.87500
AMRF-198908,19830411,5.87500,5.87500,5.87500,5.87500,2700,5.87500
