Ticker,Date,Open,High,Low,Close,Volume,Open Interest
APOL-198712,19620702,9.75000,9.75000,9.75000,9.75000,400,9.75000
APOL-198712,19620703,9.62500,9.62500,9.37500,9.37500,400,9.37500
APOL-198712,19620705,9.62500,9.62500,9.12500,9.12500,600,9.12500
APOL-198712,19620706,9.00000,9.00000,8.87500,8.87500,200,8.87500
APOL-198712,19620709,9.00000,9.75000,9.00000,9.75000,600,9.75000
APOL-198712,19620710,10.37500,10.37500,10.00000,10.00000,1400,10.00000
APOL-198712,19620711,10.00000,10.12500,9.87500,10.00000,1600,10.00000
APOL-198712,19620712,10.50000,10.50000,10.00000,10.00000,1900,10.00000
APOL-198712,19620713,9.75000,10.00000,9.50000,9.87500,3000,9.87500
APOL-198712,19620716,9.87500,9.87500,9.12500,9.12500,600,9.12500
APOL-198712,19620717,8.87500,9.00000,8.75000,8.87500,1100,8.87500
APOL-198712,19620718,8.75000,9.00000,8.62500,8.87500,1000,8.87500
APOL-198712,19620719,8.87500,8.87500,8.75000,8.75000,300,8.75000
APOL-198712,19620720,9.12500,9.25000,9.00000,9.12500,800,9.12500
APOL-198712,19620723,9.12500,9.12500,8.87500,8.87500,400,8.87500
APOL-198712,19620725,8.87500,9.00000,8.87500,9.00000,900,9.00000
APOL-198712,19620726,9.25000,9.25000,9.00000,9.00000,700,9.00000
APOL-198712,19620727,9.00000,9.00000,9.00000,9.00000,500,9.00000
APOL-198712,19620731,9.00000,9.25000,9.00000,9.25000,500,9.25000
APOL-198712,19620801,9.00000,9.00000,9.00000,9.00000,400,9.00000
APOL-198712,19620802,9.12500,9.12500,9.12500,9.12500,100,9.12500
APOL-198712,19620803,9.25000,9.25000,9.12500,9.12500,2891540,9.12500
APOL-198712,19620806,9.50000,9.50000,9.25000,9.25000,400,9.25000
APOL-198712,19620807,9.25000,9.25000,9.25000,9.25000,400,9.25000
APOL-198712,19620808,9.37500,9.37500,9.37500,9.37500,1000,9.37500
APOL-198712,19620809,9.37500,9.37500,9.37500,9.37500,100,9.37500
APOL-198712,19620810,9.37500,9.50000,9.37500,9.50000,400,9.50000
APOL-198712,19620813,9.50000,9.50000,9.50000,9.50000,200,9.50000
APOL-198712,19620814,9.25000,9.50000,9.25000,9.50000,500,9.50000
APOL-198712,19620815,9.37500,9.50000,9.25000,9.37500,900,9.37500
APOL-198712,19620816,9.50000,9.50000,9.50000,9.50000,200,9.50000
APOL-198712,19620817,9.50000,9.50000,9.50000,9.50000,300,9.50000
APOL-198712,19620820,10.25000,10.87500,9.50000,10.37500,1600,10.37500
APOL-198712,19620821,10.25000,10.25000,10.00000,10.00000,500,10.00000
APOL-198712,19620822,10.25000,10.25000,9.75000,9.75000,300,9.75000
APOL-198712,19620823,9.75000,9.75000,9.62500,9.62500,200,9.62500
APOL-198712,19620824,9.87500,10.37500,9.87500,10.37500,800,10.37500
APOL-198712,19620827,10.25000,10.25000,10.25000,10.25000,500,10.25000
APOL-198712,19620828,10.75000,10.75000,10.25000,10.25000,600,10.25000
APOL-198712,19620829,10.12500,10.12500,9.75000,9.75000,700,9.75000
APOL-198712,19620830,10.25000,10.25000,10.00000,10.00000,300,10.00000
APOL-198712,19620904,10.00000,10.00000,9.62500,9.62500,800,9.62500
APOL-198712,19620905,9.62500,9.62500,9.37500,9.37500,700,9.37500
APOL-198712,19620906,9.75000,9.75000,9.75000,9.75000,100,9.75000
APOL-198712,19620907,9.87500,9.87500,9.62500,9.62500,200,9.62500
APOL-198712,19620910,9.87500,9.87500,9.62500,9.62500,900,9.62500
APOL-198712,19620911,9.75000,9.75000,9.75000,9.75000,100,9.75000
APOL-198712,19620912,9.50000,9.75000,9.50000,9.75000,1100,9.75000
APOL-198712,19620913,9.75000,9.75000,9.62500,9.62500,500,9.62500
APOL-198712,19620914,9.62500,9.62500,9.50000,9.50000,600,9.50000
APOL-198712,19620917,9.37500,9.50000,9.37500,9.50000,500,9.50000
APOL-198712,19620918,9.37500,9.50000,9.37500,9.50000,300,9.50000
APOL-198712,19620919,9.50000,9.50000,9.50000,9.50000,100,9.50000
APOL-198712,19620920,9.50000,9.50000,9.37500,9.37500,500,9.37500
APOL-198712,19620921,9.25000,9.25000,9.25000,9.25000,200,9.25000
APOL-198712,19620924,9.00000,9.00000,8.75000,8.75000,800,8.75000
APOL-198712,19620925,8.62500,8.62500,8.37500,8.37500,1200,8.37500
APOL-198712,19620926,8.25000,8.25000,8.12500,8.12500,700,8.12500
APOL-198712,19620927,7.75000,8.00000,7.62500,7.87500,600,7.87500
APOL-198712,19620928,7.75000,7.75000,7.62500,7.62500,400,7.62500
APOL-198712,19621001,7.87500,7.87500,7.62500,7.62500,400,7.62500
APOL-198712,19621002,7.62500,7.62500,7.37500,7.37500,1300,7.37500
APOL-198712,19621003,7.62500,7.62500,7.62500,7.62500,500,7.62500
APOL-198712,19621004,7.50000,7.62500,7.50000,7.62500,300,7.62500
APOL-198712,19621005,8.00000,8.00000,7.87500,7.87500,400,7.87500
APOL-198712,19621011,8.12500,8.12500,8.00000,8.00000,400,8.00000
APOL-198712,19621012,8.37500,8.37500,8.12500,8.12500,300,8.12500
APOL-198712,19621015,8.00000,8.12500,8.00000,8.12500,1300,8.12500
APOL-198712,19621016,8.25000,8.25000,8.12500,8.12500,900,8.12500
APOL-198712,19621017,8.00000,8.12500,7.87500,8.00000,1500,8.00000
APOL-198712,19621018,8.00000,8.00000,8.00000,8.00000,200,8.00000
APOL-198712,19621019,8.00000,8.00000,8.00000,8.00000,700,8.00000
APOL-198712,19621022,7.75000,7.75000,7.25000,7.25000,1600,7.25000
APOL-198712,19621023,7.25000,7.25000,7.12500,7.12500,700,7.12500
APOL-198712,19621024,7.25000,7.25000,7.25000,7.25000,100,7.25000
APOL-198712,19621025,7.00000,7.00000,7.00000,7.00000,100,7.00000
APOL-198712,19621026,7.25000,7.25000,7.00000,7.00000,600,7.00000
APOL-198712,19621029,7.12500,7.25000,7.12500,7.25000,300,7.25000
APOL-198712,19621030,7.37500,7.50000,7.37500,7.50000,300,7.50000
APOL-198712,19621031,7.25000,7.50000,7.12500,7.25000,700,7.25000
APOL-198712,19621101,7.25000,7.25000,7.25000,7.25000,100,7.25000
APOL-198712,19621102,7.37500,8.00000,7.37500,8.00000,900,8.00000
APOL-198712,19621105,8.00000,8.25000,8.00000,8.25000,500,8.25000
APOL-198712,19621107,8.25000,8.25000,8.12500,8.12500,800,8.12500
APOL-198712,19621108,8.12500,8.12500,8.12500,8.12500,400,8.12500
APOL-198712,19621109,8.12500,8.37500,8.12500,8.37500,400,8.37500
