Ticker,Date,Open,High,Low,Close,Volume,Open Interest
AVPI-201011,20010523,4.25000,4.37000,4.00000,4.00000,2500,4.00000
AVPI-201011,20010525,4.50000,4.50000,4.00000,4.00000,600,4.00000
AVPI-201011,20010529,4.50000,4.50000,4.50000,4.50000,100,4.50000
AVPI-201011,20010530,4.50000,4.50000,4.50000,4.50000,100,4.50000
AVPI-201011,20010601,4.50000,4.50000,4.50000,4.50000,200,4.50000
AVPI-201011,20010605,4.25000,4.25000,4.00000,4.00000,1200,4.00000
AVPI-201011,20010606,4.15001,4.25000,4.00000,4.25000,4800,4.25000
AVPI-201011,20010607,4.15001,4.40001,4.00000,4.00000,29400,4.00000
AVPI-201011,20010612,4.50000,4.55001,3.75000,4.40001,10000,4.40001
AVPI-201011,20010613,4.12500,4.50000,3.87500,3.87500,28100,3.87500
AVPI-201011,20010615,4.06250,4.06250,3.75000,3.88001,3900,3.88001
AVPI-201011,20010618,3.88001,4.25000,3.88001,4.12500,3500,4.12500
AVPI-201011,20010619,3.75000,4.25000,3.75000,4.06250,9600,4.06250
AVPI-201011,20010620,4.10000,4.10000,4.10000,4.10000,1000,4.10000
AVPI-201011,20010622,2.20001,4.00000,2.20001,4.00000,600,4.00000
AVPI-201011,20010625,4.20000,4.20000,4.20000,4.20000,200,4.20000
AVPI-201011,20010626,3.30000,3.30000,3.30000,3.30000,500,3.30000
AVPI-201011,20010629,4.10000,4.10000,4.10000,4.10000,200,4.10000
AVPI-201011,20010702,3.50000,3.50000,3.50000,3.50000,100,3.50000
AVPI-201011,20010709,4.00000,4.00000,2.75000,2.75000,5700,2.75000
AVPI-201011,20010710,3.15001,3.15001,3.15001,3.15001,600,3.15001
AVPI-201011,20010730,2.75000,2.75000,2.75000,2.75000,500,2.75000
AVPI-201011,20010808,2.75000,2.75000,2.75000,2.75000,500,2.75000
AVPI-201011,20010810,1.50000,1.50000,1.50000,1.50000,200,1.50000
AVPI-201011,20010814,2.35000,2.35000,2.25000,2.25000,200,2.25000
AVPI-201011,20010816,2.50000,2.50000,2.50000,2.50000,1500,2.50000
