Ticker,Date,Open,High,Low,Close,Volume,Open Interest
BERW-200010,19971029,31.25000,34.00000,30.62500,32.50000,2052620,32.50000
BERW-200010,19971030,31.50000,32.37500,30.00000,31.00000,791970,31.00000
BERW-200010,19971031,31.87500,32.37500,30.87500,31.00000,381484,31.00000
BERW-200010,19971103,31.50000,32.50000,31.25000,32.25000,207904,32.25000
BERW-200010,19971104,32.00000,32.37500,31.25000,32.25000,115020,32.25000
BERW-200010,19971105,32.37500,33.75000,32.37500,33.75000,174926,33.75000
BERW-200010,19971106,33.62500,33.75000,33.00000,33.00000,163706,33.00000
BERW-200010,19971107,32.75000,32.75000,30.81250,31.00000,222140,31.00000
BERW-200010,19971110,31.62500,31.75000,30.87500,31.12500,98758,31.12500
BERW-200010,19971111,30.75000,31.50000,30.25000,31.25000,106678,31.25000
BERW-200010,19971112,31.00000,31.00000,29.75000,30.00000,381702,30.00000
BERW-200010,19971113,29.87500,31.50000,29.87500,31.50000,435730,31.50000
BERW-200010,19971114,31.12500,32.37500,31.12500,32.12500,93584,32.12500
BERW-200010,19971117,32.50000,33.50000,32.12500,33.50000,47586,33.50000
BERW-200010,19971118,33.12500,33.75000,32.37500,32.37500,117698,32.37500
BERW-200010,19971119,32.62500,33.00000,32.37500,33.00000,65430,33.00000
BERW-200010,19971120,33.00000,33.12500,32.50000,32.62500,160634,32.62500
BERW-200010,19971121,32.75000,33.00000,32.12500,32.25000,29942,32.25000
BERW-200010,19971124,32.12500,33.00000,31.50000,31.75000,225014,31.75000
BERW-200010,19971125,31.75000,32.25000,31.50000,31.62500,184860,31.62500
BERW-200010,19971126,31.75000,32.75000,31.62500,32.00000,70178,32.00000
BERW-200010,19971128,32.00000,32.50000,32.00000,32.50000,12850,32.50000
BERW-200010,19971201,32.00000,32.50000,31.93750,32.37500,149580,32.37500
BERW-200010,19971202,32.37500,33.50000,32.00000,32.62500,91960,32.62500
BERW-200010,19971203,32.87500,32.87500,31.00000,32.25000,116498,32.25000
BERW-200010,19971204,31.75000,33.75000,31.75000,33.00000,139996,33.00000
BERW-200010,19971205,33.12500,33.12500,32.37500,33.12500,96200,33.12500
BERW-200010,19971208,32.93750,33.12500,32.62500,33.00000,73076,33.00000
BERW-200010,19971209,32.75000,35.25000,32.75000,34.25000,139876,34.25000
BERW-200010,19971210,34.00000,35.25000,33.75000,34.00000,66980,34.00000
BERW-200010,19971211,33.87500,33.87500,33.00000,33.75000,41270,33.75000
BERW-200010,19971212,33.75000,34.25000,33.25000,34.25000,32154,34.25000
BERW-200010,19971215,34.50000,35.37500,34.00000,35.00000,97436,35.00000
BERW-200010,19971216,35.12500,37.50000,34.87500,37.12500,99610,37.12500
BERW-200010,19971217,37.50000,38.25000,36.50000,36.50000,124166,36.50000
BERW-200010,19971218,36.62500,36.62500,35.62500,36.12500,144942,36.12500
BERW-200010,19971219,36.12500,36.12500,35.37500,35.87500,240350,35.87500
BERW-200010,19971222,35.75000,37.12500,35.75000,37.00000,32850,37.00000
BERW-200010,19971223,37.50000,37.75000,36.75000,37.12500,126414,37.12500
BERW-200010,19971224,37.25000,37.25000,36.75000,37.00000,5700,37.00000
BERW-200010,19971226,36.87500,37.25000,36.87500,37.25000,2040,37.25000
BERW-200010,19971229,37.25000,38.00000,36.93750,37.62500,34720,37.62500
BERW-200010,19971230,37.75000,38.00000,37.37500,37.87500,105126,37.87500
BERW-200010,19971231,38.00000,38.50000,37.25000,38.00000,89800,38.00000
BERW-200010,19980102,37.87500,38.87500,37.87500,38.50000,93408,38.50000
BERW-200010,19980105,38.87500,38.87500,38.25000,38.75000,81210,38.75000
BERW-200010,19980106,39.25000,39.50000,38.87500,39.12500,50924,39.12500
BERW-200010,19980107,39.50000,39.75000,39.25000,39.75000,67510,39.75000
BERW-200010,19980108,39.75000,39.75000,39.37500,39.75000,125506,39.75000
BERW-200010,19980109,39.75000,39.75000,38.12500,38.31250,102300,38.31250
BERW-200010,19980112,38.12500,38.25000,37.00000,37.37500,139696,37.37500
BERW-200010,19980113,37.37500,37.37500,34.93750,36.00000,237008,36.00000
BERW-200010,19980114,35.75000,36.25000,35.75000,36.00000,40000,36.00000
BERW-200010,19980115,35.87500,36.50000,35.87500,36.43750,49910,36.43750
BERW-200010,19980116,36.50000,36.50000,36.12500,36.12500,13650,36.12500
BERW-200010,19980120,36.50000,39.25000,36.12500,39.25000,251562,39.25000
BERW-200010,19980121,38.87500,40.00000,38.87500,39.87500,154106,39.87500
BERW-200010,19980122,39.50000,39.62500,37.00000,38.50000,374200,38.50000
BERW-200010,19980123,38.50000,39.50000,38.00000,39.25000,112000,39.25000
BERW-200010,19980126,39.12500,39.25000,38.62500,39.00000,112732,39.00000
BERW-200010,19980127,39.12500,40.00000,39.00000,39.87500,128988,39.87500
BERW-200010,19980128,39.87500,40.25000,39.75000,40.12500,76350,40.12500
BERW-200010,19980129,40.06250,40.50000,40.06250,40.50000,24876,40.50000
BERW-200010,19980130,40.50000,40.50000,40.25000,40.37500,24260,40.37500
BERW-200010,19980202,40.37500,40.62500,39.75000,39.87500,118106,39.87500
BERW-200010,19980203,40.25000,40.25000,38.75000,39.25000,61590,39.25000
BERW-200010,19980204,39.18750,39.62500,39.18750,39.18750,27106,39.18750
BERW-200010,19980205,39.00000,39.50000,38.00000,38.00000,57528,38.00000
BERW-200010,19980206,38.00000,38.37500,37.75000,37.81250,119398,37.81250
BERW-200010,19980209,37.87500,37.87500,37.00000,37.37500,21000,37.37500
BERW-200010,19980210,37.25000,38.62500,37.00000,38.50000,135938,38.50000
BERW-200010,19980211,38.50000,40.00000,38.25000,40.00000,134990,40.00000
BERW-200010,19980212,39.87500,40.37500,39.62500,40.37500,48960,40.37500
BERW-200010,19980213,40.37500,40.37500,39.87500,39.87500,14350,39.87500
BERW-200010,19980217,40.12500,40.62500,39.87500,40.37500,45820,40.37500
BERW-200010,19980218,40.25000,40.37500,39.87500,40.25000,61272,40.25000
BERW-200010,19980219,40.00000,40.87500,39.75000,40.75000,66150,40.75000
BERW-200010,19980220,40.50000,41.50000,40.50000,41.50000,67670,41.50000
BERW-200010,19980223,41.50000,41.75000,41.00000,41.75000,100080,41.75000
BERW-200010,19980224,41.75000,41.75000,41.12500,41.37500,51976,41.37500
BERW-200010,19980225,41.50000,41.50000,41.12500,41.18750,51736,41.18750
BERW-200010,19980226,41.12500,41.25000,40.37500,40.75000,78950,40.75000
BERW-200010,19980227,40.50000,41.00000,40.50000,40.62500,23620,40.62500
