Ticker,Date,Open,High,Low,Close,Volume,Open Interest
BNYTF-200810,20071206,0.16000,0.16000,0.16000,0.16000,15000,0.16000
BNYTF-200810,20071220,0.18001,0.18001,0.18001,0.18001,10000,0.18001
BNYTF-200810,20071227,0.18001,0.18001,0.18001,0.18001,5000,0.18001
BNYTF-200810,20071228,0.17001,0.17001,0.17001,0.17001,6500,0.17001
BNYTF-200810,20080108,0.16000,0.16000,0.16000,0.16000,10000,0.16000
BNYTF-200810,20080115,0.18001,0.18001,0.18001,0.18001,8000,0.18001
BNYTF-200810,20080116,0.15001,0.15001,0.15001,0.15001,5000,0.15001
BNYTF-200810,20080118,0.15001,0.15001,0.15001,0.15001,12600,0.15001
BNYTF-200810,20080206,0.13000,0.13000,0.13000,0.13000,3000,0.13000
BNYTF-200810,20080327,0.12000,0.12000,0.12000,0.12000,18500,0.12000
BNYTF-200810,20080506,0.10001,0.10001,0.10001,0.10001,3000,0.10001
BNYTF-200810,20080610,0.10001,0.10001,0.10001,0.10001,9900,0.10001
BNYTF-200810,20080701,0.07001,0.07001,0.07001,0.07001,900,0.07001
BNYTF-200810,20080721,0.06000,0.06000,0.06000,0.06000,2400,0.06000
BNYTF-200810,20080924,0.03000,0.03000,0.03000,0.03000,3000,0.03000
BNYTF-200810,20081010,0.01000,0.01000,0.01000,0.01000,20500,0.01000
