Ticker,Date,Open,High,Low,Close,Volume,Open Interest
BOTX-200207,19850102,4.23554,4.23554,4.23554,4.23554,1210,5.12500
BOTX-200207,19850104,4.13224,4.13224,4.13224,4.13224,606,5.00000
BOTX-200207,19850109,4.13224,4.13224,4.13224,4.13224,242,5.00000
BOTX-200207,19850114,4.23554,4.23554,4.23554,4.23554,1210,5.12500
BOTX-200207,19850115,4.44215,4.44215,4.44215,4.44215,12706,5.37500
BOTX-200207,19850116,4.44215,4.44215,4.44215,4.44215,4598,5.37500
BOTX-200207,19850117,4.64877,4.64877,4.64877,4.64877,1332,5.62500
BOTX-200207,19850118,4.64877,4.64877,4.64877,4.64877,1452,5.62500
BOTX-200207,19850121,4.75207,4.75207,4.75207,4.75207,364,5.75000
BOTX-200207,19850122,4.85538,4.85538,4.85538,4.85538,242,5.87500
BOTX-200207,19850123,4.85538,4.85538,4.85538,4.85538,1210,5.87500
BOTX-200207,19850124,4.95868,4.95868,4.95868,4.95868,606,6.00000
BOTX-200207,19850129,4.85538,4.85538,4.85538,4.85538,122,5.87500
BOTX-200207,19850130,4.95868,4.95868,4.95868,4.95868,606,6.00000
BOTX-200207,19850131,4.95868,4.95868,4.95868,4.95868,2420,6.00000
BOTX-200207,19850201,4.95868,4.95868,4.95868,4.95868,122,6.00000
BOTX-200207,19850205,4.75207,4.75207,4.75207,4.75207,2420,5.75000
BOTX-200207,19850206,4.44215,4.75207,4.13224,4.33885,5204,5.25000
BOTX-200207,19850207,4.75207,4.75207,4.33885,4.33885,3146,5.25000
BOTX-200207,19850208,4.33885,4.33885,4.33885,4.33885,364,5.25000
BOTX-200207,19850211,4.54546,4.54546,4.33885,4.33885,4720,5.25000
BOTX-200207,19850212,4.75207,4.75207,4.75207,4.75207,1210,5.75000
BOTX-200207,19850213,4.33885,4.54546,4.33885,4.54546,4236,5.50000
BOTX-200207,19850214,4.95868,4.95868,4.95868,4.95868,122,6.00000
BOTX-200207,19850220,4.33885,4.33885,4.33885,4.33885,303,5.25000
BOTX-200207,19850222,4.64877,4.95868,4.33885,4.54546,10406,5.50000
BOTX-200207,19850226,4.85538,4.85538,4.85538,4.85538,606,5.87500
BOTX-200207,19850227,4.33885,4.33885,4.33885,4.33885,242,5.25000
BOTX-200207,19850228,4.33885,4.33885,4.33885,4.33885,388,5.25000
BOTX-200207,19850305,4.85538,4.95868,4.85538,4.95868,1574,6.00000
BOTX-200207,19850306,4.54546,4.54546,4.54546,4.54546,3872,5.50000
BOTX-200207,19850307,4.85538,4.85538,4.85538,4.85538,122,5.87500
BOTX-200207,19850313,4.33885,4.33885,4.33885,4.33885,122,5.25000
BOTX-200207,19850314,4.75207,4.85538,4.64877,4.75207,9680,5.75000
BOTX-200207,19850318,4.64877,4.75207,4.64877,4.75207,4840,5.75000
BOTX-200207,19850319,4.85538,4.85538,4.54546,4.54546,484,5.50000
BOTX-200207,19850321,4.54546,4.54546,4.54546,4.54546,122,5.50000
BOTX-200207,19850325,4.33885,4.33885,4.33885,4.33885,122,5.25000
BOTX-200207,19850327,4.33885,4.33885,4.33885,4.33885,1210,5.25000
BOTX-200207,19850328,4.95868,4.95868,4.95868,4.95868,364,6.00000
BOTX-200207,19850329,4.33885,4.33885,4.33885,4.33885,606,5.25000
BOTX-200207,19850401,4.33885,4.33885,4.33885,4.33885,1816,5.25000
BOTX-200207,19850408,4.23554,4.33885,4.13224,4.23554,4840,5.12500
BOTX-200207,19850412,4.75207,4.75207,4.75207,4.75207,242,5.75000
BOTX-200207,19850417,4.33885,4.33885,4.33885,4.33885,242,5.25000
BOTX-200207,19850419,4.75207,4.75207,4.75207,4.75207,122,5.75000
BOTX-200207,19850425,4.13224,4.13224,4.13224,4.13224,242,5.00000
BOTX-200207,19850426,4.33885,4.54546,4.13224,4.33885,29040,5.25000
BOTX-200207,19850501,4.33885,4.33885,4.33885,4.33885,12100,5.25000
BOTX-200207,19850502,4.33885,4.33885,4.33885,4.33885,12826,5.25000
BOTX-200207,19850506,4.13224,4.13224,4.13224,4.13224,364,5.00000
BOTX-200207,19850509,4.13224,4.13224,4.13224,4.13224,5808,5.00000
BOTX-200207,19850520,4.13224,4.13224,4.13224,4.13224,968,5.00000
BOTX-200207,19850528,4.13224,4.13224,4.13224,4.13224,182,5.00000
BOTX-200207,19850530,4.13224,4.13224,4.13224,4.13224,6292,5.00000
BOTX-200207,19850531,4.13224,4.54546,4.13224,4.54546,11738,5.50000
BOTX-200207,19850603,4.13224,4.13224,4.13224,4.13224,606,5.00000
BOTX-200207,19850605,4.23554,4.33885,4.23554,4.33885,1816,5.25000
BOTX-200207,19850606,4.13224,4.13224,4.13224,4.13224,122,5.00000
BOTX-200207,19850610,4.13224,4.13224,4.13224,4.13224,242,5.00000
BOTX-200207,19850611,4.44215,4.44215,4.44215,4.44215,606,5.37500
BOTX-200207,19850612,4.44215,4.44215,4.44215,4.44215,364,5.37500
BOTX-200207,19850613,4.13224,4.13224,4.13224,4.13224,242,5.00000
BOTX-200207,19850618,4.13224,4.13224,4.13224,4.13224,242,5.00000
BOTX-200207,19850620,4.13224,4.13224,4.13224,4.13224,606,5.00000
BOTX-200207,19850624,3.92562,3.92562,3.92562,3.92562,122,4.75000
BOTX-200207,19850703,4.54546,4.54546,4.54546,4.54546,606,5.50000
BOTX-200207,19850718,3.92562,3.92562,3.92562,3.92562,2542,4.75000
BOTX-200207,19850719,3.92562,3.92562,3.92562,3.92562,606,4.75000
BOTX-200207,19850722,3.92562,3.92562,3.92562,3.92562,364,4.75000
BOTX-200207,19850723,3.92562,3.92562,3.92562,3.92562,1452,4.75000
BOTX-200207,19850724,3.92562,3.92562,3.92562,3.92562,242,4.75000
BOTX-200207,19850725,4.54546,4.54546,4.33885,4.33885,1332,5.25000
BOTX-200207,19850729,4.95868,4.95868,4.54546,4.54546,454,5.50000
BOTX-200207,19850730,4.54546,4.64877,4.54546,4.64877,13310,5.62500
BOTX-200207,19850731,4.75207,4.75207,4.75207,4.75207,4962,5.75000
BOTX-200207,19850805,4.75207,4.75207,4.75207,4.75207,1090,5.75000
