Ticker,Date,Open,High,Low,Close,Volume,Open Interest
BOWRF-200906,20070620,0.53000,0.55001,0.53000,0.53000,45000,0.53000
BOWRF-200906,20070621,0.51000,0.51000,0.51000,0.51000,10000,0.51000
BOWRF-200906,20070626,0.53000,0.53000,0.53000,0.53000,10000,0.53000
BOWRF-200906,20070627,0.51000,0.52000,0.51000,0.51000,25000,0.51000
BOWRF-200906,20070703,0.53000,0.53000,0.53000,0.53000,4000,0.53000
BOWRF-200906,20070705,0.53000,0.53000,0.53000,0.53000,10000,0.53000
BOWRF-200906,20070710,0.54001,0.54001,0.54001,0.54001,10000,0.54001
BOWRF-200906,20070712,0.54001,0.54001,0.54001,0.54001,6000,0.54001
BOWRF-200906,20070717,0.56001,0.56001,0.56001,0.56001,18000,0.56001
BOWRF-200906,20070720,0.53000,0.53000,0.53000,0.53000,2400,0.53000
BOWRF-200906,20070723,0.53000,0.53000,0.53000,0.53000,15000,0.53000
BOWRF-200906,20070726,0.51000,0.51000,0.51000,0.51000,10000,0.51000
BOWRF-200906,20070727,0.47000,0.49001,0.46001,0.47000,10000,0.47000
BOWRF-200906,20070807,0.43001,0.43001,0.43001,0.43001,7000,0.43001
BOWRF-200906,20070809,0.41000,0.41000,0.41000,0.41000,4000,0.41000
BOWRF-200906,20070813,0.40001,0.40001,0.40001,0.40001,4000,0.40001
BOWRF-200906,20070816,0.35000,0.35000,0.35000,0.35000,2000,0.35000
BOWRF-200906,20070820,0.32000,0.34001,0.32000,0.32000,17500,0.32000
BOWRF-200906,20070822,0.32000,0.32000,0.32000,0.32000,15000,0.32000
BOWRF-200906,20070913,0.29000,0.29000,0.29000,0.29000,30000,0.29000
BOWRF-200906,20070918,0.29000,0.29000,0.29000,0.29000,10500,0.29000
BOWRF-200906,20070921,0.31001,0.31001,0.31001,0.31001,10000,0.31001
BOWRF-200906,20071012,0.25000,0.25000,0.24000,0.25000,19500,0.25000
BOWRF-200906,20071018,0.30001,0.30001,0.30001,0.30001,4500,0.30001
BOWRF-200906,20071030,0.30001,0.30001,0.30001,0.30001,6000,0.30001
BOWRF-200906,20071101,0.30001,0.30001,0.30001,0.30001,3500,0.30001
BOWRF-200906,20071105,0.28001,0.28001,0.28001,0.28001,500,0.28001
BOWRF-200906,20071108,0.28001,0.28001,0.28001,0.28001,2500,0.28001
BOWRF-200906,20071109,0.28001,0.28001,0.27001,0.28001,28000,0.28001
BOWRF-200906,20071112,0.28001,0.28001,0.28001,0.28001,2000,0.28001
BOWRF-200906,20071114,0.27001,0.28001,0.27001,0.27001,14000,0.27001
BOWRF-200906,20071207,0.27001,0.27001,0.27001,0.27001,10000,0.27001
BOWRF-200906,20071218,0.36001,0.36001,0.36001,0.36001,7500,0.36001
BOWRF-200906,20071221,0.25000,0.25000,0.25000,0.25000,1000,0.25000
BOWRF-200906,20080303,0.26000,0.26000,0.26000,0.26000,10000,0.26000
BOWRF-200906,20080523,0.17001,0.17001,0.17001,0.17001,15000,0.17001
BOWRF-200906,20080707,0.15001,0.15001,0.15001,0.15001,10000,0.15001
BOWRF-200906,20080827,0.07001,0.07001,0.07001,0.07001,4000,0.07001
BOWRF-200906,20080909,0.08000,0.08000,0.08000,0.08000,10000,0.08000
BOWRF-200906,20081008,0.05001,0.05001,0.05001,0.05001,25000,0.05001
BOWRF-200906,20081203,0.02000,0.02000,0.02000,0.02000,11000,0.02000
BOWRF-200906,20081209,0.03000,0.03000,0.03000,0.03000,25000,0.03000
BOWRF-200906,20081210,0.03000,0.03000,0.03000,0.03000,13000,0.03000
BOWRF-200906,20081230,0.02000,0.02000,0.02000,0.02000,10000,0.02000
