Ticker,Date,Open,High,Low,Close,Volume,Open Interest
BRCI-201007,20051104,0.01000,0.01000,0.01000,0.01000,104,0.01000
BRCI-201007,20051223,0.25000,0.30001,0.25000,0.30001,50000,0.30001
BRCI-201007,20051228,0.15001,0.15001,0.15001,0.15001,564,0.15001
BRCI-201007,20051229,0.15001,0.15001,0.15001,0.15001,124,0.15001
BRCI-201007,20060109,0.25000,0.25000,0.25000,0.25000,2970,0.25000
BRCI-201007,20060120,0.32000,0.32000,0.32000,0.32000,50504,0.32000
BRCI-201007,20060202,0.15001,0.15001,0.15001,0.15001,764,0.15001
BRCI-201007,20060210,0.15001,0.15001,0.15001,0.15001,150,0.15001
BRCI-201007,20060224,0.15001,0.15001,0.15001,0.15001,1250,0.15001
BRCI-201007,20060302,0.15001,0.15001,0.15001,0.15001,448,0.15001
BRCI-201007,20060322,0.20001,0.22000,0.20001,0.20001,694,0.20001
BRCI-201007,20060403,0.22000,0.22000,0.22000,0.22000,400,0.22000
BRCI-201007,20060411,0.21000,0.21000,0.21000,0.21000,316,0.21000
BRCI-201007,20060424,0.21000,0.21000,0.21000,0.21000,962,0.21000
BRCI-201007,20060601,0.21000,0.21000,0.21000,0.21000,250,0.21000
BRCI-201007,20060602,0.21000,0.21000,0.21000,0.21000,292,0.21000
BRCI-201007,20060606,0.21000,0.21000,0.21000,0.21000,474,0.21000
BRCI-201007,20060622,0.21000,0.21000,0.21000,0.21000,126,0.21000
BRCI-201007,20060712,0.21000,0.22000,0.21000,0.21000,1762,0.21000
BRCI-201007,20060718,0.39000,0.39000,0.39000,0.39000,500,0.39000
BRCI-201007,20060720,0.21000,0.21000,0.21000,0.21000,288,0.21000
BRCI-201007,20060724,0.40001,0.40001,0.40001,0.40001,500,0.40001
BRCI-201007,20060804,0.20001,0.20001,0.20001,0.20001,126,0.20001
BRCI-201007,20060808,0.20001,0.20001,0.20001,0.20001,138,0.20001
BRCI-201007,20060822,0.20001,0.20001,0.20001,0.20001,8048,0.20001
BRCI-201007,20060922,0.20001,0.20001,0.20001,0.20001,384,0.20001
BRCI-201007,20060926,0.30001,0.30001,0.30001,0.30001,384,0.30001
BRCI-201007,20060927,0.15001,0.15001,0.15001,0.15001,384,0.15001
BRCI-201007,20061002,0.21000,0.21000,0.21000,0.21000,1040,0.21000
BRCI-201007,20061003,0.21000,0.21000,0.21000,0.21000,324,0.21000
BRCI-201007,20061004,0.21000,0.21000,0.21000,0.21000,1564,0.21000
BRCI-201007,20061006,0.25000,0.30001,0.25000,0.30001,7988,0.30001
BRCI-201007,20061020,0.23001,0.23001,0.23001,0.23001,388,0.23001
BRCI-201007,20061023,0.23001,0.23001,0.23001,0.23001,312,0.23001
BRCI-201007,20061027,0.23001,0.23001,0.23001,0.23001,344,0.23001
BRCI-201007,20061031,0.30001,0.30001,0.30001,0.30001,2288,0.30001
BRCI-201007,20061101,0.30001,0.30001,0.30001,0.30001,25000,0.30001
BRCI-201007,20061103,0.30001,0.30001,0.30001,0.30001,78712,0.30001
BRCI-201007,20061106,0.29500,0.30001,0.29000,0.30001,70158,0.30001
BRCI-201007,20061107,0.30001,0.30001,0.29000,0.30001,50500,0.30001
BRCI-201007,20061108,0.30001,0.30001,0.30001,0.30001,24500,0.30001
BRCI-201007,20061116,0.29000,0.29000,0.29000,0.29000,2244,0.29000
BRCI-201007,20061120,0.30001,0.30001,0.30001,0.30001,20666,0.30001
BRCI-201007,20061127,0.30001,0.30001,0.30001,0.30001,34668,0.30001
BRCI-201007,20061204,0.29000,0.29000,0.29000,0.29000,626,0.29000
BRCI-201007,20061206,0.30001,0.30001,0.30001,0.30001,25000,0.30001
BRCI-201007,20061207,0.29000,0.29000,0.29000,0.29000,20000,0.29000
BRCI-201007,20061211,0.29000,0.30001,0.29000,0.30001,20338,0.30001
BRCI-201007,20061214,0.30001,0.30001,0.29000,0.30001,25156,0.30001
BRCI-201007,20061218,0.29000,0.29000,0.29000,0.29000,112,0.29000
BRCI-201007,20061219,0.29000,0.29000,0.29000,0.29000,1950,0.29000
BRCI-201007,20061222,0.30001,0.30001,0.30001,0.30001,10000,0.30001
BRCI-201007,20061226,0.29000,0.29000,0.29000,0.29000,438,0.29000
BRCI-201007,20070104,0.30001,0.30001,0.30001,0.30001,30000,0.30001
BRCI-201007,20070112,0.29000,0.30001,0.29000,0.30001,55000,0.30001
BRCI-201007,20070116,0.25000,0.25000,0.25000,0.25000,20000,0.25000
BRCI-201007,20070118,0.21000,0.21000,0.21000,0.21000,5000,0.21000
BRCI-201007,20070119,0.19000,0.20001,0.19000,0.19000,670112,0.19000
BRCI-201007,20070122,0.15001,0.16000,0.10001,0.10001,40000,0.10001
BRCI-201007,20070123,0.10001,0.12000,0.10001,0.11000,17292,0.11000
BRCI-201007,20070202,0.11000,0.12000,0.11000,0.11000,56542,0.11000
BRCI-201007,20070205,0.10001,0.10001,0.10001,0.10001,1500,0.10001
BRCI-201007,20070207,0.16000,0.16000,0.16000,0.16000,500,0.16000
BRCI-201007,20070208,0.11000,0.11000,0.11000,0.11000,50000,0.11000
