Ticker,Date,Open,High,Low,Close,Volume,Open Interest
BROA-200111,20001003,34.56250,36.75000,34.56250,36.37500,33480,36.37500
BROA-200111,20001004,34.14060,35.00000,32.37500,32.62500,64562,32.62500
BROA-200111,20001005,32.62500,33.37500,31.50000,32.87500,54188,32.87500
BROA-200111,20001006,31.12500,32.00000,27.25000,27.50000,35732,27.50000
BROA-200111,20001009,27.56250,29.50000,27.56250,29.06250,17082,29.06250
BROA-200111,20001010,29.31250,29.37500,27.50000,27.56250,55602,27.56250
BROA-200111,20001011,27.50000,29.00000,27.37500,28.50000,57738,28.50000
BROA-200111,20001012,30.00000,31.37500,29.25000,29.96880,16442,29.96880
BROA-200111,20001013,30.00000,31.25000,29.50000,30.87500,35404,30.87500
BROA-200111,20001016,30.25000,30.93750,28.62500,29.12500,13082,29.12500
BROA-200111,20001017,28.62500,28.62500,26.50000,27.43750,16920,27.43750
BROA-200111,20001018,23.00000,24.25000,21.00000,21.50000,30682,21.50000
BROA-200111,20001019,24.75000,26.50000,24.75000,25.12500,30066,25.12500
BROA-200111,20001020,26.75000,27.12500,24.81250,26.00000,22722,26.00000
BROA-200111,20001023,25.00000,25.03121,24.00000,24.00000,6650,24.00000
BROA-200111,20001024,24.00000,24.93750,23.68750,23.75000,14126,23.75000
BROA-200111,20001025,24.18750,24.18750,23.50000,23.50000,6008,23.50000
BROA-200111,20001026,23.50000,23.87500,22.12500,22.75000,7454,22.75000
BROA-200111,20001027,22.96880,26.81250,22.96880,25.12500,31124,25.12500
BROA-200111,20001030,25.12500,27.00000,25.12500,25.87500,16572,25.87500
BROA-200111,20001031,23.00000,23.12500,21.00000,21.00000,22430,21.00000
BROA-200111,20001101,21.62500,22.50000,21.37500,21.75000,20288,21.75000
BROA-200111,20001102,23.00000,23.50000,22.68750,23.25000,40348,23.25000
BROA-200111,20001103,24.12500,25.25000,24.12500,24.50000,15600,24.50000
BROA-200111,20001106,25.25000,25.75000,25.25000,25.75000,12538,25.75000
BROA-200111,20001107,24.81250,25.00000,24.12500,24.50000,38422,24.50000
BROA-200111,20001108,24.84380,25.06250,24.12500,24.12500,13512,24.12500
BROA-200111,20001109,23.43750,24.37500,23.00000,24.37500,13380,24.37500
BROA-200111,20001110,23.06250,23.18750,23.00000,23.00000,5958,23.00000
BROA-200111,20001113,18.90621,19.62500,18.00000,19.06250,14798,19.06250
BROA-200111,20001114,20.25000,20.37500,19.62500,19.75000,42378,19.75000
BROA-200111,20001115,19.56250,19.56250,18.75000,19.00000,6746,19.00000
BROA-200111,20001116,18.25000,18.31250,17.50000,17.75000,57030,17.75000
BROA-200111,20001117,17.75000,18.25000,17.68750,18.12500,27800,18.12500
BROA-200111,20001120,17.68750,17.84380,16.50000,16.87500,9530,16.87500
BROA-200111,20001121,16.78121,17.00000,16.37500,16.50000,82148,16.50000
BROA-200111,20001122,16.09380,16.09380,13.87500,14.62500,18624,14.62500
BROA-200111,20001124,15.87500,16.96880,15.87500,16.50000,12718,16.50000
BROA-200111,20001127,16.50000,16.93750,15.37500,15.50000,25610,15.50000
BROA-200111,20001128,15.25000,15.43750,14.50000,15.00000,31082,15.00000
BROA-200111,20001129,14.50000,14.62500,13.00000,13.62500,215846,13.62500
BROA-200111,20001130,12.65621,14.00000,12.18750,14.00000,78504,14.00000
BROA-200111,20001201,14.00000,14.00000,13.37500,13.37500,14842,13.37500
BROA-200111,20001204,13.18750,13.18750,12.50000,12.75000,55418,12.75000
BROA-200111,20001205,12.81250,13.37500,12.37500,13.06250,28224,13.06250
BROA-200111,20001206,12.75000,13.00000,12.00000,12.12500,32174,12.12500
BROA-200111,20001207,12.56250,12.56250,11.75000,11.75000,15924,11.75000
BROA-200111,20001208,12.68750,13.25000,12.50000,13.00000,50748,13.00000
BROA-200111,20001211,15.00000,15.40621,14.31250,14.87500,123020,14.87500
BROA-200111,20001212,15.87500,17.75000,15.87500,16.93750,61390,16.93750
BROA-200111,20001213,16.46880,16.46880,13.75000,14.00000,17788,14.00000
BROA-200111,20001214,14.00000,14.50000,14.00000,14.12500,12396,14.12500
BROA-200111,20001215,13.75000,13.75000,13.18750,13.25000,16952,13.25000
BROA-200111,20001218,13.25000,13.50000,12.43750,12.43750,35352,12.43750
BROA-200111,20001219,11.87500,12.25000,11.25000,11.25000,29704,11.25000
BROA-200111,20001220,11.37500,11.50000,10.75000,10.75000,33480,10.75000
BROA-200111,20001221,10.62500,10.62500,9.00000,9.12500,36672,9.12500
BROA-200111,20001222,9.93750,10.12500,9.00000,9.25000,44920,9.25000
BROA-200111,20001226,9.03126,9.25000,8.43750,8.43750,27528,8.43750
BROA-200111,20001227,8.25000,8.50000,7.37500,7.75000,39214,7.75000
BROA-200111,20001228,7.93750,8.62500,7.62500,8.12500,51132,8.12500
BROA-200111,20001229,8.59376,10.00000,8.59376,9.43750,204770,9.43750
BROA-200111,20010102,6.87500,7.37500,6.31250,6.50000,49958,6.50000
BROA-200111,20010103,6.12500,7.31250,6.00000,7.12500,50406,7.12500
BROA-200111,20010104,6.31250,6.37500,5.87500,6.12500,66026,6.12500
BROA-200111,20010105,5.81250,5.81250,5.50000,5.62500,39918,5.62500
BROA-200111,20010108,5.37500,5.50000,5.00000,5.37500,49836,5.37500
BROA-200111,20010109,5.40626,6.18750,5.18750,5.81250,28204,5.81250
BROA-200111,20010110,5.71876,6.00000,5.25000,6.00000,54918,6.00000
BROA-200111,20010111,5.81250,6.06250,5.50000,6.06250,68720,6.06250
BROA-200111,20010112,6.28126,6.81250,6.25000,6.62500,61352,6.62500
BROA-200111,20010116,7.37500,8.25000,7.37500,7.87500,103484,7.87500
BROA-200111,20010117,9.25000,9.75000,8.87500,9.00000,247692,9.00000
BROA-200111,20010118,11.53121,13.75000,11.37500,12.93750,362072,12.93750
BROA-200111,20010119,15.15621,15.75000,12.12500,12.37500,182584,12.37500
BROA-200111,20010122,13.12500,14.00000,13.00000,13.25000,61324,13.25000
BROA-200111,20010123,13.75000,13.75000,13.37500,13.43750,42754,13.43750
BROA-200111,20010124,13.68750,13.68750,12.87500,13.00000,38632,13.00000
BROA-200111,20010125,11.87500,12.00000,11.00000,11.25000,57674,11.25000
BROA-200111,20010126,11.00000,12.50000,11.00000,12.12500,37862,12.12500
