Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CABG-200604,20041208,6.40001,6.40001,5.75000,6.09001,864116,6.09001
CABG-200604,20041209,6.35000,6.35000,5.86001,6.02000,150006,6.02000
CABG-200604,20041210,6.61001,6.61001,6.03001,6.42001,148350,6.42001
CABG-200604,20041213,6.57001,6.98001,6.40001,6.65001,135202,6.65001
CABG-200604,20041214,6.65001,6.65001,6.26001,6.28001,57370,6.28001
CABG-200604,20041215,6.29000,6.40001,6.05001,6.21001,84252,6.21001
CABG-200604,20041216,6.40001,6.40001,6.05001,6.08000,36232,6.08000
CABG-200604,20041217,6.20000,6.30001,6.05001,6.06000,61446,6.06000
CABG-200604,20041220,6.29000,6.29000,6.05001,6.18000,71542,6.18000
CABG-200604,20041221,6.30001,6.35000,5.91000,6.10000,84076,6.10000
CABG-200604,20041222,6.15001,6.15001,5.94001,6.10000,63308,6.10000
CABG-200604,20041223,6.15001,6.15001,5.79000,6.07001,35900,6.07001
CABG-200604,20041227,5.85000,6.10000,5.85000,5.97000,36062,5.97000
CABG-200604,20041228,6.11001,6.11001,5.86001,6.04000,37820,6.04000
CABG-200604,20041229,5.79000,6.05001,5.79000,6.04000,23636,6.04000
CABG-200604,20041230,5.79000,6.09001,5.79000,5.90001,20546,5.90001
CABG-200604,20041231,5.80001,5.99000,5.79000,5.99000,27710,5.99000
CABG-200604,20050103,6.10000,6.10000,5.81000,6.05001,45466,6.05001
CABG-200604,20050104,6.17001,6.17001,5.80001,5.86001,30760,5.86001
CABG-200604,20050105,6.01201,6.01201,5.80001,5.80001,38894,5.80001
CABG-200604,20050106,5.80001,5.83000,5.35000,5.38001,86766,5.38001
CABG-200604,20050107,5.62000,5.85000,5.50000,5.67001,84200,5.67001
CABG-200604,20050110,5.95000,5.95000,5.55001,5.63001,37772,5.63001
CABG-200604,20050111,5.80001,5.90001,5.53001,5.65001,68230,5.65001
CABG-200604,20050112,5.85000,5.85000,5.55001,5.60000,18880,5.60000
CABG-200604,20050113,5.85000,5.85000,5.45000,5.60000,33918,5.60000
CABG-200604,20050114,5.69001,6.00000,5.46001,5.90001,42066,5.90001
CABG-200604,20050118,5.72000,6.03001,5.53001,5.99000,65096,5.99000
CABG-200604,20050119,6.03001,6.03001,5.73001,6.00000,35780,6.00000
CABG-200604,20050120,6.03001,6.03001,5.93000,5.93600,15230,5.93600
CABG-200604,20050121,6.00000,6.00000,5.75000,5.75000,68206,5.75000
CABG-200604,20050124,5.90001,5.95000,5.70000,5.70000,50636,5.70000
CABG-200604,20050125,5.67001,5.85000,5.66000,5.79000,103678,5.79000
CABG-200604,20050126,5.87000,5.95000,5.66000,5.80001,61466,5.80001
CABG-200604,20050127,5.75000,5.89000,5.70000,5.78001,55008,5.78001
CABG-200604,20050128,5.84001,5.84001,5.50000,5.53001,26850,5.53001
CABG-200604,20050131,5.50000,5.60000,5.25000,5.39000,47556,5.39000
CABG-200604,20050201,5.50000,5.50000,5.25000,5.40001,12934,5.40001
CABG-200604,20050202,5.49000,5.49000,4.67001,4.88001,61178,4.88001
CABG-200604,20050203,4.77000,5.09001,4.77000,5.09001,41532,5.09001
CABG-200604,20050204,5.10000,5.60000,4.85000,5.40001,37700,5.40001
CABG-200604,20050207,5.35000,5.53001,5.04000,5.52000,22494,5.52000
CABG-200604,20050208,5.25000,5.53001,5.25000,5.44001,13870,5.44001
CABG-200604,20050209,5.31000,5.53001,5.30001,5.30001,3020,5.30001
CABG-200604,20050210,5.27000,5.40001,5.18000,5.40001,12300,5.40001
CABG-200604,20050211,5.40001,5.40001,5.04000,5.20000,3880,5.20000
CABG-200604,20050214,5.24000,5.24000,4.89000,5.05001,19106,5.05001
CABG-200604,20050215,4.95000,5.15001,4.95000,5.15001,18376,5.15001
CABG-200604,20050216,4.95000,5.12000,4.90001,4.98001,13464,4.98001
CABG-200604,20050217,5.00000,5.20000,4.99000,5.10000,17100,5.10000
CABG-200604,20050218,5.30001,5.33000,5.00000,5.33000,27000,5.33000
CABG-200604,20050222,5.11001,5.31000,5.00000,5.00000,17536,5.00000
CABG-200604,20050223,4.95000,5.20000,4.86101,4.87000,16426,4.87000
CABG-200604,20050224,4.85000,4.90001,4.70000,4.70000,25798,4.70000
CABG-200604,20050225,4.65001,4.78001,4.65001,4.73001,16150,4.73001
CABG-200604,20050228,4.77000,4.97000,4.77000,4.83000,3400,4.83000
CABG-200604,20050301,4.83000,4.98001,4.75000,4.90001,9200,4.90001
CABG-200604,20050302,4.80001,4.90001,4.74000,4.77200,7300,4.77200
CABG-200604,20050303,4.84001,4.85000,4.75000,4.85000,4800,4.85000
CABG-200604,20050304,4.93401,4.98001,4.75000,4.80001,15400,4.80001
CABG-200604,20050307,4.75000,4.80001,4.60000,4.75000,19330,4.75000
CABG-200604,20050308,4.75000,4.78001,4.58000,4.72000,19684,4.72000
CABG-200604,20050309,4.88001,4.88001,4.35000,4.40001,27658,4.40001
CABG-200604,20050310,4.65001,4.65001,3.89001,4.05001,55984,4.05001
CABG-200604,20050311,4.10000,4.20000,3.83000,4.09001,46334,4.09001
CABG-200604,20050314,4.09001,4.20000,3.65001,3.99001,61846,3.99001
CABG-200604,20050315,3.99001,4.10000,3.90001,4.00000,18240,4.00000
CABG-200604,20050316,4.00000,4.00000,3.95001,3.99500,28550,3.99500
CABG-200604,20050317,3.95001,4.00000,3.91001,4.00000,10800,4.00000
CABG-200604,20050318,3.92001,4.04000,3.91001,3.91001,35600,3.91001
CABG-200604,20050321,4.00000,4.14000,3.90001,3.91001,17800,3.91001
CABG-200604,20050322,4.06000,4.06000,3.90001,3.95001,16050,3.95001
CABG-200604,20050323,4.20000,4.40001,4.00000,4.00000,202276,4.00000
CABG-200604,20050324,3.95001,4.00000,3.90001,3.98001,244900,3.98001
CABG-200604,20050328,4.21001,4.21001,3.82000,4.00000,42306,4.00000
CABG-200604,20050329,4.00000,4.02000,3.73001,3.77000,20150,3.77000
CABG-200604,20050330,3.90001,3.90001,3.54100,3.70001,29000,3.70001
CABG-200604,20050331,3.80000,4.00000,3.39001,3.90001,19574,3.90001
CABG-200604,20050401,4.20000,4.20000,3.90001,4.00000,28564,4.00000
CABG-200604,20050404,4.21001,4.21001,3.80000,3.83000,18974,3.83000
CABG-200604,20050405,3.73001,4.16201,3.73001,4.08000,25862,4.08000
CABG-200604,20050406,3.98001,4.08000,3.89001,3.95001,11258,3.95001
CABG-200604,20050407,3.85000,4.02000,3.75000,4.00000,38900,4.00000
CABG-200604,20050408,3.83000,4.00000,3.75000,4.00000,39250,4.00000
CABG-200604,20050411,4.19001,4.19001,3.85000,4.00000,8100,4.00000
CABG-200604,20050412,3.82000,3.95001,3.75000,3.80000,21530,3.80000
CABG-200604,20050413,3.83000,3.90001,3.80000,3.89001,12552,3.89001
CABG-200604,20050414,3.98001,3.98001,3.57000,3.70001,22490,3.70001
