Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CB+B-200608,20031009,28.51001,28.55000,28.20001,28.28001,133200,28.28001
CB+B-200608,20031010,28.40000,28.40000,28.01001,28.20001,16100,28.20001
CB+B-200608,20031013,28.19001,28.60001,28.19001,28.50000,63900,28.50000
CB+B-200608,20031014,28.70001,28.95001,28.45001,28.92001,41800,28.92001
CB+B-200608,20031015,28.92001,28.92001,28.56000,28.80000,23100,28.80000
CB+B-200608,20031016,28.80000,28.90000,28.53001,28.85001,103200,28.85001
CB+B-200608,20031017,28.85001,28.85001,28.01001,28.34001,17300,28.34001
CB+B-200608,20031020,28.25000,28.40000,28.07000,28.39000,306400,28.39000
CB+B-200608,20031021,28.30000,28.30000,28.15000,28.29001,186700,28.29001
CB+B-200608,20031022,28.10001,28.10001,27.55000,27.78001,24700,27.78001
CB+B-200608,20031023,27.90000,28.12001,27.70001,27.99000,17100,27.99000
CB+B-200608,20031024,27.99000,28.05000,27.75000,28.05000,80000,28.05000
CB+B-200608,20031027,28.01001,28.36001,28.01001,28.26001,83800,28.26001
CB+B-200608,20031028,27.75000,27.75000,27.05000,27.38000,454900,27.38000
CB+B-200608,20031029,27.75000,28.15000,27.61001,28.15000,47800,28.15000
CB+B-200608,20031030,27.90000,27.90000,27.42001,27.48000,110500,27.48000
CB+B-200608,20031031,27.58000,27.80000,27.58000,27.75000,67400,27.75000
CB+B-200608,20031103,27.75000,27.75000,27.42001,27.75000,90300,27.75000
CB+B-200608,20031104,27.75000,27.84001,27.65000,27.75000,151000,27.75000
CB+B-200608,20031105,27.75000,27.75000,27.25000,27.48000,132800,27.48000
CB+B-200608,20031106,27.55000,27.60001,27.31000,27.60001,167100,27.60001
CB+B-200608,20031107,27.52001,27.90000,26.95001,27.00000,767900,27.00000
CB+B-200608,20031110,27.09001,27.09001,26.89000,27.00000,65000,27.00000
CB+B-200608,20031111,27.25000,27.25000,27.00000,27.19001,16000,27.19001
CB+B-200608,20031112,27.14000,27.33000,27.13000,27.20001,108900,27.20001
CB+B-200608,20031113,27.25000,27.29001,27.09001,27.29001,115000,27.29001
CB+B-200608,20031114,27.45001,27.45001,27.00000,27.04001,60200,27.04001
CB+B-200608,20031117,27.04001,27.04001,26.90000,26.99000,19300,26.99000
CB+B-200608,20031118,27.05000,27.05000,26.70001,26.79001,174000,26.79001
CB+B-200608,20031119,26.84001,26.95001,26.66000,26.94001,2101900,26.94001
CB+B-200608,20031120,26.94001,26.95001,26.61001,26.82000,407400,26.82000
CB+B-200608,20031121,26.90000,26.92001,26.45001,26.70001,138300,26.70001
CB+B-200608,20031124,26.84001,27.17001,26.84001,27.12001,84400,27.12001
CB+B-200608,20031125,27.25000,27.49000,27.25000,27.38000,668800,27.38000
CB+B-200608,20031126,27.45001,27.48000,27.15000,27.43001,9900,27.43001
CB+B-200608,20031128,27.50000,27.50000,27.50000,27.50000,800,27.50000
CB+B-200608,20031201,27.50000,27.90000,27.50000,27.78001,61600,27.78001
CB+B-200608,20031202,27.78001,27.82000,27.66000,27.82000,45200,27.82000
CB+B-200608,20031203,27.93001,28.03001,27.83000,27.84001,23700,27.84001
CB+B-200608,20031204,27.85001,27.85001,27.70001,27.80000,64800,27.80000
CB+B-200608,20031205,27.80000,27.80000,27.69001,27.75000,44300,27.75000
CB+B-200608,20031208,27.64000,27.80000,27.51001,27.70001,125500,27.70001
CB+B-200608,20031209,27.76001,27.76001,27.50000,27.56000,40800,27.56000
CB+B-200608,20031210,27.62001,27.62001,27.30000,27.45001,233500,27.45001
CB+B-200608,20031211,27.42001,27.66000,27.41000,27.55000,20200,27.55000
CB+B-200608,20031212,27.70001,28.00000,27.58000,27.76001,26000,27.76001
CB+B-200608,20031215,28.00000,28.00000,27.66000,27.71000,114500,27.71000
CB+B-200608,20031216,27.77001,28.00000,27.74000,27.85001,360700,27.85001
CB+B-200608,20031217,27.90000,27.90000,27.62001,27.75000,117600,27.75000
CB+B-200608,20031218,27.65000,28.00000,27.65000,28.00000,101700,28.00000
CB+B-200608,20031219,27.90000,28.00000,27.88000,28.00000,10600,28.00000
CB+B-200608,20031222,28.10001,28.17001,28.04001,28.17001,22800,28.17001
CB+B-200608,20031223,28.25000,28.45001,28.20001,28.42001,14400,28.42001
CB+B-200608,20031224,28.42001,28.52001,28.40000,28.50000,3600,28.50000
CB+B-200608,20031226,28.54001,28.54001,28.53001,28.54001,4300,28.54001
CB+B-200608,20031229,28.53001,28.65000,28.34001,28.63000,88800,28.63000
CB+B-200608,20031230,28.80000,28.80000,28.64000,28.75000,9800,28.75000
CB+B-200608,20031231,28.75000,28.82000,28.66000,28.82000,8500,28.82000
CB+B-200608,20040102,28.76001,28.81000,28.60001,28.66000,136600,28.66000
CB+B-200608,20040105,28.75000,28.89000,28.65000,28.75000,182000,28.75000
CB+B-200608,20040106,28.75000,28.75000,28.53001,28.70001,77700,28.70001
CB+B-200608,20040107,28.74000,28.74000,28.50000,28.67001,15400,28.67001
CB+B-200608,20040108,28.70001,28.70001,28.06000,28.40000,382500,28.40000
CB+B-200608,20040109,28.40000,28.40000,28.09001,28.26001,135200,28.26001
CB+B-200608,20040112,28.32000,28.75000,28.25000,28.74000,112300,28.74000
CB+B-200608,20040113,28.80000,28.87001,28.60001,28.79001,27800,28.79001
CB+B-200608,20040114,28.75000,29.10001,28.75000,29.08000,130500,29.08000
CB+B-200608,20040115,29.17001,29.49000,29.17001,29.48000,85600,29.48000
CB+B-200608,20040116,29.55000,29.65000,29.30000,29.50000,13600,29.50000
CB+B-200608,20040120,29.51001,29.51001,29.06000,29.49000,69000,29.49000
CB+B-200608,20040121,29.55000,29.62001,29.40000,29.51001,242800,29.51001
CB+B-200608,20040122,29.48000,29.50000,29.25000,29.39000,123800,29.39000
CB+B-200608,20040123,29.39000,29.55000,29.27001,29.40000,72600,29.40000
CB+B-200608,20040126,29.50000,29.85001,29.50000,29.85001,108800,29.85001
CB+B-200608,20040127,29.95001,29.95001,29.70001,29.84001,75600,29.84001
CB+B-200608,20040128,29.95001,30.00000,29.35001,29.35001,234600,29.35001
CB+B-200608,20040129,29.02001,29.17001,28.77001,29.04001,144400,29.04001
CB+B-200608,20040130,28.91000,29.33000,28.91000,29.33000,174500,29.33000
CB+B-200608,20040202,29.45001,29.56000,29.36001,29.37001,122100,29.37001
CB+B-200608,20040203,29.40000,29.52001,29.23000,29.43001,17500,29.43001
CB+B-200608,20040204,28.65000,29.04001,28.45001,29.04001,167400,29.04001
CB+B-200608,20040205,28.99000,29.66000,28.99000,29.66000,14600,29.66000
CB+B-200608,20040206,29.75000,29.75000,29.63000,29.64000,10600,29.64000
CB+B-200608,20040209,29.56000,29.69001,29.40000,29.52001,19500,29.52001
CB+B-200608,20040210,29.60001,29.60001,29.25000,29.44001,24100,29.44001
CB+B-200608,20040211,29.44001,29.44001,29.26001,29.40000,10500,29.40000
CB+B-200608,20040212,29.42001,29.43001,29.16000,29.16000,19400,29.16000
CB+B-200608,20040213,29.35001,29.35001,29.13000,29.28001,24600,29.28001
CB+B-200608,20040217,29.34001,29.49000,29.30000,29.45001,24400,29.45001
CB+B-200608,20040218,29.45001,29.45001,29.06000,29.19001,115700,29.19001
CB+B-200608,20040219,29.24000,29.24000,29.10001,29.19001,13800,29.19001
CB+B-200608,20040220,29.30000,29.30000,29.10001,29.29001,21800,29.29001
CB+B-200608,20040223,29.19001,29.28001,29.11001,29.28001,9100,29.28001
CB+B-200608,20040224,29.28001,29.34001,29.13000,29.25000,8200,29.25000
CB+B-200608,20040225,29.05000,29.40000,29.05000,29.26001,66700,29.26001
CB+B-200608,20040226,29.26001,29.34001,29.19001,29.29001,19100,29.29001
CB+B-200608,20040227,29.22000,29.36001,29.20001,29.34001,9900,29.34001
CB+B-200608,20040301,29.22000,29.34001,29.10001,29.20001,17600,29.20001
CB+B-200608,20040302,29.20001,29.34001,29.15000,29.34001,10100,29.34001
CB+B-200608,20040303,29.45001,29.88000,29.43001,29.85001,25500,29.85001
CB+B-200608,20040304,29.85001,30.08000,29.65000,30.05000,18200,30.05000
CB+B-200608,20040305,30.05000,30.10001,29.93001,30.07000,22600,30.07000
CB+B-200608,20040308,30.07000,30.15000,29.90000,30.00000,41700,30.00000
CB+B-200608,20040309,30.03001,30.03001,29.57000,29.68001,48200,29.68001
CB+B-200608,20040310,29.51001,29.60001,29.18001,29.19001,106100,29.19001
CB+B-200608,20040311,29.10001,29.10001,28.65000,28.65000,14900,28.65000
CB+B-200608,20040312,28.78001,28.81000,28.60001,28.61001,17800,28.61001
CB+B-200608,20040315,28.56000,28.59001,28.45001,28.54001,2700,28.54001
CB+B-200608,20040316,28.64000,28.79001,28.47000,28.70001,35000,28.70001
CB+B-200608,20040317,28.55000,28.89000,28.55000,28.89000,15300,28.89000
