Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CEQ-198603,19850102,5.00000,5.00000,5.00000,5.00000,1000,5.00000
CEQ-198603,19850103,5.00000,5.12500,5.00000,5.12500,700,5.12500
CEQ-198603,19850104,4.87500,5.00000,4.87500,5.00000,1000,5.00000
CEQ-198603,19850107,5.00000,5.00000,5.00000,5.00000,2000,5.00000
CEQ-198603,19850108,5.00000,5.00000,5.00000,5.00000,1600,5.00000
CEQ-198603,19850109,5.00000,5.00000,5.00000,5.00000,700,5.00000
CEQ-198603,19850114,5.00000,5.00000,5.00000,5.00000,1100,5.00000
CEQ-198603,19850115,5.00000,5.12500,5.00000,5.12500,2500,5.12500
CEQ-198603,19850116,5.12500,5.25000,5.12500,5.25000,300,5.25000
CEQ-198603,19850118,5.12500,5.12500,5.12500,5.12500,200,5.12500
CEQ-198603,19850121,5.12500,5.12500,5.12500,5.12500,3000,5.12500
CEQ-198603,19850122,5.12500,5.12500,5.12500,5.12500,100,5.12500
CEQ-198603,19850123,5.25000,5.25000,5.25000,5.25000,1000,5.25000
CEQ-198603,19850125,5.12500,5.12500,5.12500,5.12500,200,5.12500
CEQ-198603,19850128,5.00000,5.25000,5.00000,5.25000,700,5.25000
CEQ-198603,19850129,5.12500,5.37500,5.12500,5.37500,1200,5.37500
CEQ-198603,19850130,5.25000,5.25000,5.00000,5.00000,6000,5.00000
CEQ-198603,19850201,5.00000,5.00000,5.00000,5.00000,400,5.00000
CEQ-198603,19850205,5.00000,5.00000,5.00000,5.00000,600,5.00000
CEQ-198603,19850206,5.00000,5.00000,5.00000,5.00000,700,5.00000
CEQ-198603,19850207,5.00000,5.25000,5.00000,5.25000,3100,5.25000
CEQ-198603,19850208,5.50000,5.50000,5.37500,5.37500,7300,5.37500
CEQ-198603,19850211,6.12500,6.62500,5.62500,6.50000,20300,6.50000
CEQ-198603,19850212,6.87500,6.87500,6.50000,6.50000,13000,6.50000
CEQ-198603,19850213,6.50000,6.50000,6.00000,6.00000,2700,6.00000
CEQ-198603,19850214,6.00000,6.25000,5.75000,6.00000,2100,6.00000
CEQ-198603,19850215,6.00000,7.00000,6.00000,7.00000,11200,7.00000
CEQ-198603,19850219,7.50000,7.50000,7.00000,7.00000,10300,7.00000
CEQ-198603,19850220,7.25000,7.50000,7.00000,7.25000,5700,7.25000
CEQ-198603,19850221,7.37500,7.50000,7.25000,7.37500,10700,7.37500
CEQ-198603,19850222,7.50000,7.75000,7.50000,7.75000,3100,7.75000
