Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CFA-199104,19850102,2.78410,2.78410,2.78410,2.78410,1100,6.12500
CFA-199104,19850103,2.84092,2.84092,2.84092,2.84092,6600,6.25000
CFA-199104,19850104,2.89774,2.95456,2.89774,2.95456,6820,6.50000
CFA-199104,19850107,2.95456,3.12501,2.95456,3.12501,11000,6.87500
CFA-199104,19850108,3.18183,3.35229,3.18183,3.35229,21560,7.37500
CFA-199104,19850109,3.35229,3.35229,3.18183,3.18183,32560,7.00000
CFA-199104,19850110,3.12501,3.18183,3.12501,3.18183,5280,7.00000
CFA-199104,19850111,3.12501,3.12501,3.12501,3.12501,440,6.87500
CFA-199104,19850114,3.12501,3.23865,3.12501,3.23865,17160,7.12500
CFA-199104,19850115,3.18183,3.23865,3.18183,3.23865,14300,7.12500
CFA-199104,19850116,3.40910,3.40910,3.23865,3.23865,5940,7.12500
CFA-199104,19850117,3.23865,3.29547,3.18183,3.23865,5060,7.12500
CFA-199104,19850118,3.12501,3.18183,3.12501,3.18183,1540,7.00000
CFA-199104,19850121,3.12501,3.12501,3.06819,3.06819,3740,6.75000
CFA-199104,19850122,3.01138,3.06819,2.95456,3.01138,5500,6.62500
CFA-199104,19850123,3.12501,3.29547,3.12501,3.29547,66000,7.25000
CFA-199104,19850124,3.35229,3.40910,3.29547,3.35229,21340,7.37500
CFA-199104,19850125,3.40910,3.46592,3.29547,3.35229,28380,7.37500
CFA-199104,19850128,3.46592,3.46592,3.35229,3.35229,23540,7.37500
CFA-199104,19850129,3.52274,3.52274,3.40910,3.40910,24420,7.50000
CFA-199104,19850130,3.29547,3.46592,3.29547,3.46592,41360,7.62500
CFA-199104,19850131,3.40910,3.52274,3.40910,3.52274,20900,7.75000
CFA-199104,19850201,3.46592,3.57956,3.46592,3.57956,23100,7.87500
CFA-199104,19850204,3.57956,3.57956,3.52274,3.52274,9240,7.75000
CFA-199104,19850205,3.52274,3.75001,3.52274,3.75001,21120,8.25000
CFA-199104,19850206,3.86365,3.97729,3.75001,3.80683,43340,8.37500
CFA-199104,19850207,3.75001,3.80683,3.69320,3.75001,10120,8.25000
CFA-199104,19850208,3.69320,3.75001,3.63638,3.69320,11880,8.12500
CFA-199104,19850211,3.92047,4.03411,3.80683,3.97729,102960,8.75000
CFA-199104,19850212,3.80683,3.86365,3.80683,3.86365,31900,8.50000
CFA-199104,19850213,3.92047,3.97729,3.86365,3.92047,41360,8.62500
CFA-199104,19850214,4.09092,4.31820,3.92047,4.26138,48400,9.37500
CFA-199104,19850215,4.20456,4.31820,4.14774,4.26138,49720,9.37500
CFA-199104,19850219,4.48865,4.65911,4.31820,4.54547,47740,10.00000
CFA-199104,19850220,4.43183,4.65911,4.26138,4.37502,97020,9.62500
CFA-199104,19850221,4.31820,4.43183,4.31820,4.43183,48620,9.75000
CFA-199104,19850222,4.37502,4.43183,4.31820,4.37502,23100,9.62500
CFA-199104,19850225,4.37502,4.37502,4.26138,4.26138,14080,9.37500
CFA-199104,19850226,4.20456,4.31820,4.14774,4.20456,16280,9.25000
CFA-199104,19850227,4.20456,4.26138,4.14774,4.20456,15620,9.25000
CFA-199104,19850228,4.20456,4.26138,4.14774,4.20456,7480,9.25000
CFA-199104,19850301,4.20456,4.26138,4.14774,4.20456,13640,9.25000
CFA-199104,19850304,4.14774,4.20456,4.14774,4.20456,7040,9.25000
CFA-199104,19850305,4.20456,4.26138,4.09092,4.14774,15840,9.12500
CFA-199104,19850306,4.20456,4.31820,4.03411,4.20456,61160,9.25000
CFA-199104,19850307,4.14774,4.14774,4.09092,4.09092,14300,9.00000
CFA-199104,19850308,4.14774,4.20456,4.09092,4.14774,9020,9.12500
CFA-199104,19850311,4.26138,4.26138,4.14774,4.14774,14740,9.12500
CFA-199104,19850312,4.14774,4.14774,4.09092,4.09092,9900,9.00000
CFA-199104,19850313,4.20456,4.20456,4.14774,4.14774,15620,9.12500
CFA-199104,19850314,4.20456,4.20456,4.14774,4.14774,9240,9.12500
CFA-199104,19850315,4.14774,4.14774,4.09092,4.09092,8800,9.00000
CFA-199104,19850318,4.09092,4.14774,4.09092,4.14774,1980,9.12500
CFA-199104,19850319,4.09092,4.14774,4.03411,4.09092,15180,9.00000
CFA-199104,19850320,4.03411,4.03411,3.92047,3.92047,14520,8.62500
CFA-199104,19850321,3.97729,3.97729,3.86365,3.86365,6600,8.50000
CFA-199104,19850322,3.92047,3.92047,3.52274,3.52274,14960,7.75000
CFA-199104,19850325,3.52274,3.57956,3.52274,3.57956,26180,7.87500
CFA-199104,19850326,3.46592,3.52274,3.46592,3.52274,4180,7.75000
CFA-199104,19850327,3.63638,3.75001,3.46592,3.69320,12320,8.12500
CFA-199104,19850328,3.80683,3.80683,3.69320,3.69320,4400,8.12500
CFA-199104,19850329,3.80683,3.80683,3.63638,3.63638,2200,8.00000
CFA-199104,19850401,3.57956,3.57956,3.57956,3.57956,1100,7.87500
CFA-199104,19850402,3.52274,3.57956,3.52274,3.57956,2860,7.87500
CFA-199104,19850403,3.63638,3.69320,3.57956,3.63638,4180,8.00000
CFA-199104,19850404,3.69320,3.69320,3.46592,3.46592,9900,7.62500
CFA-199104,19850408,3.57956,3.57956,3.52274,3.52274,2420,7.75000
CFA-199104,19850409,3.63638,3.69320,3.57956,3.63638,14520,8.00000
CFA-199104,19850410,3.63638,3.86365,3.63638,3.86365,6160,8.50000
CFA-199104,19850411,3.97729,3.97729,3.86365,3.86365,6380,8.50000
CFA-199104,19850412,3.86365,3.92047,3.80683,3.86365,4180,8.50000
CFA-199104,19850415,3.80683,3.86365,3.80683,3.86365,1540,8.50000
CFA-199104,19850416,3.97729,3.97729,3.80683,3.80683,5060,8.37500
CFA-199104,19850417,3.86365,3.86365,3.69320,3.69320,5280,8.12500
CFA-199104,19850418,3.80683,3.80683,3.75001,3.75001,1320,8.25000
CFA-199104,19850419,3.86365,3.86365,3.75001,3.75001,9020,8.25000
CFA-199104,19850422,3.75001,3.75001,3.69320,3.69320,6820,8.12500
CFA-199104,19850423,3.63638,3.75001,3.63638,3.75001,5720,8.25000
CFA-199104,19850424,3.75001,3.86365,3.69320,3.80683,8360,8.37500
CFA-199104,19850425,3.75001,3.80683,3.75001,3.80683,5940,8.37500
CFA-199104,19850426,3.86365,3.86365,3.80683,3.80683,4180,8.37500
CFA-199104,19850429,3.86365,3.86365,3.80683,3.80683,5940,8.37500
CFA-199104,19850430,3.80683,3.80683,3.75001,3.75001,4840,8.25000
CFA-199104,19850501,3.69320,3.86365,3.69320,3.86365,3960,8.50000
CFA-199104,19850502,3.80683,3.80683,3.75001,3.75001,1760,8.25000
CFA-199104,19850503,3.69320,3.69320,3.69320,3.69320,220,8.12500
CFA-199104,19850506,3.75001,3.75001,3.75001,3.75001,1320,8.25000
CFA-199104,19850507,3.75001,3.75001,3.63638,3.63638,3300,8.00000
CFA-199104,19850508,3.63638,3.75001,3.63638,3.75001,2640,8.25000
CFA-199104,19850509,3.69320,3.69320,3.69320,3.69320,2420,8.12500
CFA-199104,19850510,3.69320,3.69320,3.63638,3.63638,3520,8.00000
CFA-199104,19850513,3.75001,3.75001,3.57956,3.57956,12540,7.87500
CFA-199104,19850514,3.52274,3.52274,3.35229,3.35229,8360,7.37500
CFA-199104,19850515,3.63638,3.80683,3.46592,3.75001,30580,8.25000
CFA-199104,19850516,3.86365,3.97729,3.86365,3.97729,21560,8.75000
CFA-199104,19850517,3.92047,3.97729,3.92047,3.97729,6820,8.75000
CFA-199104,19850520,4.09092,4.09092,3.92047,3.92047,34320,8.62500
CFA-199104,19850521,3.86365,3.92047,3.75001,3.86365,18260,8.50000
CFA-199104,19850522,3.80683,3.97729,3.80683,3.97729,6600,8.75000
CFA-199104,19850523,4.03411,4.09092,3.97729,4.03411,14520,8.87500
CFA-199104,19850524,3.97729,3.97729,3.92047,3.92047,660,8.62500
CFA-199104,19850528,3.97729,3.97729,3.92047,3.92047,3300,8.62500
CFA-199104,19850529,3.86365,3.92047,3.86365,3.92047,1320,8.62500
CFA-199104,19850530,3.97729,3.97729,3.86365,3.86365,9460,8.50000
CFA-199104,19850531,3.80683,3.92047,3.80683,3.92047,2640,8.62500
