Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CHCR-199401,19850104,4.15969,4.40438,4.15969,4.40438,1022,4.50000
CHCR-199401,19850107,4.15969,4.15969,4.15969,4.15969,818,4.25000
CHCR-199401,19850108,4.52672,4.52672,4.52672,4.52672,511,4.62500
CHCR-199401,19850109,4.52672,4.64907,4.52672,4.64907,2044,4.75000
CHCR-199401,19850110,4.28204,4.64907,4.28204,4.64907,3474,4.75000
CHCR-199401,19850115,4.40438,4.52672,4.40438,4.52672,10626,4.62500
CHCR-199401,19850116,4.52672,4.64907,4.52672,4.64907,10524,4.75000
CHCR-199401,19850117,4.52672,4.64907,4.52672,4.64907,3576,4.75000
CHCR-199401,19850118,4.89376,4.89376,4.52672,4.52672,1942,4.62500
CHCR-199401,19850121,4.89376,5.01610,4.89376,5.01610,2555,5.12500
CHCR-199401,19850122,5.13844,5.26079,4.89376,5.13844,6307,5.25000
CHCR-199401,19850123,5.50547,5.50547,5.50547,5.50547,103,5.62500
CHCR-199401,19850124,5.50547,5.50547,5.50547,5.50547,511,5.62500
CHCR-199401,19850125,5.75016,5.75016,5.75016,5.75016,1533,5.87500
CHCR-199401,19850128,5.75016,5.75016,5.75016,5.75016,3576,5.87500
CHCR-199401,19850129,5.62782,5.87250,5.50547,5.62782,15939,5.75000
CHCR-199401,19850130,5.87250,5.87250,5.62782,5.62782,11239,5.75000
CHCR-199401,19850131,5.75016,5.99485,5.75016,5.99485,1993,6.12500
CHCR-199401,19850201,6.23954,6.23954,5.87250,5.87250,9298,6.00000
CHCR-199401,19850204,6.11719,6.11719,5.75016,5.75016,20537,5.87500
CHCR-199401,19850205,6.11719,6.11719,6.11719,6.11719,2248,6.25000
CHCR-199401,19850206,5.87250,6.11719,5.87250,6.11719,27638,6.25000
CHCR-199401,19850207,5.87250,6.11719,5.75016,5.99485,12670,6.12500
CHCR-199401,19850208,6.11719,6.11719,5.87250,5.87250,27280,6.00000
CHCR-199401,19850211,5.87250,6.23954,5.87250,6.23954,5620,6.37500
CHCR-199401,19850212,5.99485,6.72891,5.99485,6.72891,9298,6.87500
CHCR-199401,19850213,6.11719,6.36188,6.11719,6.36188,20833,6.50000
CHCR-199401,19850214,6.11719,6.60657,6.11719,6.60657,5926,6.75000
CHCR-199401,19850215,6.36188,6.60657,6.36188,6.60657,14304,6.75000
CHCR-199401,19850219,6.85126,7.21829,6.60657,6.97360,43730,7.12500
CHCR-199401,19850220,7.09594,7.21829,6.97360,7.09594,42774,7.25000
CHCR-199401,19850221,7.09594,7.21829,6.97360,7.09594,15837,7.25000
CHCR-199401,19850222,7.21829,7.21829,6.97360,6.97360,7152,7.12500
CHCR-199401,19850225,7.09594,7.09594,6.72891,6.72891,11035,6.87500
CHCR-199401,19850226,6.60657,6.97360,6.60657,6.97360,9911,7.12500
CHCR-199401,19850227,6.97360,6.97360,6.72891,6.72891,1737,6.87500
CHCR-199401,19850228,6.97360,6.97360,6.60657,6.60657,1431,6.75000
CHCR-199401,19850301,6.85126,6.85126,6.85126,6.85126,2044,7.00000
CHCR-199401,19850304,6.97360,6.97360,6.36188,6.36188,14202,6.50000
CHCR-199401,19850305,6.23954,6.60657,6.23954,6.60657,614,6.75000
CHCR-199401,19850306,6.23954,6.48422,6.23954,6.48422,1311,6.62500
CHCR-199401,19850307,6.60657,6.60657,6.60657,6.60657,1635,6.75000
CHCR-199401,19850308,6.60657,6.60657,6.23954,6.23954,205,6.37500
CHCR-199401,19850312,6.60657,6.60657,6.60657,6.60657,205,6.75000
CHCR-199401,19850313,6.11719,6.36188,6.11719,6.36188,3473,6.50000
CHCR-199401,19850314,6.36188,6.36188,5.62782,5.62782,15428,5.75000
CHCR-199401,19850315,5.50547,5.50547,5.50547,5.50547,1329,5.62500
CHCR-199401,19850318,5.62782,5.75016,5.38313,5.50547,46591,5.62500
CHCR-199401,19850320,5.62782,5.75016,5.50547,5.62782,1227,5.75000
CHCR-199401,19850321,5.38313,5.62782,5.38313,5.62782,8174,5.75000
CHCR-199401,19850322,5.50547,5.62782,5.38313,5.50547,10320,5.62500
CHCR-199401,19850325,5.50547,5.62782,5.38313,5.50547,12261,5.62500
CHCR-199401,19850326,5.75016,5.75016,5.38313,5.38313,15531,5.50000
CHCR-199401,19850327,5.62782,5.75016,5.38313,5.62782,19413,5.75000
CHCR-199401,19850328,5.62782,5.75016,5.50547,5.62782,8992,5.75000
CHCR-199401,19850329,5.75016,5.75016,5.50547,5.50547,9196,5.62500
CHCR-199401,19850401,5.75016,5.75016,5.75016,5.75016,1227,5.87500
CHCR-199401,19850402,5.75016,5.75016,5.50547,5.50547,17165,5.62500
CHCR-199401,19850403,5.62782,5.62782,5.50547,5.50547,10831,5.62500
CHCR-199401,19850404,5.62782,5.62782,5.50547,5.50547,7152,5.62500
CHCR-199401,19850408,5.50547,5.50547,5.50547,5.50547,511,5.62500
CHCR-199401,19850409,5.62782,5.62782,5.50547,5.50547,6642,5.62500
CHCR-199401,19850410,5.62782,5.62782,5.50547,5.50547,12772,5.62500
CHCR-199401,19850411,5.62782,5.62782,5.50547,5.50547,22369,5.62500
CHCR-199401,19850415,5.75016,5.75016,5.50547,5.50547,8787,5.62500
CHCR-199401,19850416,5.50547,5.62782,5.50547,5.62782,26054,5.75000
CHCR-199401,19850417,5.62782,5.62782,5.50547,5.50547,4598,5.62500
CHCR-199401,19850418,5.50547,5.50547,5.50547,5.50547,205,5.62500
CHCR-199401,19850419,5.50547,5.62782,5.50547,5.62782,649,5.75000
CHCR-199401,19850422,5.62782,5.62782,5.50547,5.50547,409,5.62500
CHCR-199401,19850424,5.62782,5.62782,5.50547,5.50547,7766,5.62500
CHCR-199401,19850426,5.87250,5.87250,5.87250,5.87250,205,6.00000
CHCR-199401,19850429,5.87250,5.87250,5.50547,5.50547,5722,5.62500
CHCR-199401,19850501,5.50547,5.50547,5.50547,5.50547,2044,5.62500
CHCR-199401,19850502,5.75016,5.75016,5.75016,5.75016,103,5.87500
CHCR-199401,19850506,5.50547,5.62782,5.50547,5.62782,4087,5.75000
CHCR-199401,19850507,5.50547,5.50547,5.50547,5.50547,1635,5.62500
CHCR-199401,19850509,5.62782,5.62782,5.62782,5.62782,2555,5.75000
CHCR-199401,19850513,5.62782,5.62782,5.62782,5.62782,614,5.75000
CHCR-199401,19850514,5.62782,5.62782,5.62782,5.62782,1431,5.75000
CHCR-199401,19850515,5.87250,5.87250,5.87250,5.87250,205,6.00000
CHCR-199401,19850517,5.62782,5.62782,5.62782,5.62782,920,5.75000
CHCR-199401,19850521,5.62782,5.62782,5.62782,5.62782,1022,5.75000
CHCR-199401,19850522,5.62782,5.62782,5.62782,5.62782,4496,5.75000
CHCR-199401,19850523,5.87250,5.87250,5.62782,5.62782,1124,5.75000
CHCR-199401,19850524,5.62782,5.87250,5.62782,5.87250,10626,6.00000
CHCR-199401,19850528,5.62782,5.62782,5.62782,5.62782,2146,5.75000
CHCR-199401,19850529,5.62782,5.75016,5.62782,5.75016,6131,5.87500
CHCR-199401,19850531,5.62782,5.62782,5.62782,5.62782,3168,5.75000
CHCR-199401,19850603,5.87250,5.87250,5.87250,5.87250,409,6.00000
CHCR-199401,19850605,5.62782,5.62782,5.62782,5.62782,409,5.75000
CHCR-199401,19850607,5.87250,5.87250,5.62782,5.62782,2555,5.75000
