Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CHST-200404,19970722,4.25000,4.75000,4.00000,4.18750,213526,4.18750
CHST-200404,19970723,4.12500,4.37500,4.12500,4.25000,105416,4.25000
CHST-200404,19970724,4.25000,4.37500,4.25000,4.37500,98100,4.37500
CHST-200404,19970725,4.25000,4.37500,4.25000,4.25000,8370,4.25000
CHST-200404,19970728,4.37500,4.50000,4.37500,4.50000,33850,4.50000
CHST-200404,19970729,4.37500,4.37500,4.37500,4.37500,62800,4.37500
CHST-200404,19970730,4.50000,4.50000,4.37500,4.37500,15520,4.37500
CHST-200404,19970731,4.37500,4.50000,4.37500,4.37500,44000,4.37500
CHST-200404,19970801,4.37500,4.50000,4.25000,4.50000,53650,4.50000
CHST-200404,19970804,4.37500,4.50000,4.25000,4.25000,18576,4.25000
CHST-200404,19970805,4.25000,4.50000,4.25000,4.43750,40600,4.43750
CHST-200404,19970806,4.25000,4.43750,4.25000,4.25000,34456,4.25000
CHST-200404,19970807,4.37500,4.37500,4.25000,4.25000,45636,4.25000
CHST-200404,19970808,4.25000,4.37500,4.25000,4.25000,21900,4.25000
CHST-200404,19970811,4.25000,4.37500,4.00000,4.25000,22350,4.25000
CHST-200404,19970812,4.25000,4.25000,4.00000,4.00000,19450,4.00000
CHST-200404,19970813,4.00000,4.25000,4.00000,4.00000,39960,4.00000
CHST-200404,19970814,4.00000,4.12500,4.00000,4.00000,24526,4.00000
CHST-200404,19970815,4.12500,4.12500,4.00000,4.00000,5000,4.00000
CHST-200404,19970818,4.00000,4.12500,4.00000,4.00000,1150,4.00000
CHST-200404,19970819,4.12500,4.12500,4.00000,4.00000,24750,4.00000
CHST-200404,19970820,4.00000,4.12500,3.87500,3.87500,29650,3.87500
CHST-200404,19970821,4.12500,4.12500,4.00000,4.06250,12700,4.06250
CHST-200404,19970822,4.00000,4.12500,4.00000,4.00000,15900,4.00000
CHST-200404,19970825,4.00000,4.12500,4.00000,4.00000,28356,4.00000
CHST-200404,19970826,4.00000,4.75000,4.00000,4.37500,124880,4.37500
CHST-200404,19970827,4.43750,4.43750,4.25000,4.43750,22074,4.43750
CHST-200404,19970828,4.25000,4.25000,4.25000,4.25000,7000,4.25000
CHST-200404,19970829,4.43750,4.43750,4.25000,4.25000,10900,4.25000
CHST-200404,19970902,4.37500,4.37500,4.18750,4.25000,16490,4.25000
CHST-200404,19970903,4.25000,4.37500,4.25000,4.25000,5750,4.25000
CHST-200404,19970904,4.37500,4.37500,4.25000,4.25000,9500,4.25000
CHST-200404,19970905,4.12500,4.43750,4.12500,4.43750,18450,4.43750
CHST-200404,19970908,4.12500,4.43750,4.12500,4.31250,6450,4.31250
CHST-200404,19970909,4.12500,4.40626,4.12500,4.12500,8850,4.12500
CHST-200404,19970910,4.31250,4.43750,4.12500,4.12500,2000,4.12500
CHST-200404,19970911,4.12500,4.37500,4.12500,4.18750,27750,4.18750
CHST-200404,19970912,4.12500,4.43750,4.12500,4.43750,4000,4.43750
CHST-200404,19970915,4.12500,4.62500,4.12500,4.62500,14950,4.62500
CHST-200404,19970916,4.31250,4.75000,4.25000,4.25000,34520,4.25000
CHST-200404,19970917,4.18750,4.18750,4.18750,4.18750,2000,4.18750
CHST-200404,19970918,4.18750,4.43750,4.18750,4.18750,12200,4.18750
CHST-200404,19970919,4.18750,4.43750,3.87500,3.87500,47726,3.87500
CHST-200404,19970922,4.12500,4.12500,3.87500,4.00000,12500,4.00000
CHST-200404,19970923,3.87500,4.12500,3.87500,4.12500,16750,4.12500
CHST-200404,19970924,3.87500,4.12500,3.87500,4.12500,1300,4.12500
CHST-200404,19970925,3.87500,3.87500,3.62500,3.87500,12500,3.87500
CHST-200404,19970926,3.87500,4.06250,3.87500,4.06250,31820,4.06250
CHST-200404,19970929,3.87500,4.06250,3.81250,3.81250,3926,3.81250
CHST-200404,19970930,4.12500,4.12500,3.81250,3.81250,2000,3.81250
CHST-200404,19971001,3.81250,3.81250,3.81250,3.81250,1300,3.81250
CHST-200404,19971002,4.00000,4.00000,3.87500,3.87500,7100,3.87500
CHST-200404,19971003,4.06250,4.06250,3.93750,4.06250,4600,4.06250
CHST-200404,19971006,3.93750,4.06250,3.93750,3.93750,8650,3.93750
CHST-200404,19971007,4.06250,4.06250,4.06250,4.06250,2000,4.06250
CHST-200404,19971008,3.96876,4.25000,3.93750,4.12500,53100,4.12500
CHST-200404,19971009,4.00000,4.18750,4.00000,4.18750,2500,4.18750
CHST-200404,19971010,4.00000,4.00000,3.87500,3.87500,10250,3.87500
CHST-200404,19971013,3.87500,3.93750,3.81250,3.87500,9300,3.87500
CHST-200404,19971014,3.68750,4.00000,3.50000,4.00000,14650,4.00000
CHST-200404,19971015,4.00000,4.00000,4.00000,4.00000,100,4.00000
CHST-200404,19971016,4.06250,4.06250,3.93750,3.93750,5800,3.93750
CHST-200404,19971017,4.00000,4.00000,3.87500,3.93750,19500,3.93750
CHST-200404,19971020,4.00000,4.06250,3.87500,3.87500,8750,3.87500
CHST-200404,19971021,4.06250,4.06250,3.75000,3.87500,8700,3.87500
CHST-200404,19971022,3.75000,3.87500,3.75000,3.87500,1500,3.87500
CHST-200404,19971024,3.81250,3.87500,3.81250,3.81250,3900,3.81250
CHST-200404,19971027,3.87500,4.00000,3.68750,3.68750,13500,3.68750
CHST-200404,19971028,3.68750,3.68750,3.12500,3.37500,21600,3.37500
CHST-200404,19971029,3.12500,3.31250,3.12500,3.31250,10770,3.31250
CHST-200404,19971030,3.12500,3.28126,3.00000,3.28126,58000,3.28126
CHST-200404,19971031,3.12500,3.31250,3.12500,3.18750,15200,3.18750
CHST-200404,19971103,3.31250,3.31250,3.18750,3.31250,17000,3.31250
CHST-200404,19971104,3.28126,3.28126,3.18750,3.18750,8000,3.18750
CHST-200404,19971105,3.31250,3.31250,3.12500,3.12500,30900,3.12500
CHST-200404,19971106,3.12500,3.25000,3.12500,3.25000,4700,3.25000
CHST-200404,19971107,3.12500,3.25000,3.12500,3.25000,3000,3.25000
CHST-200404,19971110,3.18750,3.31250,3.18750,3.25000,23400,3.25000
CHST-200404,19971111,3.18750,3.18750,3.00000,3.00000,3000,3.00000
CHST-200404,19971112,3.12500,3.12500,3.06250,3.06250,5000,3.06250
CHST-200404,19971113,3.18750,3.18750,3.00000,3.00000,3336,3.00000
CHST-200404,19971117,3.00000,3.00000,3.00000,3.00000,2300,3.00000
CHST-200404,19971118,3.00000,3.31250,3.00000,3.25000,6500,3.25000
CHST-200404,19971119,3.31250,3.31250,2.59376,2.68750,19500,2.68750
CHST-200404,19971120,2.87500,2.93750,2.75000,2.75000,9500,2.75000
CHST-200404,19971121,2.93750,2.93750,2.75000,2.93750,17816,2.93750
CHST-200404,19971124,2.93750,3.00000,2.81250,2.81250,13550,2.81250
CHST-200404,19971125,2.81250,2.81250,2.62500,2.68750,7800,2.68750
CHST-200404,19971126,2.75000,2.75000,2.43750,2.75000,35500,2.75000
CHST-200404,19971128,2.81250,2.81250,2.81250,2.81250,3000,2.81250
CHST-200404,19971201,2.93750,2.93750,2.68750,2.68750,26000,2.68750
CHST-200404,19971202,2.68750,2.68750,2.62500,2.62500,7000,2.62500
CHST-200404,19971203,2.62500,2.75000,2.50000,2.50000,4500,2.50000
CHST-200404,19971204,2.62500,2.75000,2.56250,2.75000,16850,2.75000
CHST-200404,19971205,2.62500,2.62500,2.50000,2.50000,6326,2.50000
CHST-200404,19971208,2.62500,2.62500,2.62500,2.62500,1000,2.62500
CHST-200404,19971209,2.75000,2.75000,2.68750,2.75000,7200,2.75000
CHST-200404,19971210,2.68750,2.81250,2.68750,2.75000,12650,2.75000
CHST-200404,19971211,2.81250,2.81250,2.12500,2.46876,23050,2.46876
CHST-200404,19971212,2.62500,2.62500,2.62500,2.62500,1000,2.62500
CHST-200404,19971215,2.37500,2.50000,2.37500,2.50000,8000,2.50000
CHST-200404,19971216,2.56250,2.62500,2.37500,2.43750,29800,2.43750
CHST-200404,19971217,2.37500,2.62500,2.37500,2.62500,30700,2.62500
CHST-200404,19971218,2.43750,2.62500,2.43750,2.62500,8500,2.62500
CHST-200404,19971219,2.43750,2.56250,2.25000,2.25000,16384,2.25000
CHST-200404,19971222,2.25000,2.56250,2.25000,2.50000,18000,2.50000
CHST-200404,19971223,2.25000,2.25000,2.25000,2.25000,2780,2.25000
CHST-200404,19971224,2.25000,2.25000,2.25000,2.25000,3000,2.25000
CHST-200404,19971226,2.43750,2.43750,2.43750,2.43750,3000,2.43750
CHST-200404,19971229,2.43750,2.43750,1.87500,1.87500,21000,1.87500
CHST-200404,19971230,1.87500,2.06250,1.87500,1.93750,28700,1.93750
CHST-200404,19971231,2.00000,2.37500,2.00000,2.12500,17900,2.12500
CHST-200404,19980102,2.12500,2.12500,2.12500,2.12500,600,2.12500
CHST-200404,19980105,2.12500,2.50000,2.12500,2.50000,10600,2.50000
CHST-200404,19980106,2.50000,2.50000,2.37500,2.37500,2500,2.37500
CHST-200404,19980107,2.50000,2.62500,2.43750,2.62500,5300,2.62500
CHST-200404,19980108,2.50000,2.62500,2.31250,2.50000,26900,2.50000
CHST-200404,19980109,2.50000,2.50000,2.25000,2.25000,4000,2.25000
CHST-200404,19980112,2.50000,2.50000,2.37500,2.37500,9500,2.37500
CHST-200404,19980113,2.37500,2.37500,2.25000,2.25000,18900,2.25000
CHST-200404,19980114,2.25000,2.25000,2.25000,2.25000,10500,2.25000
CHST-200404,19980115,2.50000,2.50000,2.25000,2.50000,15450,2.50000
CHST-200404,19980116,2.31250,2.50000,2.25000,2.31250,17820,2.31250
CHST-200404,19980120,2.31250,2.31250,2.31250,2.31250,1000,2.31250
CHST-200404,19980121,2.31250,2.37500,2.31250,2.37500,5000,2.37500
CHST-200404,19980122,2.31250,2.37500,2.31250,2.37500,18500,2.37500
CHST-200404,19980123,2.43750,2.43750,2.37500,2.37500,11800,2.37500
CHST-200404,19980126,2.56250,2.56250,2.43750,2.43750,16000,2.43750
CHST-200404,19980127,2.43750,2.50000,2.43750,2.50000,20176,2.50000
CHST-200404,19980128,2.43750,2.43750,2.31250,2.31250,8080,2.31250
CHST-200404,19980129,2.31250,2.31250,2.31250,2.31250,13050,2.31250
CHST-200404,19980130,2.56250,2.56250,2.31250,2.37500,12300,2.37500
