Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CMDA-200705,20041214,0.70000,0.82000,0.60001,0.82000,8000,0.82000
CMDA-200705,20041215,0.82000,0.82000,0.60001,0.60001,2200,0.60001
CMDA-200705,20041220,0.49001,0.50000,0.32000,0.32000,17700,0.32000
CMDA-200705,20041221,0.30001,0.40001,0.25000,0.39000,65300,0.39000
CMDA-200705,20041222,0.30001,0.35000,0.30001,0.34001,5200,0.34001
CMDA-200705,20041223,0.30001,0.39000,0.30001,0.38000,2300,0.38000
CMDA-200705,20041227,0.33001,0.38000,0.33001,0.38000,15100,0.38000
CMDA-200705,20041228,0.38000,0.40001,0.35000,0.35000,27500,0.35000
CMDA-200705,20041229,0.40001,0.40001,0.40001,0.40001,1300,0.40001
CMDA-200705,20041230,0.40001,0.57000,0.40001,0.40001,23200,0.40001
CMDA-200705,20050104,0.37001,0.37001,0.37001,0.37001,12500,0.37001
CMDA-200705,20050105,0.32000,0.32000,0.32000,0.32000,5000,0.32000
CMDA-200705,20050106,0.32000,0.32000,0.32000,0.32000,12000,0.32000
CMDA-200705,20050110,0.40001,0.45000,0.40001,0.41000,47000,0.41000
CMDA-200705,20050111,0.45000,0.50000,0.45000,0.50000,60000,0.50000
CMDA-200705,20050112,0.55001,0.62001,0.45000,0.45000,141600,0.45000
CMDA-200705,20050113,0.50000,0.50000,0.50000,0.50000,5300,0.50000
CMDA-200705,20050114,0.55001,0.59000,0.51000,0.51000,65300,0.51000
CMDA-200705,20050118,0.52000,0.55001,0.50000,0.50000,32600,0.50000
CMDA-200705,20050119,0.55001,0.55001,0.50000,0.50000,10500,0.50000
CMDA-200705,20050120,0.50000,0.51000,0.50000,0.51000,15200,0.51000
CMDA-200705,20050121,0.50000,0.51000,0.45000,0.50000,53000,0.50000
CMDA-200705,20050124,0.55001,0.55001,0.50000,0.50000,10600,0.50000
CMDA-200705,20050125,0.45000,0.45000,0.35000,0.35000,42300,0.35000
CMDA-200705,20050126,0.40001,0.40001,0.40001,0.40001,100,0.40001
CMDA-200705,20050127,0.40001,0.40001,0.40001,0.40001,7400,0.40001
CMDA-200705,20050131,0.50000,0.50000,0.40001,0.40001,86500,0.40001
CMDA-200705,20050201,0.42000,0.42000,0.40001,0.42000,11300,0.42000
CMDA-200705,20050202,0.47000,0.58000,0.47000,0.51000,16100,0.51000
CMDA-200705,20050203,0.60001,0.80001,0.60001,0.75000,99100,0.75000
CMDA-200705,20050204,0.85001,0.87001,0.78000,0.78000,166300,0.78000
CMDA-200705,20050207,0.78000,0.82000,0.70000,0.70000,42200,0.70000
CMDA-200705,20050208,0.62001,0.75000,0.55001,0.55001,37800,0.55001
CMDA-200705,20050209,0.67001,0.69000,0.57000,0.60001,62200,0.60001
CMDA-200705,20050210,0.60001,0.60001,0.41000,0.50000,115400,0.50000
CMDA-200705,20050211,0.54001,0.59000,0.50000,0.54001,56100,0.54001
CMDA-200705,20050214,0.59000,0.59000,0.55001,0.59000,9800,0.59000
CMDA-200705,20050215,0.59000,0.64000,0.52000,0.52000,98300,0.52000
CMDA-200705,20050216,0.60001,0.60001,0.58000,0.58000,4800,0.58000
CMDA-200705,20050217,0.58000,0.58000,0.53000,0.56001,30100,0.56001
CMDA-200705,20050218,0.56001,0.56001,0.53000,0.55001,26100,0.55001
CMDA-200705,20050222,0.52000,0.56001,0.51000,0.55001,40100,0.55001
CMDA-200705,20050223,0.52000,0.52000,0.45000,0.50000,42000,0.50000
