Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CNCR-199212,19850104,4.82457,4.82457,4.82457,4.82457,1368,16.50000
CNCR-199212,19850107,4.97077,4.97077,4.97077,4.97077,342,17.00000
CNCR-199212,19850109,4.89767,4.89767,4.89767,4.89767,1710,16.75000
CNCR-199212,19850110,4.75147,4.89767,4.75147,4.89767,1710,16.75000
CNCR-199212,19850111,4.89767,4.89767,4.89767,4.89767,4446,16.75000
CNCR-199212,19850114,4.97077,4.97077,4.97077,4.97077,4104,17.00000
CNCR-199212,19850115,5.11696,5.11696,5.11696,5.11696,684,17.50000
CNCR-199212,19850116,5.19006,5.19006,5.04386,5.04386,10260,17.25000
CNCR-199212,19850117,5.04386,5.04386,5.04386,5.04386,5472,17.25000
CNCR-199212,19850118,5.19006,5.55556,5.19006,5.55556,8550,19.00000
CNCR-199212,19850121,5.55556,5.55556,5.55556,5.55556,684,19.00000
CNCR-199212,19850122,5.59211,5.70176,5.48246,5.59211,7354,19.12500
CNCR-199212,19850123,5.62866,5.70176,5.55556,5.62866,2052,19.25000
CNCR-199212,19850124,5.62866,5.70176,5.62866,5.70176,2224,19.50000
CNCR-199212,19850125,5.55556,5.62866,5.55556,5.62866,6840,19.25000
CNCR-199212,19850128,5.55556,5.55556,5.48246,5.48246,9576,18.75000
CNCR-199212,19850129,5.33626,5.33626,5.33626,5.33626,342,18.25000
CNCR-199212,19850131,5.55556,5.55556,5.33626,5.33626,1026,18.25000
CNCR-199212,19850201,5.55556,5.55556,5.55556,5.55556,1026,19.00000
CNCR-199212,19850204,5.33626,5.33626,5.33626,5.33626,342,18.25000
CNCR-199212,19850205,5.33626,5.55556,5.33626,5.55556,2394,19.00000
CNCR-199212,19850206,5.62866,5.62866,5.55556,5.55556,7524,19.00000
CNCR-199212,19850207,5.66521,5.77486,5.55556,5.62866,16348,19.25000
CNCR-199212,19850208,5.62866,5.92106,5.62866,5.92106,1026,20.25000
CNCR-199212,19850211,5.77486,5.77486,5.62866,5.62866,4446,19.25000
CNCR-199212,19850212,5.77486,5.92106,5.62866,5.84796,5130,20.00000
CNCR-199212,19850213,5.81141,5.99416,5.62866,5.84796,22060,20.00000
CNCR-199212,19850214,6.28655,6.57895,5.99416,6.14036,13510,21.00000
CNCR-199212,19850215,6.28655,6.72515,6.28655,6.72515,18640,23.00000
CNCR-199212,19850219,6.28655,6.79825,6.28655,6.79825,13670,23.25000
CNCR-199212,19850220,6.72515,6.72515,6.43275,6.43275,2394,22.00000
CNCR-199212,19850221,6.43275,6.43275,6.28655,6.28655,2736,21.50000
CNCR-199212,19850222,6.43275,6.43275,6.21346,6.21346,3078,21.25000
CNCR-199212,19850225,6.21346,6.21346,6.21346,6.21346,1198,21.25000
