Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CPV-200701,19980423,22.97624,23.28673,22.85204,22.85204,4612876,23.00000
CPV-200701,19980424,22.85204,22.91414,22.72785,22.91414,297716,23.06250
CPV-200701,19980427,22.91414,22.91414,22.41736,22.47946,380750,22.62500
CPV-200701,19980428,22.60365,22.91414,22.60365,22.72785,263999,22.87500
CPV-200701,19980429,22.72785,22.78994,22.66575,22.72785,96018,22.87500
CPV-200701,19980430,22.72785,22.91414,22.72785,22.91414,53243,23.06250
CPV-200701,19980501,22.91414,23.16253,22.91414,22.91414,34925,23.06250
CPV-200701,19980504,22.91414,22.97624,22.78994,22.78994,168082,22.93750
CPV-200701,19980505,22.72785,22.91414,22.66575,22.66575,125709,22.81250
CPV-200701,19980506,22.60365,22.66575,21.61008,21.85848,387695,22.00000
CPV-200701,19980507,21.36169,21.85848,20.98910,21.61008,401785,21.75000
CPV-200701,19980508,21.36169,21.73428,21.23750,21.29959,200792,21.43750
CPV-200701,19980511,21.36169,21.61008,21.36169,21.42379,66629,21.56250
CPV-200701,19980512,21.36169,21.42379,21.36169,21.36169,87262,21.50000
CPV-200701,19980513,21.36169,21.48589,21.36169,21.42379,70856,21.56250
CPV-200701,19980514,21.36169,21.36169,21.11330,21.36169,86859,21.50000
CPV-200701,19980515,21.36169,21.36169,20.86491,20.86491,89879,21.00000
CPV-200701,19980518,20.86491,20.86491,20.24393,20.49232,74480,20.62500
CPV-200701,19980519,20.49232,20.80281,20.49232,20.67861,50928,20.81250
CPV-200701,19980520,20.86491,21.11330,20.36813,20.36813,126615,20.50000
CPV-200701,19980521,20.24393,20.86491,20.24393,20.74071,141310,20.87500
CPV-200701,19980522,20.98910,21.11330,20.67861,20.92701,44386,21.06250
CPV-200701,19980526,21.05120,21.29959,20.74071,20.74071,110008,20.87500
CPV-200701,19980527,20.74071,20.74071,20.11973,20.11973,36032,20.25000
CPV-200701,19980528,20.36813,20.74071,20.36813,20.61652,63912,20.75000
CPV-200701,19980529,20.67861,20.92701,20.67861,20.80281,141913,20.93750
CPV-200701,19980601,20.61652,20.74071,19.87134,20.18183,68340,20.31250
CPV-200701,19980602,20.11973,20.30603,19.99554,20.11973,31403,20.25000
CPV-200701,19980603,20.11973,20.11973,19.87134,19.87134,39454,20.00000
CPV-200701,19980604,19.93344,19.99554,19.80924,19.87134,25162,20.00000
CPV-200701,19980605,19.99554,19.99554,19.87134,19.87134,63811,20.00000
CPV-200701,19980608,19.93344,20.11973,19.62295,19.87134,41467,20.00000
CPV-200701,19980609,19.87134,19.93344,19.68505,19.80924,20734,19.93750
CPV-200701,19980610,19.68505,19.80924,19.25036,19.31246,79311,19.43750
CPV-200701,19980611,19.31246,19.31246,19.12617,19.12617,42977,19.25000
CPV-200701,19980612,19.12617,19.18826,19.12617,19.18826,150468,19.31250
CPV-200701,19980615,19.06407,19.80924,19.06407,19.74715,31503,19.87500
CPV-200701,19980616,19.74715,19.74715,19.49875,19.56085,17614,19.68750
CPV-200701,19980617,19.62295,19.62295,19.25036,19.37456,32912,19.50000
CPV-200701,19980618,19.37456,20.11973,19.37456,20.05764,16104,20.18750
CPV-200701,19980619,20.05764,20.11973,19.87134,19.87134,8958,20.00000
CPV-200701,19980622,19.87134,20.24393,19.87134,20.11973,19325,20.25000
CPV-200701,19980623,19.99554,20.11973,19.74715,19.80924,70051,19.93750
CPV-200701,19980624,19.68505,19.80924,19.62295,19.80924,19727,19.93750
CPV-200701,19980625,19.80924,19.99554,19.80924,19.99554,7549,20.12500
CPV-200701,19980626,19.93344,20.18183,19.93344,20.05764,19828,20.18750
CPV-200701,19980629,19.99554,20.11973,19.87134,19.87134,11474,20.00000
CPV-200701,19980630,19.87134,20.11973,19.87134,20.11973,30899,20.25000
CPV-200701,19980701,20.11973,20.30603,19.93344,20.18183,21136,20.31250
CPV-200701,19980702,20.24393,20.36813,20.24393,20.30603,66428,20.43750
CPV-200701,19980706,20.43022,20.49232,20.36813,20.49232,34523,20.62500
CPV-200701,19980707,20.49232,20.80281,20.49232,20.74071,29893,20.87500
CPV-200701,19980708,20.80281,21.23750,20.74071,21.17540,29188,21.31250
CPV-200701,19980709,21.29959,21.48589,21.23750,21.23750,29088,21.37500
CPV-200701,19980710,21.11330,21.17540,20.61652,20.61652,35328,20.75000
CPV-200701,19980713,20.61652,20.61652,20.11973,20.18183,8052,20.31250
CPV-200701,19980714,20.36813,20.36813,19.87134,20.24393,16809,20.37500
CPV-200701,19980715,20.24393,20.24393,19.62295,19.74715,128527,19.87500
CPV-200701,19980716,19.80924,20.05764,19.62295,19.62295,50626,19.75000
CPV-200701,19980717,19.62295,19.62295,19.25036,19.31246,74580,19.43750
CPV-200701,19980720,19.37456,19.37456,18.87777,19.12617,24257,19.25000
CPV-200701,19980721,18.93987,18.93987,18.13260,18.19470,15702,18.31250
CPV-200701,19980722,18.19470,18.25680,18.13260,18.19470,152884,18.31250
CPV-200701,19980723,18.13260,18.19470,17.76001,18.19470,66126,18.31250
CPV-200701,19980724,18.25680,18.50519,18.13260,18.50519,41165,18.62500
CPV-200701,19980727,18.38099,18.38099,18.13260,18.38099,27880,18.50000
CPV-200701,19980728,18.50519,18.50519,18.00840,18.07050,9663,18.18750
CPV-200701,19980729,17.94631,18.13260,17.51162,18.00840,12078,18.12500
CPV-200701,19980730,18.13260,18.31889,18.00840,18.31889,10065,18.43750
CPV-200701,19980731,18.19470,19.00197,18.19470,18.87777,11676,19.00000
CPV-200701,19980803,18.87777,18.87777,18.50519,18.62938,6140,18.75000
CPV-200701,19980804,18.56728,18.69148,18.38099,18.38099,22747,18.50000
CPV-200701,19980805,18.31889,18.31889,17.88421,17.88421,4731,18.00000
CPV-200701,19980806,17.88421,17.88421,17.44952,17.88421,29289,18.00000
CPV-200701,19980807,17.88421,18.00840,17.76001,17.94631,29792,18.06250
CPV-200701,19980810,17.63582,17.63582,17.44952,17.51162,17815,17.62500
CPV-200701,19980811,17.51162,17.51162,17.13903,17.51162,13085,17.62500
CPV-200701,19980812,17.38742,17.51162,17.20113,17.51162,9361,17.62500
CPV-200701,19980813,17.20113,17.38742,17.07693,17.38742,7146,17.50000
CPV-200701,19980814,17.26323,17.32533,17.20113,17.26323,3624,17.37500
CPV-200701,19980817,17.13903,17.13903,16.89064,17.13903,8656,17.25000
CPV-200701,19980818,16.89064,16.89064,16.14547,16.20756,98937,16.31250
CPV-200701,19980819,16.14547,16.20756,16.02127,16.08337,35730,16.18750
CPV-200701,19980820,16.02127,16.45595,15.95917,16.39386,72165,16.50000
CPV-200701,19980821,16.33176,16.39386,16.02127,16.08337,20231,16.18750
CPV-200701,19980824,16.02127,16.14547,15.95917,16.08337,24257,16.18750
CPV-200701,19980825,16.08337,16.14547,15.95917,16.08337,10166,16.18750
CPV-200701,19980826,16.02127,16.14547,16.02127,16.14547,30396,16.25000
CPV-200701,19980827,16.02127,16.02127,15.40029,15.64868,18620,15.75000
CPV-200701,19980828,15.71078,15.71078,15.15190,15.21400,17413,15.31250
CPV-200701,19980831,15.21400,15.21400,14.15833,14.15833,28383,14.25000
CPV-200701,19980901,14.15833,14.22043,13.53735,13.59945,77700,13.68750
CPV-200701,19980902,13.72365,14.59302,13.66155,14.03414,97125,14.12500
CPV-200701,19980903,13.90994,14.46882,13.90994,14.40672,27175,14.50000
CPV-200701,19980904,14.28253,14.40672,14.28253,14.40672,25062,14.50000
CPV-200701,19980908,14.40672,15.27609,14.40672,15.15190,61697,15.25000
CPV-200701,19980909,15.15190,15.64868,14.77931,15.58658,63912,15.68750
CPV-200701,19980910,15.52449,15.64868,15.52449,15.64868,20633,15.75000
CPV-200701,19980911,15.64868,16.02127,15.64868,15.64868,21841,15.75000
CPV-200701,19980914,15.89707,17.94631,15.89707,17.26323,96018,17.37500
CPV-200701,19980915,17.20113,17.26323,17.07693,17.26323,6945,17.37500
CPV-200701,19980916,17.26323,17.38742,17.20113,17.26323,17312,17.37500
CPV-200701,19980917,17.20113,17.63582,17.20113,17.26323,38951,17.37500
CPV-200701,19980918,17.20113,17.20113,16.89064,17.13903,31906,17.25000
CPV-200701,19980921,17.13903,17.13903,17.01484,17.01484,2919,17.12500
CPV-200701,19980922,17.01484,17.07693,16.89064,16.89064,21740,17.00000
CPV-200701,19980923,17.01484,17.01484,16.89064,16.89064,72064,17.00000
CPV-200701,19980924,16.89064,17.26323,16.89064,17.13903,80015,17.25000
CPV-200701,19980925,17.13903,17.44952,17.13903,17.32533,7247,17.43750
CPV-200701,19980928,17.32533,17.88421,17.20113,17.88421,14997,18.00000
CPV-200701,19980929,17.88421,18.07050,17.88421,18.07050,14796,18.18750
CPV-200701,19980930,17.94631,17.94631,17.69791,17.76001,4228,17.87500
CPV-200701,19981001,17.76001,17.88421,17.57372,17.63582,26471,17.75000
CPV-200701,19981002,17.76001,18.00840,17.51162,17.51162,11978,17.62500
CPV-200701,19981005,17.38742,17.38742,16.89064,17.13903,9864,17.25000
CPV-200701,19981006,17.01484,17.32533,17.01484,17.26323,23451,17.37500
CPV-200701,19981007,17.20113,17.20113,16.45595,16.51805,23955,16.62500
CPV-200701,19981008,16.26966,16.26966,15.52449,15.52449,17513,15.62500
CPV-200701,19981009,15.52449,15.64868,15.46239,15.52449,12783,15.62500
CPV-200701,19981012,15.52449,15.52449,15.40029,15.40029,7146,15.50000
CPV-200701,19981013,15.15190,15.15190,14.90351,14.90351,21338,15.00000
CPV-200701,19981014,14.77931,15.40029,14.77931,15.33819,6643,15.43750
CPV-200701,19981015,15.27609,15.89707,15.27609,15.89707,27578,16.00000
CPV-200701,19981016,16.02127,16.14547,15.89707,15.89707,11575,16.00000
CPV-200701,19981019,15.89707,16.33176,15.89707,16.33176,18620,16.43750
CPV-200701,19981020,16.51805,17.26323,16.51805,17.13903,18620,17.25000
CPV-200701,19981021,17.20113,17.51162,17.20113,17.32533,24257,17.43750
CPV-200701,19981022,17.32533,17.32533,17.20113,17.32533,7851,17.43750
CPV-200701,19981023,17.32533,17.38742,17.26323,17.32533,17815,17.43750
CPV-200701,19981026,17.32533,18.00840,17.32533,18.00840,114739,18.12500
CPV-200701,19981027,17.88421,19.18826,17.88421,19.18826,22244,19.31250
CPV-200701,19981028,19.06407,19.37456,18.69148,18.87777,39354,19.00000
CPV-200701,19981029,18.87777,19.43666,18.50519,19.25036,16909,19.37500
CPV-200701,19981030,19.00197,19.87134,19.00197,19.31246,23351,19.43750
CPV-200701,19981102,19.74715,19.74715,19.37456,19.62295,18218,19.75000
CPV-200701,19981103,19.49875,19.62295,19.43666,19.56085,9461,19.68750
CPV-200701,19981104,19.56085,19.87134,19.56085,19.87134,6039,20.00000
CPV-200701,19981105,19.87134,19.87134,19.68505,19.87134,8354,20.00000
CPV-200701,19981106,19.87134,19.87134,19.62295,19.62295,9260,19.75000
CPV-200701,19981109,19.68505,19.74715,19.68505,19.68505,2819,19.81250
CPV-200701,19981110,19.68505,19.80924,19.68505,19.68505,4530,19.81250
CPV-200701,19981111,19.74715,19.80924,19.68505,19.68505,5536,19.81250
CPV-200701,19981112,19.68505,19.74715,19.49875,19.49875,1913,19.62500
CPV-200701,19981113,19.43666,19.56085,19.06407,19.12617,9663,19.25000
CPV-200701,19981116,19.00197,19.25036,18.50519,18.56728,15098,18.68750
CPV-200701,19981117,18.69148,18.69148,18.44309,18.44309,4127,18.56250
CPV-200701,19981118,18.62938,18.87777,18.56728,18.62938,10166,18.75000
CPV-200701,19981119,18.75358,19.00197,18.44309,18.50519,10468,18.62500
CPV-200701,19981120,18.62938,18.69148,18.44309,18.69148,8254,18.81250
CPV-200701,19981123,18.69148,18.81568,18.69148,18.75358,11374,18.87500
CPV-200701,19981124,18.75358,19.00197,18.75358,19.00197,5335,19.12500
CPV-200701,19981125,19.12617,19.56085,18.87777,18.87777,38146,19.00000
CPV-200701,19981127,19.00197,19.25036,19.00197,19.18826,3322,19.31250
CPV-200701,19981130,19.18826,19.43666,19.12617,19.12617,13487,19.25000
CPV-200701,19981201,19.06407,19.06407,18.87777,19.00197,13789,19.12500
CPV-200701,19981202,18.93987,18.93987,18.75358,18.87777,16305,19.00000
CPV-200701,19981203,18.81568,18.87777,18.81568,18.81568,2114,18.93750
CPV-200701,19981204,18.93987,19.18826,18.93987,19.06407,3020,19.18750
CPV-200701,19981207,19.00197,19.00197,18.87777,18.87777,1410,19.00000
CPV-200701,19981208,18.87777,18.87777,18.81568,18.87777,1309,19.00000
CPV-200701,19981209,18.50519,18.50519,18.31889,18.31889,9864,18.43750
CPV-200701,19981210,18.31889,18.38099,18.31889,18.31889,3221,18.43750
CPV-200701,19981211,18.19470,18.19470,17.76001,17.82211,11575,17.93750
CPV-200701,19981214,17.82211,17.82211,17.07693,17.13903,23351,17.25000
CPV-200701,19981215,17.13903,17.13903,16.89064,16.95274,12380,17.06250
CPV-200701,19981216,17.13903,17.13903,16.76644,17.07693,13588,17.18750
CPV-200701,19981217,17.01484,17.57372,17.01484,17.38742,13286,17.50000
CPV-200701,19981218,17.51162,18.13260,17.38742,18.13260,19325,18.25000
CPV-200701,19981221,18.07050,18.13260,18.00840,18.13260,11072,18.25000
CPV-200701,19981222,18.00840,18.00840,17.76001,18.00840,6945,18.12500
CPV-200701,19981223,17.94631,17.94631,17.63582,17.63582,17714,17.75000
CPV-200701,19981224,17.38742,17.51162,17.13903,17.44952,30396,17.56250
CPV-200701,19981228,17.20113,17.26323,17.07693,17.20113,6945,17.31250
CPV-200701,19981229,17.20113,17.88421,16.95274,17.82211,11676,17.93750
CPV-200701,19981230,17.82211,18.25680,17.82211,18.25680,21740,18.37500
CPV-200701,19981231,18.38099,18.62938,17.94631,17.94631,23753,18.06250
CPV-200701,19990104,17.88421,17.88421,17.44952,17.63582,10971,17.75000
CPV-200701,19990105,17.51162,17.63582,17.51162,17.57372,24458,17.68750
CPV-200701,19990106,17.63582,18.07050,17.63582,18.07050,31201,18.18750
CPV-200701,19990107,18.07050,18.19470,17.94631,18.13260,12984,18.25000
CPV-200701,19990108,18.25680,18.25680,17.94631,17.94631,2416,18.06250
CPV-200701,19990111,17.88421,18.00840,17.76001,17.94631,5234,18.06250
CPV-200701,19990112,17.82211,17.82211,17.38742,17.38742,44386,17.50000
CPV-200701,19990113,17.38742,17.44952,17.38742,17.38742,17010,17.50000
CPV-200701,19990114,17.13903,17.13903,16.39386,16.45595,29893,16.56250
CPV-200701,19990115,16.39386,16.39386,15.89707,16.08337,44688,16.18750
CPV-200701,19990119,16.20756,16.45595,16.20756,16.39386,20835,16.50000
CPV-200701,19990120,16.39386,17.07693,16.39386,17.07693,23351,17.18750
CPV-200701,19990121,17.20113,17.32533,17.07693,17.32533,9059,17.43750
CPV-200701,19990122,17.20113,17.51162,17.20113,17.44952,3221,17.56250
CPV-200701,19990125,17.69791,18.25680,17.63582,17.88421,9864,18.00000
CPV-200701,19990126,17.88421,18.38099,17.88421,18.38099,9562,18.50000
CPV-200701,19990127,18.38099,19.43666,18.38099,19.00197,43078,19.12500
CPV-200701,19990128,19.12617,19.43666,19.06407,19.12617,110511,19.25000
CPV-200701,19990129,19.12617,19.25036,19.12617,19.25036,32812,19.37500
CPV-200701,19990201,19.31246,19.31246,19.06407,19.06407,21841,19.18750
CPV-200701,19990202,18.62938,18.62938,18.56728,18.56728,14192,18.68750
CPV-200701,19990203,18.69148,19.06407,18.69148,18.93987,45393,19.06250
CPV-200701,19990204,18.93987,19.00197,18.87777,18.87777,102057,19.00000
CPV-200701,19990205,19.00197,19.00197,18.87777,18.87777,2517,19.00000
CPV-200701,19990208,18.75358,18.87777,18.75358,18.81568,4026,18.93750
CPV-200701,19990209,18.81568,19.12617,18.75358,18.81568,18922,18.93750
CPV-200701,19990210,18.81568,18.81568,18.31889,18.38099,6945,18.50000
CPV-200701,19990211,18.38099,18.38099,17.94631,17.94631,6039,18.06250
CPV-200701,19990212,17.88421,17.94631,17.76001,17.88421,21640,18.00000
CPV-200701,19990216,17.88421,18.13260,17.88421,18.13260,4530,18.25000
CPV-200701,19990217,18.00840,18.38099,18.00840,18.19470,57873,18.31250
CPV-200701,19990218,18.25680,18.25680,18.00840,18.00840,12682,18.12500
CPV-200701,19990219,18.13260,18.13260,18.00840,18.00840,23854,18.12500
CPV-200701,19990222,18.00840,18.00840,17.88421,17.88421,6643,18.00000
CPV-200701,19990223,17.88421,17.88421,17.63582,17.69791,5435,17.81250
CPV-200701,19990224,17.63582,17.82211,17.57372,17.57372,8052,17.68750
CPV-200701,19990225,17.44952,17.51162,17.20113,17.26323,7348,17.37500
CPV-200701,19990226,17.20113,17.26323,17.13903,17.13903,4530,17.25000
CPV-200701,19990301,17.13903,17.13903,16.82854,16.82854,14292,16.93750
CPV-200701,19990302,16.82854,16.82854,16.39386,16.39386,19828,16.50000
CPV-200701,19990303,16.39386,16.39386,15.40029,15.40029,31604,15.50000
CPV-200701,19990304,15.52449,15.52449,13.90994,15.21400,168786,15.31250
CPV-200701,19990305,15.02770,15.27609,14.96561,15.02770,57470,15.12500
CPV-200701,19990308,14.90351,15.40029,14.90351,15.21400,28182,15.31250
CPV-200701,19990309,15.21400,15.21400,15.02770,15.02770,29088,15.12500
CPV-200701,19990310,15.15190,15.21400,14.96561,15.15190,30899,15.25000
CPV-200701,19990311,14.90351,15.15190,14.90351,14.90351,43782,15.00000
CPV-200701,19990312,15.02770,15.02770,14.96561,14.96561,17111,15.06250
CPV-200701,19990315,14.96561,15.21400,14.96561,15.02770,7650,15.12500
CPV-200701,19990316,14.96561,15.15190,14.96561,14.96561,16909,15.06250
CPV-200701,19990317,14.96561,15.08980,14.90351,14.90351,36938,15.00000
CPV-200701,19990318,14.90351,14.90351,14.71721,14.71721,8656,14.81250
CPV-200701,19990319,15.15190,15.89707,15.02770,15.77288,50425,15.87500
CPV-200701,19990322,15.83498,15.83498,15.40029,15.40029,6845,15.50000
CPV-200701,19990323,15.58658,15.58658,14.96561,15.08980,16406,15.18750
CPV-200701,19990324,15.02770,15.02770,14.77931,14.77931,16708,14.87500
CPV-200701,19990325,14.77931,14.84141,14.65512,14.71721,15198,14.81250
CPV-200701,19990326,14.65512,14.84141,14.65512,14.65512,26370,14.75000
CPV-200701,19990329,14.65512,14.90351,14.40672,14.90351,31805,15.00000
CPV-200701,19990330,14.96561,14.96561,14.40672,14.65512,74782,14.75000
CPV-200701,19990331,14.65512,14.90351,14.59302,14.90351,56866,15.00000
CPV-200701,19990401,14.90351,14.90351,14.53092,14.53092,8757,14.62500
CPV-200701,19990405,14.40672,14.46882,14.22043,14.28253,12883,14.37500
CPV-200701,19990406,14.15833,14.15833,14.09623,14.15833,29893,14.25000
