Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CRNM-200910,20000922,49.50000,54.50000,44.25000,48.00000,1389113,12.00000
CRNM-200910,20000925,48.50000,49.50000,45.50000,47.50000,69100,11.87500
CRNM-200910,20000926,47.25000,47.50000,44.00000,45.50000,103200,11.37500
CRNM-200910,20000927,45.50000,46.50000,40.25000,44.00000,214550,11.00000
CRNM-200910,20000928,44.25000,44.50000,41.50000,43.50000,138400,10.87500
CRNM-200910,20000929,43.50000,46.00000,41.50000,46.00000,231200,11.50000
CRNM-200910,20001002,45.87500,46.00000,42.50000,44.50000,79450,11.12500
CRNM-200910,20001003,45.25000,45.50000,44.00000,44.50000,61826,11.12500
CRNM-200910,20001004,45.00000,47.25000,44.50000,47.25000,41026,11.81250
CRNM-200910,20001005,47.50000,51.50000,47.00000,49.50000,38226,12.37500
CRNM-200910,20001006,50.50000,50.50000,44.00000,47.00000,15976,11.75000
CRNM-200910,20001009,45.62500,45.62500,43.00000,44.00000,8776,11.00000
CRNM-200910,20001010,45.93752,46.00000,44.00000,44.50000,1300,11.12500
CRNM-200910,20001011,45.43752,47.25000,44.00000,44.75000,39850,11.18750
CRNM-200910,20001012,45.00000,46.50000,44.50000,45.00000,28726,11.25000
CRNM-200910,20001013,45.00000,45.50000,44.50000,45.50000,11276,11.37500
CRNM-200910,20001016,46.43752,49.75000,44.75000,49.50000,28826,12.37500
CRNM-200910,20001017,48.81252,50.00000,46.00000,48.75000,17850,12.18750
CRNM-200910,20001018,48.00000,52.00000,46.00000,51.50000,13026,12.87500
CRNM-200910,20001019,52.50000,52.93752,49.50000,52.00000,12826,13.00000
CRNM-200910,20001020,51.50000,51.50000,49.00000,49.50000,12200,12.37500
CRNM-200910,20001023,49.50000,51.00000,49.50000,50.00000,2126,12.50000
CRNM-200910,20001024,51.00000,53.50000,49.50000,52.00000,55150,13.00000
CRNM-200910,20001025,50.25000,51.50000,48.50000,50.00000,47850,12.50000
CRNM-200910,20001026,48.00000,50.00000,45.00000,47.93752,7350,11.98440
CRNM-200910,20001027,46.00000,48.00000,46.00000,46.00000,3400,11.50000
CRNM-200910,20001030,46.00000,47.00000,44.00000,45.50000,8800,11.37500
CRNM-200910,20001031,45.56252,50.00000,45.50000,45.50000,27000,11.37500
CRNM-200910,20001101,46.50000,50.50000,46.50000,49.00000,3050,12.25000
CRNM-200910,20001102,50.00000,54.00000,48.00000,52.00000,34700,13.00000
CRNM-200910,20001103,49.06252,54.00000,49.06252,53.00000,29450,13.25000
CRNM-200910,20001106,56.43752,59.00000,53.50000,56.50000,20476,14.12500
CRNM-200910,20001107,54.50000,56.00000,52.00000,52.00000,87650,13.00000
CRNM-200910,20001108,54.00000,54.00000,52.00000,53.75000,100976,13.43750
CRNM-200910,20001109,52.50000,53.50000,47.00000,48.00000,29426,12.00000
CRNM-200910,20001110,48.00000,48.50000,44.50000,48.50000,3900,12.12500
CRNM-200910,20001113,48.00000,48.50000,48.00000,48.25000,2476,12.06250
