Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CSGLF-201004,20070912,0.55001,0.55001,0.55001,0.55001,7000,0.55001
CSGLF-201004,20070913,0.54001,0.54001,0.51000,0.54001,8300,0.54001
CSGLF-201004,20070918,0.58000,0.58000,0.50000,0.58000,18000,0.58000
CSGLF-201004,20070920,0.55001,0.59000,0.55001,0.55001,16300,0.55001
CSGLF-201004,20070921,0.60001,0.60001,0.55001,0.60001,44500,0.60001
CSGLF-201004,20070925,0.58000,0.60001,0.57000,0.58000,21700,0.58000
CSGLF-201004,20070926,0.61001,0.62001,0.60001,0.61001,34600,0.61001
CSGLF-201004,20070927,0.59000,0.63000,0.59000,0.59000,32000,0.59000
CSGLF-201004,20070928,0.67001,0.71000,0.66001,0.67001,133000,0.67001
CSGLF-201004,20071001,0.69000,0.74001,0.68001,0.69000,78300,0.69000
CSGLF-201004,20071002,0.70000,0.70000,0.67001,0.70000,9500,0.70000
CSGLF-201004,20071003,0.75000,0.76000,0.68001,0.75000,112000,0.75000
CSGLF-201004,20071004,0.73001,0.75000,0.73001,0.73001,31000,0.73001
CSGLF-201004,20071005,0.74001,0.75000,0.74001,0.74001,18000,0.74001
CSGLF-201004,20071009,0.85001,0.86001,0.77000,0.85001,209500,0.85001
CSGLF-201004,20071010,0.89000,0.93001,0.87001,0.89000,38600,0.89000
CSGLF-201004,20071011,0.89000,0.92001,0.87001,0.89000,26900,0.89000
CSGLF-201004,20071012,0.85001,0.90000,0.85001,0.85001,49500,0.85001
CSGLF-201004,20071015,0.82000,0.87001,0.82000,0.82000,47000,0.82000
CSGLF-201004,20071016,0.85001,0.85001,0.82000,0.85001,5600,0.85001
CSGLF-201004,20071018,0.83000,0.85001,0.83000,0.83000,21500,0.83000
CSGLF-201004,20071019,0.81001,0.85001,0.76000,0.81001,31400,0.81001
CSGLF-201004,20071022,0.75000,0.79001,0.75000,0.75000,223500,0.75000
CSGLF-201004,20071023,0.77000,0.79001,0.73001,0.77000,9500,0.77000
CSGLF-201004,20071024,0.76000,0.79001,0.74001,0.76000,25000,0.76000
CSGLF-201004,20071025,0.78000,0.78000,0.78000,0.78000,3000,0.78000
