Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CVCI-200005,19991112,10.12500,13.12500,9.87500,10.93750,4942030,10.93750
CVCI-200005,19991115,11.25000,12.25000,10.75000,11.87500,748504,11.87500
CVCI-200005,19991116,12.00000,12.25000,11.75000,12.00000,577826,12.00000
CVCI-200005,19991117,12.50000,12.50000,11.93750,12.06250,311592,12.06250
CVCI-200005,19991118,12.00000,12.09376,10.50000,11.87500,384424,11.87500
CVCI-200005,19991119,11.75000,12.25000,11.50000,11.93750,260074,11.93750
CVCI-200005,19991122,12.03126,12.12500,11.62500,11.93750,198250,11.93750
CVCI-200005,19991123,11.78126,12.06250,11.62500,11.81250,137356,11.81250
CVCI-200005,19991124,11.56250,11.87500,11.25000,11.37500,113630,11.37500
CVCI-200005,19991126,11.37500,11.37500,11.00000,11.31250,48676,11.31250
CVCI-200005,19991129,11.00000,11.00000,10.00000,11.00000,289102,11.00000
CVCI-200005,19991130,11.00000,12.50000,10.75000,12.25000,326450,12.25000
CVCI-200005,19991201,12.37500,14.81250,12.25000,14.50000,475714,14.50000
CVCI-200005,19991202,14.50000,14.62500,13.43750,13.43750,207778,13.43750
CVCI-200005,19991203,14.25000,14.37500,13.00000,13.87500,128888,13.87500
CVCI-200005,19991206,13.75000,13.75000,12.75000,13.37500,94496,13.37500
CVCI-200005,19991207,12.87500,12.87500,12.00000,12.75000,210362,12.75000
CVCI-200005,19991208,12.87500,13.56250,12.87500,13.31250,291776,13.31250
CVCI-200005,19991209,14.06250,14.37500,13.68750,13.93750,270484,13.93750
CVCI-200005,19991210,14.15626,14.18750,12.56250,12.75000,195292,12.75000
CVCI-200005,19991213,13.00000,13.00000,11.06250,12.00000,114812,12.00000
CVCI-200005,19991214,11.78126,11.78126,10.25000,10.31250,179430,10.31250
CVCI-200005,19991215,10.75000,11.00000,9.68750,10.12500,147236,10.12500
CVCI-200005,19991216,10.00000,10.12500,9.87500,10.00000,144508,10.00000
CVCI-200005,19991217,10.00000,10.31250,10.00000,10.25000,494100,10.25000
CVCI-200005,19991220,10.50000,10.81250,10.25000,10.25000,85646,10.25000
CVCI-200005,19991221,10.25000,10.37500,9.62500,9.68750,82160,9.68750
CVCI-200005,19991222,9.71876,9.75000,8.37500,8.87500,75098,8.87500
CVCI-200005,19991223,8.87500,10.50000,8.81250,10.31250,693620,10.31250
CVCI-200005,19991227,10.43750,10.56250,9.25000,9.25000,38458,9.25000
CVCI-200005,19991228,9.62500,9.93750,9.00000,9.37500,92536,9.37500
CVCI-200005,19991229,9.62500,10.00000,9.12500,9.37500,98656,9.37500
CVCI-200005,19991230,9.31250,9.37500,9.00000,9.25000,168184,9.25000
CVCI-200005,19991231,9.37500,10.37500,9.00000,9.62500,66622,9.62500
CVCI-200005,20000103,9.68750,10.00000,9.37500,9.37500,44960,9.37500
CVCI-200005,20000104,9.62500,11.62500,9.37500,10.50000,106666,10.50000
CVCI-200005,20000105,10.28126,10.56250,9.25000,9.93750,83700,9.93750
CVCI-200005,20000106,9.87500,10.25000,9.62500,9.87500,66416,9.87500
CVCI-200005,20000107,10.12500,11.31250,9.75000,11.31250,90376,11.31250
CVCI-200005,20000110,11.25000,11.75000,11.00000,11.50000,76898,11.50000
CVCI-200005,20000111,11.65626,11.75000,11.25000,11.50000,41980,11.50000
CVCI-200005,20000112,11.56250,11.56250,10.37500,10.68750,42116,10.68750
CVCI-200005,20000113,10.96876,11.00000,10.62500,10.62500,62046,10.62500
CVCI-200005,20000114,10.90626,11.50000,10.50000,11.50000,52008,11.50000
CVCI-200005,20000118,11.50000,12.00000,10.50000,10.50000,38300,10.50000
CVCI-200005,20000119,11.00000,11.00000,10.50000,10.87500,35350,10.87500
CVCI-200005,20000120,12.12500,17.00000,12.06250,16.75000,1092070,16.75000
CVCI-200005,20000121,16.87500,25.81250,16.81250,21.50000,1350070,21.50000
CVCI-200005,20000124,23.00000,23.37500,19.06250,20.12500,432102,20.12500
CVCI-200005,20000125,20.62500,20.75000,18.00000,19.50000,129510,19.50000
CVCI-200005,20000126,20.31250,20.37500,17.00000,17.00000,111778,17.00000
CVCI-200005,20000127,17.00000,17.25000,15.12500,16.00000,207572,16.00000
CVCI-200005,20000128,15.56250,17.12500,15.25000,15.68750,193576,15.68750
CVCI-200005,20000131,15.50000,15.75000,14.75000,15.62500,98892,15.62500
CVCI-200005,20000201,15.75000,17.50000,15.00000,17.00000,85964,17.00000
CVCI-200005,20000202,17.00000,19.37500,17.00000,19.00000,101844,19.00000
CVCI-200005,20000203,19.00000,19.50000,18.25000,18.43750,159508,18.43750
CVCI-200005,20000204,19.37500,19.37500,17.75000,18.50000,59806,18.50000
CVCI-200005,20000207,17.75000,19.75000,17.62500,19.37500,73630,19.37500
CVCI-200005,20000208,19.50000,21.50000,19.00000,20.50000,144264,20.50000
CVCI-200005,20000209,21.37500,21.50000,18.50000,20.00000,95332,20.00000
CVCI-200005,20000210,19.62500,25.00000,18.87500,24.25000,201012,24.25000
CVCI-200005,20000211,24.93750,28.75000,22.62500,23.31250,244288,23.31250
CVCI-200005,20000214,24.50000,25.68750,23.62500,25.43750,216256,25.43750
CVCI-200005,20000215,25.18750,25.37500,23.18750,24.31250,134320,24.31250
CVCI-200005,20000216,23.50000,26.85940,23.43750,24.18750,183784,24.18750
CVCI-200005,20000217,25.12500,27.31250,23.00000,26.25000,311390,26.25000
CVCI-200005,20000218,26.56250,29.56250,25.00000,27.00000,208184,27.00000
CVCI-200005,20000222,27.37500,28.12500,26.50000,26.75000,131772,26.75000
CVCI-200005,20000223,26.93750,28.00000,26.00000,26.75000,122306,26.75000
CVCI-200005,20000224,27.12500,30.50000,27.12500,29.50000,304244,29.50000
CVCI-200005,20000225,29.84380,30.50000,27.00000,28.00000,109998,28.00000
CVCI-200005,20000228,27.50000,29.87500,26.56250,29.00000,76206,29.00000
CVCI-200005,20000229,29.62500,41.37500,29.50000,33.75000,1424010,33.75000
CVCI-200005,20000301,34.00000,44.00000,33.37500,40.93750,1025770,40.93750
CVCI-200005,20000302,40.87500,41.25000,37.56250,41.00000,179810,41.00000
CVCI-200005,20000303,40.37500,46.12500,40.37500,46.06250,240694,46.06250
CVCI-200005,20000306,46.12500,48.00000,45.37500,45.37500,108254,45.37500
CVCI-200005,20000307,45.50000,49.93750,45.50000,46.43750,186676,46.43750
CVCI-200005,20000308,47.00000,47.62500,39.00000,44.62500,167118,44.62500
CVCI-200005,20000309,43.34380,44.56250,42.00000,43.37500,141090,43.37500
CVCI-200005,20000310,42.00000,43.18750,39.50000,40.75000,109184,40.75000
CVCI-200005,20000313,38.43750,40.00000,37.00000,38.62500,66186,38.62500
CVCI-200005,20000314,39.31250,40.75000,34.37500,34.37500,136100,34.37500
CVCI-200005,20000315,34.43750,34.81250,32.75000,34.43750,108598,34.43750
CVCI-200005,20000316,34.87500,35.62500,31.00000,34.81250,71560,34.81250
CVCI-200005,20000317,33.84380,36.75000,32.56250,36.12500,97164,36.12500
CVCI-200005,20000320,35.46880,38.50000,35.46880,35.75000,67236,35.75000
CVCI-200005,20000321,36.56250,37.06250,34.00000,35.00000,43606,35.00000
CVCI-200005,20000322,34.50000,37.50000,34.50000,36.93750,34016,36.93750
CVCI-200005,20000323,37.50000,39.00000,36.25000,38.50000,65196,38.50000
CVCI-200005,20000324,37.00000,39.50000,37.00000,38.37500,45270,38.37500
CVCI-200005,20000327,40.00000,41.00000,38.62500,39.00000,130796,39.00000
CVCI-200005,20000328,38.93750,39.93750,35.37500,37.00000,67858,37.00000
CVCI-200005,20000329,36.62500,36.62500,32.75000,33.56250,80952,33.56250
CVCI-200005,20000330,33.43750,33.81250,30.00000,30.50000,95686,30.50000
CVCI-200005,20000331,31.87500,32.87500,30.00000,31.75000,36340,31.75000
CVCI-200005,20000403,31.46880,31.81250,28.50000,29.75000,30440,29.75000
CVCI-200005,20000404,29.12500,29.75000,23.68750,28.75000,107528,28.75000
CVCI-200005,20000405,26.68750,32.87500,25.50000,31.06250,72412,31.06250
CVCI-200005,20000406,30.56250,33.00000,27.93750,30.37500,43088,30.37500
CVCI-200005,20000407,30.75000,31.81250,30.25000,31.56250,31800,31.56250
CVCI-200005,20000410,28.50000,31.75000,28.50000,28.50000,60948,28.50000
CVCI-200005,20000411,27.87500,28.56250,25.68750,27.31250,88626,27.31250
CVCI-200005,20000412,28.00000,28.37500,26.00000,26.51561,30640,26.51561
CVCI-200005,20000413,27.00000,31.00000,26.43750,26.43750,52726,26.43750
CVCI-200005,20000414,25.50000,26.62500,24.31250,25.18750,42656,25.18750
CVCI-200005,20000417,24.00000,25.25000,23.62500,24.50000,52956,24.50000
CVCI-200005,20000418,24.50000,30.18750,24.50000,29.12500,133226,29.12500
CVCI-200005,20000419,28.43750,29.62500,26.93750,26.93750,38602,26.93750
CVCI-200005,20000420,27.25000,27.68750,26.62500,27.37500,5400,27.37500
CVCI-200005,20000424,26.93750,27.00000,23.50000,24.00000,35272,24.00000
CVCI-200005,20000425,26.50000,27.18750,26.00000,27.18750,25490,27.18750
CVCI-200005,20000426,21.06250,27.31250,21.06250,27.31250,165492,27.31250
CVCI-200005,20000427,23.81250,27.12500,23.68750,27.12500,219620,27.12500
CVCI-200005,20000428,25.87500,27.50000,25.87500,26.31250,135270,26.31250
CVCI-200005,20000501,26.37500,27.25000,25.12500,25.12500,86158,25.12500
CVCI-200005,20000502,25.75000,26.62500,25.62500,25.75000,32180,25.75000
CVCI-200005,20000503,25.50000,26.75000,25.06250,26.12500,118850,26.12500
CVCI-200005,20000504,26.50000,27.00000,25.37500,26.00000,96650,26.00000
CVCI-200005,20000505,26.31250,26.31250,24.62500,24.87500,85130,24.87500
