Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CELM,20100129,4.64000,4.90001,4.45000,4.45000,1356500,4.45000
CELM,20100201,4.54000,4.54000,4.44001,4.47000,100300,4.47000
CELM,20100202,4.55001,4.59001,4.46001,4.50000,75800,4.50000
CELM,20100203,4.50000,5.10000,4.50000,5.03001,374900,5.03001
CELM,20100204,5.01001,5.15001,4.58000,4.62000,243300,4.62000
CELM,20100205,4.71001,5.00000,4.55001,4.98001,146200,4.98001
CELM,20100208,5.08000,5.08000,4.85000,4.94001,34700,4.94001
CELM,20100209,5.00000,5.05001,4.61001,4.80001,178600,4.80001
CELM,20100210,4.89000,4.97000,4.71001,4.80001,144800,4.80001
CELM,20100211,4.80001,4.85000,4.58000,4.75000,47300,4.75000
CELM,20100212,4.70000,4.80001,4.68000,4.73001,58400,4.73001
CELM,20100216,4.85000,4.93000,4.65001,4.86001,28100,4.86001
CELM,20100217,4.94001,5.03001,4.75000,4.89000,14500,4.89000
CELM,20100218,4.77000,4.90001,4.77000,4.87000,19300,4.87000
CELM,20100219,4.93000,4.94001,4.83000,4.87000,16600,4.87000
CELM,20100222,4.95000,5.25000,4.83000,4.94001,223100,4.94001
CELM,20100223,5.08000,5.08000,4.70000,4.87000,52100,4.87000
CELM,20100224,4.87000,5.00000,4.85000,4.99000,38300,4.99000
CELM,20100225,5.00000,5.00000,4.79000,4.89000,41300,4.89000
CELM,20100226,4.90001,4.90001,4.70000,4.77000,28200,4.77000
CELM,20100301,4.84001,4.86001,4.75000,4.82001,51100,4.82001
CELM,20100302,4.81000,5.05001,4.81000,5.00000,80200,5.00000
CELM,20100303,5.05001,5.60000,5.05001,5.59001,881200,5.59001
CELM,20100304,5.69001,5.70000,5.11001,5.50000,479800,5.50000
CELM,20100305,5.59001,5.90001,5.40001,5.73001,352100,5.73001
CELM,20100308,5.82001,5.89000,5.51001,5.75000,255400,5.75000
CELM,20100309,6.05001,6.38001,5.91000,6.00000,952600,6.00000
CELM,20100310,6.09001,6.30001,5.91000,6.05001,305100,6.05001
CELM,20100311,6.05001,6.06000,5.91000,6.06000,95900,6.06000
CELM,20100312,6.03001,6.09001,5.77000,6.00000,105200,6.00000
CELM,20100315,6.00000,6.00000,5.62000,5.62000,117600,5.62000
CELM,20100316,5.75000,5.84001,5.50000,5.76001,68100,5.76001
CELM,20100317,5.76001,5.78001,5.21001,5.22000,290200,5.22000
CELM,20100318,5.21001,5.36001,5.09001,5.09001,153900,5.09001
CELM,20100319,5.26001,5.26001,4.76001,5.01001,354400,5.01001
CELM,20100322,5.03001,5.05001,4.87000,5.00000,60500,5.00000
CELM,20100323,5.02000,5.12000,4.92001,5.00000,130200,5.00000
CELM,20100324,5.02000,5.25000,4.90001,5.15001,123000,5.15001
CELM,20100325,5.15001,5.20000,5.00000,5.05001,80100,5.05001
CELM,20100326,5.16000,5.29000,5.10000,5.24000,184600,5.24000
CELM,20100329,5.31000,5.50000,5.31000,5.39000,280600,5.39000
CELM,20100330,5.40001,5.40001,5.15001,5.20000,294700,5.20000
CELM,20100331,5.41000,5.65001,5.05001,5.16000,722000,5.16000
CELM,20100401,5.19001,5.40001,5.06000,5.27000,395800,5.27000
CELM,20100405,5.32001,5.48001,5.26001,5.43000,251300,5.43000
CELM,20100406,5.44001,6.20000,5.44001,6.20000,483000,6.20000
CELM,20100407,6.25000,6.75000,5.91000,6.37000,1264500,6.37000
CELM,20100408,6.39000,6.87000,6.20000,6.72000,608300,6.72000
CELM,20100409,6.78001,7.08000,6.57001,6.85000,598600,6.85000
CELM,20100412,7.04000,7.78001,6.91000,7.71001,796000,7.71001
CELM,20100413,7.75000,7.85000,7.20000,7.56000,531200,7.56000
CELM,20100414,7.66000,8.19000,7.40001,8.00000,583200,8.00000
CELM,20100415,8.10001,8.10001,7.51001,7.74000,400000,7.74000
CELM,20100416,8.05001,8.49000,7.77000,8.16000,1003900,8.16000
CELM,20100419,8.24000,8.29000,7.70000,8.06001,417500,8.06001
CELM,20100420,8.15000,8.22001,7.80001,7.98001,210700,7.98001
CELM,20100421,7.94001,7.99000,7.72000,7.90001,184800,7.90001
CELM,20100422,7.80001,8.91000,7.71001,8.91000,429600,8.91000
CELM,20100423,9.12000,9.48000,8.50000,8.79000,555800,8.79000
CELM,20100426,8.86000,9.35001,8.60001,8.94000,359300,8.94000
CELM,20100427,8.84001,9.36000,8.60001,8.75000,289200,8.75000
CELM,20100428,9.50000,9.88001,9.05001,9.31001,729700,9.31001
CELM,20100429,9.50000,9.82000,9.19000,9.44000,550600,9.44000
CELM,20100430,9.45000,9.51001,9.18001,9.44000,236000,9.44000
CELM,20100503,9.50000,9.50000,9.05001,9.38001,294700,9.38001
CELM,20100504,9.21001,9.26001,8.77001,9.09001,288200,9.09001
CELM,20100505,9.00000,9.08000,8.59001,8.70000,407300,8.70000
CELM,20100506,8.74000,8.99000,6.30001,7.38001,644000,7.38001
CELM,20100507,7.30001,7.89000,6.56000,7.08000,505400,7.08000
CELM,20100510,7.78001,8.56001,7.63001,8.56001,374900,8.56001
CELM,20100511,8.53000,8.95000,7.95000,8.76001,254300,8.76001
CELM,20100512,8.92001,8.98000,8.59001,8.82000,229100,8.82000
CELM,20100513,8.82000,8.97001,8.61000,8.89001,145400,8.89001
CELM,20100514,8.19000,8.19000,7.10000,7.49000,657100,7.49000
CELM,20100517,7.49000,7.50000,6.00000,6.41000,533000,6.41000
CELM,20100518,6.32001,6.40001,5.68000,6.00000,702300,6.00000
