Ticker,Date,Open,High,Low,Close,Volume,Open Interest
BCS+C,20071205,25.04001,25.25000,24.93001,25.04001,2582702,25.04001
BCS+C,20071206,25.27001,25.45001,25.27001,25.27001,1249400,25.27001
BCS+C,20071207,25.50000,25.75000,20.55000,25.50000,983800,25.50000
BCS+C,20071210,25.60001,25.85001,25.30000,25.60001,576900,25.60001
BCS+C,20071211,25.32000,25.75000,25.20001,25.32000,481300,25.32000
BCS+C,20071212,25.60001,25.75000,22.52001,25.60001,303600,25.60001
BCS+C,20071213,25.57000,25.80000,25.07000,25.57000,384400,25.57000
BCS+C,20071214,25.65000,26.00000,24.50000,25.65000,149800,25.65000
BCS+C,20071217,25.60001,25.75000,25.20001,25.60001,287100,25.60001
BCS+C,20071218,25.50000,25.75000,24.60001,25.50000,277800,25.50000
BCS+C,20071219,25.52001,25.65000,25.20001,25.52001,249100,25.52001
BCS+C,20071220,25.39000,25.60001,25.00000,25.39000,276000,25.39000
BCS+C,20071221,25.45001,25.60001,25.20001,25.45001,43300,25.45001
BCS+C,20071224,25.15000,25.55000,25.15000,25.15000,111100,25.15000
BCS+C,20071226,25.44001,25.55000,25.10001,25.44001,22600,25.44001
BCS+C,20071227,25.40000,25.55000,25.20001,25.40000,91900,25.40000
BCS+C,20071228,25.28001,25.50000,25.00000,25.34001,73600,25.34001
BCS+C,20071231,25.01001,25.20001,25.01001,25.20001,59800,25.20001
BCS+C,20080102,25.35001,25.35001,25.15000,25.25000,177400,25.25000
BCS+C,20080103,25.35001,25.55000,25.26001,25.36001,104200,25.36001
BCS+C,20080104,25.38000,25.59001,25.28001,25.38000,83200,25.38000
BCS+C,20080107,25.32000,25.50000,25.26001,25.40000,116900,25.40000
BCS+C,20080108,25.40000,25.54001,25.25000,25.50000,324700,25.50000
BCS+C,20080109,25.52001,25.70001,25.45001,25.70001,133100,25.70001
BCS+C,20080110,25.70001,25.75000,25.28001,25.68001,177100,25.68001
BCS+C,20080111,25.75000,25.99000,25.45001,25.99000,164100,25.99000
BCS+C,20080114,25.96000,26.00000,25.66000,25.85001,95500,25.85001
BCS+C,20080115,25.80000,25.94001,25.73000,25.93001,114800,25.93001
BCS+C,20080116,25.93001,26.08000,25.82000,25.93001,100700,25.93001
BCS+C,20080117,25.76001,25.80000,25.11001,25.40000,194000,25.40000
BCS+C,20080118,25.79001,25.90000,25.35001,25.85001,175000,25.85001
BCS+C,20080122,25.52001,25.97000,25.32000,25.90000,163800,25.90000
BCS+C,20080123,25.95001,25.97000,25.51001,25.62001,142400,25.62001
BCS+C,20080124,25.73000,26.14000,25.55000,26.00000,103400,26.00000
BCS+C,20080125,25.82000,26.20001,25.82000,26.00000,79900,26.00000
BCS+C,20080128,26.00000,26.13000,25.76001,25.99000,78300,25.99000
BCS+C,20080129,26.01001,26.35001,25.88000,25.92001,128700,25.92001
BCS+C,20080130,26.05000,26.20001,25.78001,25.99000,130400,25.99000
BCS+C,20080131,26.08000,26.32000,25.83000,26.32000,114100,26.32000
BCS+C,20080201,26.42001,26.70001,26.21000,26.57000,98000,26.57000
BCS+C,20080204,26.57000,26.68001,25.76001,26.47000,136400,26.47000
BCS+C,20080205,26.23000,26.59001,24.93001,26.38000,171300,26.38000
BCS+C,20080206,26.34001,26.47000,25.82000,26.47000,271200,26.47000
BCS+C,20080207,26.40000,26.50000,26.28001,26.45001,186300,26.45001
BCS+C,20080208,26.44001,26.57000,26.35001,26.48000,93100,26.48000
BCS+C,20080211,26.37001,26.48000,25.85001,25.92001,114300,25.92001
BCS+C,20080212,25.95001,26.44001,25.62001,25.82000,161400,25.82000
BCS+C,20080213,25.85001,26.00000,25.62001,26.00000,69900,26.00000
BCS+C,20080214,26.00000,26.07000,25.92001,26.07000,78800,26.07000
BCS+C,20080215,26.07000,26.07000,25.72000,26.00000,81400,26.00000
BCS+C,20080219,26.00000,26.32000,25.90000,26.32000,192700,26.32000
BCS+C,20080220,26.31000,26.40000,25.85001,26.40000,157900,26.40000
BCS+C,20080221,26.27001,26.40000,26.01001,26.01001,108700,26.01001
BCS+C,20080222,26.38000,26.45001,26.05000,26.33000,108100,26.33000
BCS+C,20080225,26.30000,26.33000,26.00000,26.00000,89300,26.00000
BCS+C,20080226,26.01001,26.38000,25.96000,26.08000,69300,26.08000
BCS+C,20080227,25.70001,26.15000,25.52001,26.00000,157800,26.00000
BCS+C,20080228,26.06000,26.06000,25.72000,25.87001,65300,25.87001
BCS+C,20080229,25.77001,26.06000,25.58000,25.62001,84800,25.62001
BCS+C,20080303,25.15000,25.49000,25.07000,25.28001,195600,25.28001
BCS+C,20080304,25.29001,25.30000,25.01001,25.15000,179200,25.15000
BCS+C,20080305,25.29001,25.85001,25.13000,25.70001,118800,25.70001
BCS+C,20080306,25.83000,25.85001,25.20001,25.22000,90400,25.22000
BCS+C,20080307,25.15000,25.32000,25.07000,25.30000,128500,25.30000
BCS+C,20080310,25.30000,25.30000,24.89000,25.15000,104200,25.15000
BCS+C,20080311,25.25000,25.50000,25.00000,25.50000,124300,25.50000
BCS+C,20080312,25.50000,25.58000,25.13000,25.32000,91900,25.32000
BCS+C,20080313,25.30000,25.60001,24.95001,25.30000,71800,25.30000
BCS+C,20080314,25.53001,25.60001,24.85001,25.01001,89500,25.01001
BCS+C,20080317,24.75000,24.80000,24.00000,24.70001,110400,24.70001
BCS+C,20080318,24.82000,25.22000,24.81000,25.22000,96500,25.22000
BCS+C,20080319,25.11001,25.21000,24.90000,25.15000,76200,25.15000
BCS+C,20080320,25.19001,25.34001,24.91000,25.10001,58900,25.10001
BCS+C,20080324,25.15000,25.25000,24.83000,25.14000,132900,25.14000
BCS+C,20080325,25.02001,25.14000,24.94001,25.09001,120700,25.09001
BCS+C,20080326,25.01001,25.25000,25.00000,25.15000,103000,25.15000
BCS+C,20080327,25.07000,25.32000,25.05000,25.30000,57900,25.30000
BCS+C,20080328,25.53001,25.53001,25.25000,25.30000,66900,25.30000
BCS+C,20080331,25.30000,25.42001,24.93001,25.00000,133800,25.00000
BCS+C,20080401,25.03001,25.15000,24.90000,24.98000,118900,24.98000
BCS+C,20080402,25.00000,25.22000,24.95001,25.17001,71900,25.17001
BCS+C,20080403,25.23000,25.38000,25.00000,25.38000,80800,25.38000
BCS+C,20080404,25.25000,25.40000,25.20001,25.29001,126100,25.29001
BCS+C,20080407,25.19001,25.19001,24.38000,24.57000,490900,24.57000
BCS+C,20080408,24.62001,24.65000,24.40000,24.60001,133800,24.60001
BCS+C,20080409,24.65000,24.73000,24.47000,24.73000,215900,24.73000
BCS+C,20080410,24.73000,24.88000,24.68001,24.85001,143600,24.85001
BCS+C,20080411,24.70001,24.95001,24.70001,24.95001,112200,24.95001
BCS+C,20080414,24.89000,24.92001,24.78001,24.88000,225300,24.88000
BCS+C,20080415,24.90000,25.00000,24.83000,25.00000,141200,25.00000
BCS+C,20080416,24.96000,25.29001,24.96000,25.20001,110100,25.20001
BCS+C,20080417,25.33000,25.33000,25.13000,25.28001,73900,25.28001
BCS+C,20080418,25.24000,25.35001,25.19001,25.27001,139500,25.27001
BCS+C,20080421,25.25000,25.26001,24.80000,24.87001,159800,24.87001
BCS+C,20080422,24.98000,25.00000,24.81000,24.90000,122700,24.90000
BCS+C,20080423,25.00000,25.12001,24.95001,25.04001,72400,25.04001
BCS+C,20080424,25.09001,25.09001,24.83000,24.99000,172600,24.99000
BCS+C,20080425,24.98000,25.25000,24.98000,25.17001,134400,25.17001
BCS+C,20080428,25.24000,25.25000,25.10001,25.15000,79800,25.15000
BCS+C,20080429,25.21000,25.25000,24.90000,25.05000,98700,25.05000
BCS+C,20080430,25.09001,25.25000,24.95001,25.15000,126300,25.15000
BCS+C,20080501,25.10001,25.21000,25.00000,25.21000,80600,25.21000
BCS+C,20080502,25.21000,25.30000,25.15000,25.20001,69600,25.20001
BCS+C,20080505,25.13000,25.24000,24.90000,24.97000,118900,24.97000
BCS+C,20080506,25.02001,25.02001,24.80000,24.89000,86000,24.89000
BCS+C,20080507,24.93001,25.03001,24.76001,25.01001,86300,25.01001
BCS+C,20080508,25.02001,25.23000,25.02001,25.21000,64900,25.21000
BCS+C,20080509,25.24000,25.25000,25.07000,25.20001,53500,25.20001
BCS+C,20080512,25.19001,25.20001,24.95001,25.07000,60400,25.07000
BCS+C,20080513,25.12001,25.12001,24.95001,25.10001,90200,25.10001
BCS+C,20080514,25.32000,25.35001,25.02001,25.18001,58000,25.18001
BCS+C,20080515,25.19001,25.24000,25.10001,25.24000,45000,25.24000
BCS+C,20080516,25.24000,25.49000,25.23000,25.37001,167400,25.37001
BCS+C,20080519,25.40000,25.40000,24.90000,25.10001,203600,25.10001
BCS+C,20080520,25.22000,25.28001,25.07000,25.13000,97600,25.13000
BCS+C,20080521,25.24000,25.33000,25.11001,25.25000,57600,25.25000
BCS+C,20080522,25.25000,25.59001,25.00000,25.16000,141400,25.16000
BCS+C,20080523,25.27001,25.36001,25.20001,25.35001,37900,25.35001
BCS+C,20080527,25.35001,25.45001,25.21000,25.45001,86800,25.45001
BCS+C,20080528,25.19001,25.19001,24.89000,25.04001,108000,25.04001
BCS+C,20080529,25.14000,25.15000,24.98000,25.04001,136700,25.04001
BCS+C,20080530,25.04001,25.11001,24.90000,24.90000,99600,24.90000
BCS+C,20080602,24.99000,25.02001,24.52001,24.65000,97600,24.65000
BCS+C,20080603,24.56000,24.74000,24.48000,24.50000,75200,24.50000
BCS+C,20080604,24.59001,24.63000,24.06000,24.15000,158500,24.15000
BCS+C,20080605,24.27001,24.50000,24.18001,24.28001,97500,24.28001
BCS+C,20080606,24.39000,24.45001,24.08000,24.10001,108200,24.10001
BCS+C,20080609,24.25000,24.27001,23.88000,23.90000,133600,23.90000
BCS+C,20080610,23.98000,24.10001,23.65000,23.82000,182100,23.82000
BCS+C,20080611,23.82000,23.98000,23.71000,23.80000,70800,23.80000
BCS+C,20080612,24.09001,24.13000,23.78001,23.82000,84000,23.82000
BCS+C,20080613,24.02001,24.20001,23.77001,23.85001,89800,23.85001
BCS+C,20080616,24.00000,24.10001,23.85001,24.03001,97700,24.03001
BCS+C,20080617,24.05000,24.20001,24.01001,24.20001,90900,24.20001
BCS+C,20080618,24.22000,24.26001,23.95001,24.05000,64600,24.05000
BCS+C,20080619,24.12001,24.12001,23.75000,23.94001,58600,23.94001
BCS+C,20080620,23.99000,24.07000,23.63000,24.07000,76800,24.07000
BCS+C,20080623,24.25000,24.25000,23.56000,23.66000,68700,23.66000
BCS+C,20080624,23.66000,23.66000,23.23000,23.36001,116000,23.36001
BCS+C,20080625,23.45001,23.88000,23.45001,23.80000,79000,23.80000
BCS+C,20080626,23.70001,23.85001,23.32000,23.52001,63500,23.52001
BCS+C,20080627,23.40000,23.40000,22.88000,23.03001,90600,23.03001
BCS+C,20080630,22.81000,22.83000,22.50000,22.65000,138000,22.65000
BCS+C,20080701,22.60001,22.72000,22.27001,22.35001,92200,22.35001
BCS+C,20080702,22.53001,22.53001,21.93001,22.05000,118800,22.05000
BCS+C,20080703,22.18001,22.22000,21.96000,22.10001,42200,22.10001
BCS+C,20080707,22.24000,22.75000,22.06000,22.22000,93600,22.22000
BCS+C,20080708,22.29001,22.39000,21.95001,22.30000,169800,22.30000
BCS+C,20080709,22.41000,23.05000,22.41000,22.89000,59200,22.89000
BCS+C,20080710,22.89000,23.13000,22.44001,22.83000,56900,22.83000
BCS+C,20080711,22.82000,24.85001,21.70001,22.27001,87700,22.27001
BCS+C,20080714,22.31000,22.36001,19.27001,19.45001,138700,19.45001
BCS+C,20080715,15.00000,18.92001,15.00000,18.55000,158100,18.55000
BCS+C,20080716,19.39000,20.78001,18.26001,20.78001,96600,20.78001
BCS+C,20080717,21.95001,22.34001,21.00000,22.25000,90800,22.25000
BCS+C,20080718,23.00000,23.00000,21.51001,21.79001,85800,21.79001
BCS+C,20080721,22.55000,22.68001,21.82000,21.90000,54700,21.90000
BCS+C,20080722,21.16000,22.71000,21.16000,22.46000,157500,22.46000
BCS+C,20080723,22.89000,23.60001,22.84001,23.40000,79500,23.40000
BCS+C,20080724,23.59001,23.59001,22.60001,22.68001,120400,22.68001
BCS+C,20080725,22.45001,22.97000,22.43001,22.75000,56400,22.75000
BCS+C,20080728,22.91000,22.91000,22.15000,22.50000,54100,22.50000
BCS+C,20080729,22.74000,22.95001,22.38000,22.95001,79100,22.95001
BCS+C,20080730,22.95001,23.00000,22.65000,22.98000,87800,22.98000
BCS+C,20080731,22.68001,23.45001,22.68001,23.45001,42400,23.45001
BCS+C,20080801,23.69001,23.75000,23.15000,23.75000,63400,23.75000
BCS+C,20080804,23.82000,23.82000,23.25000,23.55000,48200,23.55000
BCS+C,20080805,23.55000,23.88000,23.55000,23.79001,58000,23.79001
BCS+C,20080806,23.79001,24.00000,23.61001,23.97000,53200,23.97000
BCS+C,20080807,23.93001,24.00000,23.74000,23.96000,51400,23.96000
BCS+C,20080808,24.00000,24.17001,23.80000,24.03001,84100,24.03001
BCS+C,20080811,24.15000,24.19001,23.60001,23.98000,74000,23.98000
BCS+C,20080812,24.10001,24.10001,23.77001,23.85001,42000,23.85001
BCS+C,20080813,23.93001,23.93001,23.09001,23.43001,72600,23.43001
BCS+C,20080814,23.40000,23.40000,22.98000,23.05000,47000,23.05000
BCS+C,20080815,23.33000,23.37001,23.20001,23.28001,110600,23.28001
BCS+C,20080818,23.35001,23.39000,23.16000,23.39000,57500,23.39000
BCS+C,20080819,23.49000,23.61001,22.85001,23.48000,97200,23.48000
BCS+C,20080820,23.58000,23.67001,23.34001,23.61001,44000,23.61001
BCS+C,20080821,23.65000,23.65000,23.11001,23.31000,51300,23.31000
BCS+C,20080822,23.20001,23.40000,23.18001,23.37001,33500,23.37001
BCS+C,20080825,23.50000,23.55000,23.30000,23.45001,29200,23.45001
BCS+C,20080826,23.45001,23.68001,23.32000,23.45001,45500,23.45001
BCS+C,20080827,23.15000,23.30000,23.00000,23.30000,40900,23.30000
BCS+C,20080828,23.31000,23.55000,23.12001,23.35001,47300,23.35001
BCS+C,20080829,23.39000,23.51001,23.16000,23.34001,20600,23.34001
BCS+C,20080902,23.50000,23.91000,23.28001,23.91000,48900,23.91000
BCS+C,20080903,23.55000,23.88000,23.25000,23.88000,53100,23.88000
BCS+C,20080904,23.27001,23.36001,23.00000,23.31000,53400,23.31000
BCS+C,20080905,23.18001,23.18001,22.84001,22.85001,89400,22.85001
BCS+C,20080908,23.08000,23.08000,22.01001,22.35001,68100,22.35001
BCS+C,20080909,22.30000,22.30000,21.07000,21.48000,83400,21.48000
BCS+C,20080910,20.99000,21.17001,20.20001,20.34001,124200,20.34001
BCS+C,20080911,20.15000,20.15000,18.20001,18.64000,204800,18.64000
BCS+C,20080912,18.50000,19.34001,18.50000,19.27001,125600,19.27001
BCS+C,20080915,17.53001,18.00000,16.00000,16.16000,196900,16.16000
BCS+C,20080916,16.16000,16.17001,13.00000,15.25000,258300,15.25000
BCS+C,20080917,14.20000,15.52001,12.26001,13.70000,253700,13.70000
BCS+C,20080918,12.55001,18.21000,12.00000,18.00000,270700,18.00000
BCS+C,20080919,21.50000,21.50000,18.50000,19.40000,258900,19.40000
BCS+C,20080922,18.70001,18.80000,15.00000,18.00000,107400,18.00000
BCS+C,20080923,17.36001,18.49000,17.35001,17.69001,138500,17.69001
BCS+C,20080924,18.10001,18.70001,17.69001,18.15000,120300,18.15000
BCS+C,20080925,18.57000,19.89000,18.10001,19.89000,162700,19.89000
BCS+C,20080926,18.65000,20.20001,17.20001,19.25000,150400,19.25000
BCS+C,20080929,15.50000,16.00000,12.60001,13.85001,391200,13.85001
BCS+C,20080930,12.60001,15.78000,12.60001,15.71001,132700,15.71001
BCS+C,20081001,15.71001,17.47000,14.01001,16.61001,118500,16.61001
BCS+C,20081002,16.30000,16.90000,15.76001,15.85001,82700,15.85001
BCS+C,20081003,16.49000,17.10001,16.36001,16.79001,124600,16.79001
BCS+C,20081006,16.00000,16.00000,14.11000,15.50000,168100,15.50000
BCS+C,20081007,14.46001,14.71001,11.15000,11.70000,168800,11.70000
BCS+C,20081008,11.36000,11.80001,10.33000,10.75000,428800,10.75000
BCS+C,20081009,11.00000,12.79000,8.60001,10.20000,258800,10.20000
BCS+C,20081010,7.15001,10.00000,6.01001,7.69001,312800,7.69001
BCS+C,20081013,9.70000,12.89001,9.45000,12.43001,207500,12.43001
BCS+C,20081014,13.75000,15.33000,13.75000,15.33000,401900,15.33000
BCS+C,20081015,15.33000,15.85001,14.73000,15.83000,142900,15.83000
BCS+C,20081016,15.86000,15.86000,14.95000,15.71001,95600,15.71001
BCS+C,20081017,15.80001,15.85001,15.15000,15.67001,95700,15.67001
BCS+C,20081020,15.55001,16.13000,15.55001,16.08000,150600,16.08000
BCS+C,20081021,16.15000,16.75000,15.83000,16.75000,260200,16.75000
BCS+C,20081022,16.69001,16.69001,15.66000,15.77001,190100,15.77001
BCS+C,20081023,16.17001,16.24000,15.06001,15.53000,130200,15.53000
BCS+C,20081024,14.41000,16.15000,13.98000,15.54000,65400,15.54000
BCS+C,20081027,15.90000,15.90000,14.26001,14.26001,63800,14.26001
BCS+C,20081028,14.70000,15.15000,14.13001,15.15000,78800,15.15000
BCS+C,20081029,15.05001,15.40000,14.83000,15.10001,58600,15.10001
BCS+C,20081030,15.40000,16.20001,15.30001,16.13000,117300,16.13000
BCS+C,20081031,16.28001,16.82000,15.83000,16.63000,252600,16.63000
BCS+C,20081103,16.84001,17.50000,16.70001,17.45001,116900,17.45001
BCS+C,20081104,17.99000,17.99000,16.86001,17.36001,114700,17.36001
