Ticker,Date,Open,High,Low,Close,Volume,Open Interest
BRE,19850102,13.99086,14.11096,13.81072,13.81072,7495,28.75000
BRE,19850103,13.93082,14.29110,13.93082,14.29110,31643,29.75000
BRE,19850104,14.29110,14.29110,14.05091,14.17100,7911,29.50000
BRE,19850107,14.17100,14.41119,13.99086,14.41119,42259,30.00000
BRE,19850108,14.41119,14.65138,14.23105,14.53128,14156,30.25000
BRE,19850109,14.53128,14.65138,14.47124,14.53128,7495,30.25000
BRE,19850110,14.53128,14.65138,14.47124,14.47124,6454,30.12500
BRE,19850111,14.53128,14.71142,14.53128,14.53128,20609,30.25000
BRE,19850114,14.53128,14.77147,14.47124,14.77147,25189,30.75000
BRE,19850115,14.77147,14.89156,14.59133,14.65138,24357,30.50000
BRE,19850116,14.65138,15.01165,14.59133,14.83151,12699,30.87500
BRE,19850117,14.83151,15.31189,14.77147,15.25184,224201,31.75000
BRE,19850118,15.19179,15.19179,14.89156,14.89156,87016,31.00000
BRE,19850121,14.95161,15.07170,14.95161,14.95161,23940,31.12500
BRE,19850122,14.95161,15.07170,14.83151,14.89156,8536,31.00000
BRE,19850123,14.89156,15.01165,14.83151,14.89156,63701,31.00000
BRE,19850124,14.89156,15.01165,14.71142,14.83151,13115,30.87500
BRE,19850125,14.83151,15.19179,14.83151,15.19179,12491,31.62500
BRE,19850128,15.19179,15.37193,15.19179,15.19179,24773,31.62500
BRE,19850129,15.19179,15.25184,15.01165,15.25184,24981,31.75000
BRE,19850130,15.25184,15.43198,15.25184,15.25184,7287,31.75000
BRE,19850131,15.31189,15.37193,15.31189,15.31189,6246,31.87500
BRE,19850201,15.31189,15.43198,15.31189,15.43198,2290,32.12500
BRE,19850204,15.43198,15.43198,15.31189,15.31189,7495,31.87500
BRE,19850205,15.43198,15.55207,15.43198,15.43198,7911,32.12500
BRE,19850206,15.43198,15.55207,15.43198,15.43198,3539,32.12500
BRE,19850207,15.43198,15.61212,15.43198,15.55207,5621,32.37500
BRE,19850208,15.55207,15.55207,15.37193,15.37193,7287,32.00000
BRE,19850211,15.37193,15.49203,15.19179,15.19179,7495,31.62500
BRE,19850212,15.19179,15.31189,15.13175,15.13175,31018,31.50000
BRE,19850213,15.13175,15.25184,14.95161,14.95161,10201,31.12500
BRE,19850214,14.95161,15.01165,14.89156,14.89156,10825,31.00000
BRE,19850215,14.83151,14.83151,14.65138,14.77147,15405,30.75000
BRE,19850219,14.65138,14.65138,14.53128,14.65138,7078,30.50000
BRE,19850220,14.65138,14.83151,14.59133,14.59133,8536,30.37500
BRE,19850221,14.59133,14.83151,14.59133,14.83151,4372,30.87500
BRE,19850222,14.83151,14.89156,14.65138,14.71142,5205,30.62500
BRE,19850225,14.71142,14.77147,14.59133,14.77147,3123,30.75000
BRE,19850226,14.77147,14.89156,14.59133,14.65138,8744,30.50000
BRE,19850227,14.65138,14.83151,14.53128,14.65138,6662,30.50000
BRE,19850228,14.65138,15.01165,14.65138,15.01165,3956,31.25000
BRE,19850301,14.65138,14.65138,14.47124,14.59133,6662,30.37500
BRE,19850304,14.59133,14.71142,14.59133,14.65138,1666,30.50000
BRE,19850305,14.77147,14.89156,14.77147,14.89156,7287,31.00000
BRE,19850306,14.83151,14.83151,14.59133,14.59133,5621,30.37500
BRE,19850307,14.59133,14.65138,14.53128,14.65138,3539,30.50000
BRE,19850308,14.65138,14.71142,14.47124,14.47124,12283,30.12500
BRE,19850311,14.47124,14.59133,14.17100,14.17100,17279,29.50000
BRE,19850312,14.23105,14.53128,14.23105,14.47124,24773,30.12500
BRE,19850313,14.47124,14.53128,14.41119,14.41119,58497,30.00000
