Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CEL,20070207,18.75458,18.82128,18.18279,18.34480,1561634,19.25000
CEL,20070208,18.48774,18.48774,17.61101,17.76348,1446521,18.64000
CEL,20070209,17.91596,18.01125,17.53477,17.53477,885332,18.40000
CEL,20070212,17.53477,18.20185,17.34417,17.72536,434429,18.60001
CEL,20070213,17.77301,18.27809,17.77301,18.02079,269052,18.91000
CEL,20070214,18.23044,18.23997,17.86831,18.10655,248485,19.00000
CEL,20070215,18.10655,18.58304,18.10655,18.53539,425614,19.45001
CEL,20070216,18.58304,18.77364,18.48774,18.66881,343976,19.59001
CEL,20070220,18.72599,18.76411,18.26856,18.29715,96855,19.20001
CEL,20070221,18.10655,18.12561,17.48712,17.72536,775571,18.60001
CEL,20070222,17.72536,17.82066,17.53477,17.71583,207771,18.59001
CEL,20070223,17.70630,17.82066,17.37276,17.48712,297280,18.35001
CEL,20070226,17.41088,17.53477,17.37276,17.47759,118681,18.34001
CEL,20070227,17.34417,17.40135,17.16311,17.39182,212598,18.25000
CEL,20070228,17.39182,17.63007,17.24887,17.53477,37147,18.40000
CEL,20070301,17.39182,17.39182,17.15358,17.36323,117842,18.22000
CEL,20070302,17.60148,17.69677,17.23934,17.24887,139878,18.10001
CEL,20070305,17.15358,17.34417,17.01063,17.17264,105565,18.02001
CEL,20070306,17.48712,17.57289,16.67709,17.10593,298014,17.95001
CEL,20070307,17.12499,17.33464,17.10593,17.25840,85837,18.11001
CEL,20070308,17.34417,17.53477,17.24887,17.37276,149007,18.23000
CEL,20070309,17.31558,17.48712,17.24887,17.48712,155723,18.35001
CEL,20070312,17.53477,18.03984,17.53477,17.88737,361395,18.77001
CEL,20070313,17.95408,17.95408,17.64912,17.85878,257405,18.74000
CEL,20070314,17.91596,17.93502,17.68724,17.77301,181432,18.65000
CEL,20070315,17.86831,18.01125,17.78254,17.96361,121934,18.85001
CEL,20070316,18.08749,18.08749,17.86831,17.99220,92448,18.88000
CEL,20070319,18.01125,18.07796,17.83972,17.89690,190247,18.78001
CEL,20070320,17.89690,17.89690,17.63007,17.67771,79751,18.55000
CEL,20070321,17.72536,17.72536,17.35370,17.48712,268213,18.35001
CEL,20070322,17.35370,17.63959,17.35370,17.46806,86991,18.33000
CEL,20070323,17.53477,17.53477,17.39182,17.48712,82899,18.35001
CEL,20070326,17.58242,17.60148,17.24887,17.36323,70097,18.22000
CEL,20070327,17.34417,17.51571,17.07734,17.26793,131064,18.12001
CEL,20070328,17.33464,17.51571,17.24887,17.34417,294971,18.20001
CEL,20070329,17.20122,17.43947,17.20122,17.43947,78072,18.30000
CEL,20070330,17.53477,17.71583,17.24887,17.38229,144705,18.24000
CEL,20070402,17.38229,17.39182,17.02016,17.06781,329390,17.91000
CEL,20070403,17.06781,17.39182,16.97251,17.19170,89510,18.04001
CEL,20070404,17.34417,17.81113,17.29652,17.72536,276083,18.60001
CEL,20070405,17.75395,18.09702,17.69677,18.07796,44598,18.97000
CEL,20070409,18.03031,18.10655,17.86831,18.10655,85417,19.00000
CEL,20070410,18.11608,18.25903,17.92549,18.07796,207141,18.97000
CEL,20070411,18.10655,18.14467,17.96361,18.05890,41240,18.95001
CEL,20070412,18.01125,18.27809,17.91596,18.20185,327816,19.10001
CEL,20070413,18.14467,18.54492,18.14467,18.48774,418584,19.40000
CEL,20070416,18.67834,18.94517,18.58304,18.83081,241350,19.76001
CEL,20070417,18.85940,18.88799,18.64022,18.82128,138514,19.75000
CEL,20070418,18.82128,18.86893,18.71646,18.82128,70516,19.75000
CEL,20070419,18.82128,18.82128,18.34480,18.56398,71776,19.48000
CEL,20070420,18.67834,19.03094,18.53539,18.80222,45227,19.73000
CEL,20070423,18.81176,18.91658,18.69740,18.86893,44178,19.80000
CEL,20070424,18.86893,18.95470,18.74505,18.92611,58029,19.86001
CEL,20070425,19.39307,19.53602,18.82128,19.04047,205462,19.98000
CEL,20070426,19.05953,19.25012,19.01188,19.05953,288675,20.00000
CEL,20070427,19.04047,19.05953,18.66881,18.97376,150267,19.91000
CEL,20070430,18.77364,19.13577,18.77364,19.03094,258874,19.97000
CEL,20070501,19.01188,19.10718,18.96423,19.05000,110811,19.99000
CEL,20070502,19.05953,19.44072,19.01188,19.44072,347438,20.40000
CEL,20070503,19.51696,19.64084,19.15483,19.54555,135471,20.51001
CEL,20070504,19.53602,19.56461,19.34542,19.41213,120990,20.37001
CEL,20070507,19.25965,19.43119,19.15483,19.38354,137150,20.34001
CEL,20070508,19.43119,19.63131,19.34542,19.51696,212912,20.48000
CEL,20070509,19.63131,20.10780,19.53602,20.04110,218684,21.03001
CEL,20070510,19.96486,20.57476,19.91721,20.30793,233585,21.31000
CEL,20070511,20.35558,20.53664,20.25075,20.48899,65060,21.50000
CEL,20070514,21.44197,22.81426,21.09890,22.58554,786064,23.70001
CEL,20070515,22.58554,22.77614,21.72786,22.20435,430441,23.30000
CEL,20070516,22.20435,22.29965,21.72786,21.91846,107139,23.00000
CEL,20070517,22.06140,22.63319,21.88034,22.47118,564967,23.58000
CEL,20070518,22.53789,23.02391,22.44259,23.02391,349957,24.16000
CEL,20070521,23.02391,23.12874,22.83331,23.03344,1906239,24.17001
CEL,20070522,23.27168,23.39557,22.94767,23.09062,227184,24.23000
CEL,20070523,23.05250,23.20497,22.70943,22.89049,174821,24.02001
CEL,20070524,22.80472,22.99532,22.12811,22.49977,152995,23.61001
CEL,20070525,22.49977,22.84285,22.37589,22.40448,87726,23.51001
CEL,20070529,22.27106,22.88096,22.15670,22.74755,164957,23.87001
CEL,20070530,22.71896,22.82379,22.50930,22.77614,123823,23.90000
CEL,20070531,23.44322,23.72911,22.74755,23.63382,144810,24.80000
CEL,20070601,23.82441,24.82503,23.71005,24.77739,951861,26.00000
CEL,20070604,24.76786,24.77739,24.15795,24.34855,395393,25.55000
CEL,20070605,24.29137,24.48196,24.05312,24.27231,97170,25.47000
CEL,20070606,24.69162,24.69162,23.91971,24.03406,318162,25.22000
CEL,20070607,23.53852,24.01500,23.34792,23.50040,147958,24.66000
CEL,20070608,23.65287,23.76723,23.55758,23.60523,141977,24.77001
CEL,20070611,24.11030,24.39620,23.54805,23.81488,216585,24.99000
CEL,20070612,23.57664,23.63382,23.29074,23.39557,241455,24.55000
CEL,20070613,23.63382,23.63382,23.34792,23.39557,99059,24.55000
CEL,20070614,23.27168,23.52899,22.75708,23.23356,111231,24.38000
CEL,20070615,23.71958,23.71958,23.34792,23.50993,32425,24.67001
CEL,20070618,23.72911,23.92924,23.60523,23.65287,554579,24.82000
CEL,20070619,23.81488,24.09124,23.69099,24.09124,64325,25.28001
CEL,20070620,24.45337,24.56773,24.06265,24.06265,211548,25.25000
CEL,20070621,24.16748,24.62491,24.08171,24.47243,116478,25.68001
CEL,20070622,24.48196,24.60585,24.06265,24.30090,42919,25.50000
