Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CIB,19950727,14.50000,14.62500,14.50000,14.50000,512400,14.50000
CIB,19950728,14.62500,14.62500,14.25000,14.25000,131300,14.25000
CIB,19950731,14.25000,14.37500,14.12500,14.12500,34400,14.12500
CIB,19950801,14.25000,14.25000,13.25000,13.50000,45300,13.50000
CIB,19950802,13.50000,14.00000,13.50000,14.00000,52000,14.00000
CIB,19950803,14.00000,14.00000,13.62500,13.87500,16800,13.87500
CIB,19950804,13.87500,13.87500,13.75000,13.75000,3000,13.75000
CIB,19950807,14.00000,14.00000,14.00000,14.00000,1100,14.00000
CIB,19950808,14.00000,14.00000,13.62500,13.62500,15000,13.62500
CIB,19950809,13.75000,13.75000,13.62500,13.62500,2700,13.62500
CIB,19950810,13.62500,13.62500,13.62500,13.62500,1300,13.62500
CIB,19950811,13.62500,13.62500,13.62500,13.62500,30000,13.62500
CIB,19950814,13.75000,13.75000,13.62500,13.62500,1000,13.62500
CIB,19950815,13.75000,13.87500,13.75000,13.87500,5500,13.87500
CIB,19950816,13.87500,13.87500,12.87500,12.87500,65600,12.87500
CIB,19950817,13.00000,13.00000,12.25000,12.25000,19300,12.25000
CIB,19950818,12.50000,12.75000,12.50000,12.75000,12100,12.75000
CIB,19950821,12.87500,13.00000,12.87500,13.00000,2500,13.00000
CIB,19950822,13.12500,13.50000,13.12500,13.50000,34400,13.50000
CIB,19950823,13.50000,14.00000,13.50000,13.62500,52000,13.62500
CIB,19950824,13.75000,13.75000,13.50000,13.62500,45800,13.62500
CIB,19950825,13.75000,13.87500,13.37500,13.37500,14700,13.37500
CIB,19950828,13.50000,13.50000,13.25000,13.50000,52000,13.50000
CIB,19950829,13.50000,13.75000,13.50000,13.62500,71800,13.62500
CIB,19950830,13.75000,13.75000,13.50000,13.50000,31300,13.50000
CIB,19950831,13.50000,13.75000,13.50000,13.75000,11400,13.75000
CIB,19950901,13.87500,13.87500,13.87500,13.87500,14500,13.87500
CIB,19950905,13.87500,13.87500,13.75000,13.87500,30100,13.87500
CIB,19950906,13.87500,14.00000,13.75000,13.75000,70300,13.75000
CIB,19950907,13.87500,13.87500,13.75000,13.87500,75400,13.87500
CIB,19950908,13.87500,13.87500,13.75000,13.75000,43500,13.75000
CIB,19950911,13.87500,13.87500,13.62500,13.62500,12000,13.62500
CIB,19950912,13.75000,13.75000,13.75000,13.75000,500,13.75000
CIB,19950913,13.75000,13.75000,13.75000,13.75000,1000,13.75000
CIB,19950914,13.75000,13.75000,13.75000,13.75000,5100,13.75000
CIB,19950915,13.62500,13.62500,13.50000,13.50000,2100,13.50000
CIB,19950918,13.50000,13.50000,13.50000,13.50000,2800,13.50000
CIB,19950919,13.62500,13.62500,13.50000,13.62500,80600,13.62500
CIB,19950920,13.62500,13.62500,13.37500,13.37500,11600,13.37500
CIB,19950921,13.37500,13.75000,13.37500,13.75000,39000,13.75000
CIB,19950922,13.75000,13.75000,13.50000,13.50000,9000,13.50000
CIB,19950925,13.62500,13.62500,13.37500,13.62500,23700,13.62500
CIB,19950926,13.75000,13.87500,13.62500,13.62500,63200,13.62500
CIB,19950927,13.75000,13.75000,13.50000,13.50000,70400,13.50000
CIB,19950928,13.62500,13.62500,13.37500,13.37500,6100,13.37500
CIB,19950929,13.25000,13.62500,13.25000,13.62500,8500,13.62500
CIB,19951002,13.62500,13.62500,13.62500,13.62500,500,13.62500
CIB,19951003,13.75000,13.75000,13.25000,13.62500,3100,13.62500
CIB,19951004,13.75000,13.75000,13.37500,13.50000,14100,13.50000
CIB,19951005,13.62500,13.62500,13.25000,13.50000,4900,13.50000
CIB,19951006,13.62500,13.62500,13.00000,13.37500,11500,13.37500
CIB,19951009,13.50000,13.50000,13.37500,13.37500,12500,13.37500
CIB,19951010,13.50000,13.50000,13.00000,13.00000,32100,13.00000
CIB,19951011,13.12500,13.12500,12.87500,13.00000,29200,13.00000
CIB,19951012,13.12500,13.12500,12.87500,12.87500,51000,12.87500
CIB,19951013,13.00000,13.00000,12.75000,12.75000,1000,12.75000
CIB,19951016,12.87500,13.12500,12.87500,13.12500,6200,13.12500
CIB,19951017,13.25000,13.50000,13.25000,13.50000,36800,13.50000
CIB,19951018,13.62500,13.62500,13.25000,13.37500,29500,13.37500
CIB,19951019,13.50000,14.00000,13.50000,13.87500,244600,13.87500
CIB,19951020,14.00000,14.00000,13.62500,13.87500,84800,13.87500
CIB,19951023,13.87500,13.87500,13.75000,13.75000,10500,13.75000
CIB,19951024,13.75000,13.75000,13.75000,13.75000,7300,13.75000
CIB,19951025,13.87500,13.87500,13.87500,13.87500,24700,13.87500
CIB,19951026,13.87500,13.87500,13.75000,13.75000,32000,13.75000
CIB,19951027,13.87500,13.87500,13.75000,13.75000,29400,13.75000
CIB,19951030,13.87500,13.87500,13.87500,13.87500,500,13.87500
CIB,19951031,14.00000,14.00000,13.62500,13.62500,71400,13.62500
CIB,19951101,13.75000,13.87500,13.62500,13.62500,33900,13.62500
CIB,19951102,13.62500,13.62500,13.37500,13.62500,38900,13.62500
CIB,19951103,13.75000,13.75000,13.37500,13.37500,6100,13.37500
CIB,19951106,13.50000,13.75000,13.37500,13.50000,33400,13.50000
CIB,19951107,13.62500,13.62500,13.50000,13.50000,10500,13.50000
CIB,19951108,13.62500,13.62500,13.62500,13.62500,500,13.62500
CIB,19951109,13.62500,13.62500,13.37500,13.37500,900,13.37500
CIB,19951110,13.50000,13.50000,13.00000,13.25000,147000,13.25000
CIB,19951113,13.37500,13.37500,13.37500,13.37500,500,13.37500
CIB,19951114,13.50000,13.50000,13.50000,13.50000,500,13.50000
CIB,19951115,13.50000,13.50000,13.37500,13.50000,22500,13.50000
CIB,19951116,13.50000,13.50000,13.50000,13.50000,25500,13.50000
CIB,19951117,13.50000,13.62500,13.37500,13.62500,25000,13.62500
CIB,19951120,13.50000,13.50000,13.50000,13.50000,10500,13.50000
CIB,19951121,13.50000,13.50000,13.37500,13.37500,5500,13.37500
CIB,19951122,13.50000,13.50000,13.25000,13.25000,11800,13.25000
CIB,19951124,13.37500,13.37500,13.25000,13.25000,6000,13.25000
CIB,19951127,13.37500,13.37500,13.12500,13.12500,8000,13.12500
CIB,19951128,13.12500,13.37500,13.12500,13.25000,61100,13.25000
CIB,19951129,13.12500,13.37500,13.12500,13.37500,33800,13.37500
CIB,19951130,13.37500,13.62500,13.37500,13.62500,12900,13.62500
CIB,19951201,13.87500,13.87500,13.62500,13.87500,36200,13.87500
CIB,19951204,14.00000,14.12500,13.62500,14.12500,61200,14.12500
CIB,19951205,14.00000,14.25000,13.87500,13.87500,63200,13.87500
CIB,19951206,13.87500,13.87500,13.87500,13.87500,10000,13.87500
CIB,19951207,13.87500,14.25000,13.87500,14.00000,38900,14.00000
CIB,19951208,14.00000,14.12500,14.00000,14.00000,14400,14.00000
CIB,19951211,13.87500,13.87500,13.87500,13.87500,48300,13.87500
CIB,19951212,14.00000,14.12500,14.00000,14.12500,19000,14.12500
CIB,19951213,14.12500,14.75000,14.12500,14.75000,81000,14.75000
CIB,19951214,14.62500,14.87500,14.62500,14.87500,106000,14.87500
CIB,19951215,14.75000,14.87500,14.75000,14.87500,22300,14.87500
CIB,19951218,14.75000,14.75000,14.75000,14.75000,500,14.75000
CIB,19951219,14.87500,14.87500,14.87500,14.87500,4200,14.87500
CIB,19951220,14.87500,15.25000,14.87500,15.25000,61800,15.25000
CIB,19951221,15.25000,15.50000,15.12500,15.50000,22400,15.50000
CIB,19951222,15.62500,16.00000,15.62500,16.00000,45800,16.00000
CIB,19951226,16.00000,16.00000,15.87500,15.87500,24800,15.87500
CIB,19951227,15.75000,15.75000,15.62500,15.75000,119100,15.75000
CIB,19951228,16.00000,16.37500,16.00000,16.37500,6500,16.37500
CIB,19951229,16.12500,16.37500,16.12500,16.37500,3800,16.37500
CIB,19960102,16.37500,16.50000,16.37500,16.50000,41500,16.50000
CIB,19960103,16.75000,17.25000,16.75000,17.12500,31900,17.12500
CIB,19960104,17.25000,17.25000,16.75000,17.00000,4700,17.00000
CIB,19960105,16.75000,17.00000,16.75000,16.75000,6200,16.75000
CIB,19960109,16.75000,16.75000,16.62500,16.62500,600,16.62500
CIB,19960110,16.62500,16.62500,16.50000,16.50000,7900,16.50000
CIB,19960111,16.62500,16.75000,16.62500,16.75000,42400,16.75000
CIB,19960112,16.87500,16.87500,16.37500,16.50000,119600,16.50000
CIB,19960115,16.50000,16.50000,16.37500,16.37500,21200,16.37500
CIB,19960116,16.50000,16.75000,16.50000,16.75000,15000,16.75000
CIB,19960117,16.87500,16.87500,16.62500,16.87500,15400,16.87500
CIB,19960118,16.62500,16.62500,16.50000,16.62500,45200,16.62500
CIB,19960119,16.75000,16.87500,16.75000,16.87500,19200,16.87500
CIB,19960122,16.87500,16.87500,16.62500,16.87500,47400,16.87500
CIB,19960123,16.87500,16.87500,15.62500,15.75000,58400,15.75000
