Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CLNY,20090924,19.50000,19.66000,19.25000,19.50000,5160200,19.50000
CLNY,20090925,19.51001,19.55000,19.35001,19.37001,699800,19.37001
CLNY,20090928,19.30000,19.59001,19.30000,19.50000,237500,19.50000
CLNY,20090929,19.50000,19.60001,19.50000,19.50000,601300,19.50000
CLNY,20090930,19.53001,19.60001,19.50000,19.55000,360900,19.55000
CLNY,20091001,19.50000,19.55000,19.50000,19.50000,286400,19.50000
CLNY,20091002,19.42001,19.52001,19.42001,19.50000,190500,19.50000
CLNY,20091005,19.50000,19.59001,19.41000,19.53001,272500,19.53001
CLNY,20091006,19.51001,19.60001,19.40000,19.50000,273900,19.50000
CLNY,20091007,19.42001,19.50000,19.30000,19.48000,250100,19.48000
CLNY,20091008,19.45001,19.49000,19.30000,19.38000,414800,19.38000
CLNY,20091009,19.31000,19.44001,19.31000,19.44001,135700,19.44001
CLNY,20091012,19.41000,19.47000,19.40000,19.45001,51700,19.45001
CLNY,20091013,19.40000,19.55000,19.40000,19.42001,87400,19.42001
CLNY,20091014,19.45001,19.53001,19.40000,19.50000,163900,19.50000
CLNY,20091015,19.50000,19.59001,19.40000,19.55000,152400,19.55000
CLNY,20091016,19.50000,19.68001,19.47000,19.68001,114000,19.68001
CLNY,20091019,19.65000,19.75000,19.65000,19.74000,37300,19.74000
CLNY,20091020,19.75000,19.99000,19.70001,19.99000,86800,19.99000
CLNY,20091021,19.74000,19.97000,19.74000,19.97000,91300,19.97000
CLNY,20091022,19.97000,20.00000,19.85001,19.91000,90900,19.91000
CLNY,20091023,19.83000,19.99000,19.34001,19.85001,190500,19.85001
CLNY,20091026,19.65000,19.83000,19.52001,19.75000,104800,19.75000
CLNY,20091027,19.76001,19.95001,19.57000,19.86001,100900,19.86001
CLNY,20091028,19.72000,19.85001,19.30000,19.35001,168700,19.35001
CLNY,20091029,19.42001,19.55000,19.30000,19.41000,271600,19.41000
CLNY,20091030,19.33000,19.49000,19.33000,19.45001,34200,19.45001
CLNY,20091102,19.50000,19.54001,19.41000,19.50000,80400,19.50000
CLNY,20091103,19.42001,19.54001,19.42001,19.49000,52400,19.49000
CLNY,20091104,19.49000,19.51001,19.16000,19.50000,50900,19.50000
CLNY,20091105,19.39000,19.58000,19.39000,19.46000,44400,19.46000
CLNY,20091106,19.40000,19.47000,19.31000,19.37001,42000,19.37001
CLNY,20091109,19.42001,19.45001,19.33000,19.37001,9100,19.37001
CLNY,20091110,19.35001,19.45001,19.35001,19.40000,19700,19.40000
CLNY,20091111,19.50000,19.50000,19.31000,19.43001,40500,19.43001
CLNY,20091112,19.39000,19.45001,19.35001,19.41000,18500,19.41000
CLNY,20091113,19.42001,19.42001,19.35001,19.36001,38400,19.36001
CLNY,20091116,19.35001,19.60001,19.35001,19.37001,47400,19.37001
CLNY,20091117,19.35001,19.40000,19.30000,19.30000,59500,19.30000
CLNY,20091118,19.30000,19.40000,19.30000,19.31000,65000,19.31000
CLNY,20091119,19.18001,19.28001,18.52001,19.00000,482900,19.00000
CLNY,20091120,19.00000,19.04001,18.88000,18.97000,138600,18.97000
CLNY,20091123,18.88000,19.01001,18.75000,18.81000,89800,18.81000
CLNY,20091124,18.75000,18.90000,18.48000,18.67001,116200,18.67001
CLNY,20091125,18.69001,18.87001,18.69001,18.79001,81100,18.79001
CLNY,20091127,18.44001,18.91000,18.44001,18.81000,66100,18.81000
CLNY,20091130,18.75000,18.83000,18.75000,18.83000,108100,18.83000
CLNY,20091201,18.85001,19.09001,18.60001,19.00000,104100,19.00000
CLNY,20091202,18.91000,19.21000,18.86001,19.05000,196900,19.05000
CLNY,20091203,19.00000,19.47000,19.00000,19.33000,72100,19.33000
CLNY,20091204,19.32000,19.45001,19.16000,19.36001,81900,19.36001
CLNY,20091207,19.28001,19.47000,18.99000,19.31000,28400,19.31000
CLNY,20091208,19.17001,19.50000,19.17001,19.49000,108800,19.49000
CLNY,20091209,19.48000,19.71000,19.40000,19.53001,121900,19.53001
CLNY,20091210,19.47000,19.75000,19.36001,19.72000,47600,19.72000
CLNY,20091211,19.71000,19.95001,19.61001,19.87001,105900,19.87001
CLNY,20091214,19.80000,20.35001,19.75000,20.28001,220700,20.28001
CLNY,20091215,20.22000,20.99000,20.00000,20.75000,378400,20.75000
CLNY,20091216,20.47000,20.74000,20.13000,20.31000,158000,20.31000
