Ticker,Date,Open,High,Low,Close,Volume,Open Interest
ACI,19880811,5.50000,5.50000,5.37500,5.37500,1013000,10.75000
ACI,19880812,5.37500,5.43750,5.37500,5.43750,194000,10.87500
ACI,19880815,5.43750,5.68750,5.43750,5.50000,320800,11.00000
ACI,19880816,5.50000,5.50000,5.37500,5.43750,71400,10.87500
ACI,19880817,5.43750,5.43750,5.37500,5.43750,61400,10.87500
ACI,19880818,5.43750,5.43750,5.37500,5.43750,50400,10.87500
ACI,19880819,5.43750,5.56250,5.37500,5.56250,144800,11.12500
ACI,19880822,5.56250,5.56250,5.43750,5.43750,55800,10.87500
ACI,19880823,5.43750,5.50000,5.37500,5.43750,36800,10.87500
ACI,19880824,5.43750,5.50000,5.37500,5.37500,21800,10.75000
ACI,19880825,5.37500,5.50000,5.37500,5.50000,44800,11.00000
ACI,19880826,5.50000,5.50000,5.43750,5.43750,34000,10.87500
ACI,19880829,5.43750,5.50000,5.43750,5.50000,24600,11.00000
ACI,19880830,5.50000,5.50000,5.43750,5.43750,16200,10.87500
ACI,19880831,5.43750,5.43750,5.31250,5.31250,17200,10.62500
ACI,19880901,5.37500,5.43750,5.37500,5.43750,19000,10.87500
ACI,19880902,5.43750,5.43750,5.37500,5.37500,27400,10.75000
ACI,19880906,5.37500,5.43750,5.37500,5.37500,29000,10.75000
ACI,19880907,5.37500,5.50000,5.25000,5.25000,32000,10.50000
ACI,19880908,5.25000,5.37500,5.25000,5.25000,7600,10.50000
ACI,19880909,5.25000,5.25000,5.25000,5.25000,15000,10.50000
ACI,19880912,5.25000,5.31250,5.25000,5.31250,6400,10.62500
ACI,19880913,5.37500,5.43750,5.37500,5.43750,85400,10.87500
ACI,19880914,5.43750,5.43750,5.25000,5.31250,10400,10.62500
ACI,19880915,5.31250,5.31250,5.25000,5.25000,8600,10.50000
ACI,19880916,5.25000,5.31250,5.18750,5.18750,34400,10.37500
ACI,19880919,5.18750,5.25000,5.18750,5.25000,21400,10.50000
ACI,19880920,5.25000,5.25000,5.18750,5.25000,28200,10.50000
ACI,19880921,5.25000,5.43750,5.12500,5.43750,195400,10.87500
ACI,19880922,5.37500,5.37500,5.25000,5.37500,51800,10.75000
ACI,19880923,5.37500,5.37500,5.31250,5.31250,43600,10.62500
