Ticker,Date,Open,High,Low,Close,Volume,Open Interest
AED,20051123,25.00000,25.00000,25.00000,25.00000,31300,25.00000
AED,20051128,24.55000,25.00000,24.38000,24.55000,54000,24.55000
AED,20051129,24.42001,24.55000,24.25000,24.42001,932300,24.42001
AED,20051130,25.10001,25.50000,23.54001,25.10001,1872200,25.10001
AED,20051201,24.57000,25.63000,24.50000,24.57000,1538300,24.57000
AED,20051202,24.65000,24.95001,24.35001,24.65000,449100,24.65000
AED,20051205,24.60001,25.00000,24.50000,24.60001,473300,24.60001
AED,20051206,24.70001,25.25000,23.65000,24.70001,945100,24.70001
AED,20051207,25.10001,25.10001,24.50000,25.10001,262100,25.10001
AED,20051208,25.10001,25.10001,24.40000,25.10001,429000,25.10001
AED,20051209,24.68001,25.25000,24.60001,24.68001,54500,24.68001
AED,20051212,24.63000,25.00000,24.55000,24.63000,120200,24.63000
AED,20051213,24.85001,25.00000,24.60001,24.85001,131700,24.85001
AED,20051214,24.82000,24.90000,24.60001,24.82000,412100,24.82000
AED,20051215,24.95001,25.00000,24.65000,24.95001,109600,24.95001
AED,20051216,24.95001,25.00000,24.60001,24.95001,305400,24.95001
AED,20051219,24.85001,25.00000,24.70001,24.85001,42400,24.85001
AED,20051220,24.95001,25.00000,24.70001,24.95001,254800,24.95001
AED,20051221,25.00000,25.95001,23.33000,25.00000,71300,25.00000
AED,20051222,24.95001,24.95001,24.80000,24.94001,415300,24.94001
AED,20051223,24.86001,24.95001,24.75000,24.90000,114500,24.90000
AED,20051227,24.85001,24.94001,24.82000,24.87001,41200,24.87001
AED,20051228,24.87001,24.90000,24.80000,24.84001,98600,24.84001
AED,20051229,24.80000,24.85001,24.70001,24.81000,224900,24.81000
AED,20051230,24.83000,24.89000,24.73000,24.88000,487400,24.88000
AED,20060103,24.85001,24.89000,24.73000,24.86001,102100,24.86001
AED,20060104,24.91000,25.00000,24.80000,24.84001,125300,24.84001
AED,20060105,24.89000,24.91000,24.81000,24.88000,82600,24.88000
AED,20060106,24.84001,24.94001,24.84001,24.85001,145200,24.85001
AED,20060109,24.91000,24.92001,24.84001,24.90000,133800,24.90000
AED,20060110,24.90000,24.95001,24.82000,24.87001,175500,24.87001
AED,20060111,24.83000,24.97000,24.83000,24.85001,721600,24.85001
AED,20060112,24.90000,24.98000,24.80000,24.95001,479600,24.95001
AED,20060113,24.97000,25.02001,24.94001,24.98000,509300,24.98000
AED,20060117,25.01001,25.02001,24.85001,24.85001,86400,24.85001
AED,20060118,24.85001,24.90000,24.83000,24.87001,61000,24.87001
AED,20060119,24.91000,24.99000,24.85001,24.96000,66100,24.96000
AED,20060120,24.99000,25.10001,24.96000,25.08000,316300,25.08000
AED,20060123,25.05000,25.08000,24.95001,25.05000,451300,25.05000
AED,20060124,25.05000,25.09001,25.00000,25.07000,62800,25.07000
AED,20060125,25.07000,25.09001,25.01001,25.01001,76500,25.01001
AED,20060126,25.04001,25.10001,25.00000,25.09001,173200,25.09001
AED,20060127,25.10001,25.16000,25.05000,25.15000,44000,25.15000
AED,20060130,25.15000,26.12001,25.07000,25.12001,108900,25.12001
AED,20060131,25.15000,25.35001,25.09001,25.35001,101300,25.35001
AED,20060201,25.35001,25.35001,25.09001,25.23000,224800,25.23000
AED,20060202,25.33000,25.36001,25.09001,25.20001,92800,25.20001
AED,20060203,25.20001,25.39000,25.15000,25.39000,94700,25.39000
AED,20060206,25.39000,25.42001,25.31000,25.40000,306800,25.40000
AED,20060207,25.42001,25.43001,25.33000,25.38000,102600,25.38000
AED,20060208,25.36001,25.45001,25.32000,25.37001,86500,25.37001
AED,20060209,25.37001,25.43001,25.30000,25.42001,226100,25.42001
AED,20060210,25.42001,25.46000,25.38000,25.44001,153900,25.44001
AED,20060213,25.38000,25.46000,25.35001,25.37001,140600,25.37001
AED,20060214,25.34001,25.44001,25.34001,25.39000,96500,25.39000
AED,20060215,25.36001,25.54001,25.36001,25.49000,635300,25.49000
AED,20060216,25.52001,25.58000,25.50000,25.55000,340300,25.55000
AED,20060217,25.55000,25.55000,25.50000,25.50000,64500,25.50000
AED,20060221,25.47000,25.54001,25.47000,25.52001,61500,25.52001
AED,20060222,25.49000,25.65000,25.49000,25.58000,125900,25.58000
AED,20060223,25.59001,25.65000,25.50000,25.59001,90900,25.59001
AED,20060224,25.59001,25.70001,25.55000,25.70001,87500,25.70001
AED,20060227,25.13000,25.24000,25.13000,25.22000,103800,25.22000
AED,20060228,25.18001,25.34001,25.18001,25.25000,296000,25.25000
AED,20060301,25.29001,25.30000,25.21000,25.25000,361200,25.25000
AED,20060302,25.30000,25.30000,25.16000,25.21000,201700,25.21000
AED,20060303,25.20001,25.25000,25.11001,25.23000,146900,25.23000
AED,20060306,25.23000,25.23000,25.02001,25.11001,392700,25.11001
AED,20060307,25.11001,25.50000,25.00000,25.23000,214900,25.23000
AED,20060308,25.15000,25.18001,25.07000,25.12001,211600,25.12001
AED,20060309,25.06000,25.25000,25.05000,25.14000,213100,25.14000
AED,20060310,25.08000,25.13000,25.01001,25.11001,133000,25.11001
AED,20060313,25.09001,25.09001,25.03001,25.05000,47300,25.05000
AED,20060314,25.05000,25.09001,25.02001,25.05000,45700,25.05000
AED,20060315,25.08000,25.08000,25.00000,25.05000,110400,25.05000
AED,20060316,25.03001,25.18001,25.00000,25.12001,300900,25.12001
AED,20060317,25.18001,25.20001,25.12001,25.12001,68700,25.12001
AED,20060320,25.12001,25.17001,25.10001,25.14000,44600,25.14000
AED,20060321,25.14000,25.14000,25.05000,25.05000,57200,25.05000
AED,20060322,25.13000,25.14000,25.05000,25.12001,132600,25.12001
AED,20060323,25.14000,25.14000,25.06000,25.11001,60800,25.11001
AED,20060324,25.06000,25.11001,25.05000,25.08000,77700,25.08000
AED,20060327,25.11001,25.13000,25.03001,25.07000,71900,25.07000
AED,20060328,25.05000,25.08000,24.99000,25.06000,77500,25.06000
AED,20060329,25.02001,25.06000,24.95001,24.97000,64200,24.97000
AED,20060330,24.97000,24.98000,24.83000,24.95001,74800,24.95001
AED,20060331,24.95001,25.05000,24.90000,25.05000,60400,25.05000
AED,20060403,24.97000,25.00000,24.85001,24.92001,37700,24.92001
AED,20060404,24.95001,24.95001,24.83000,24.83000,38900,24.83000
AED,20060405,24.85001,24.90000,24.76001,24.83000,26400,24.83000
AED,20060406,24.83000,24.83000,24.66000,24.72000,135900,24.72000
AED,20060407,24.75000,24.75000,24.48000,24.62001,60800,24.62001
AED,20060410,24.55000,24.70001,24.41000,24.41000,64700,24.41000
AED,20060411,24.45001,24.59001,24.45001,24.56000,31300,24.56000
AED,20060412,24.58000,24.69001,24.50000,24.55000,34100,24.55000
AED,20060413,24.55000,24.55000,24.27001,24.37001,25500,24.37001
AED,20060417,24.36001,24.42001,24.16000,24.35001,64000,24.35001
AED,20060418,24.30000,24.36001,24.11001,24.14000,84600,24.14000
AED,20060419,24.14000,24.18001,24.06000,24.11001,67100,24.11001
AED,20060420,24.14000,24.14000,24.00000,24.05000,46900,24.05000
AED,20060421,24.10001,24.25000,24.10001,24.18001,19600,24.18001
AED,20060424,24.08000,24.30000,24.07000,24.21000,314900,24.21000
AED,20060425,24.30000,24.30000,24.00000,24.05000,53200,24.05000
AED,20060426,23.95001,24.15000,23.93001,24.10001,58800,24.10001
AED,20060427,24.14000,24.18001,24.09001,24.17001,24800,24.17001
AED,20060428,24.10001,24.20001,24.01001,24.16000,23700,24.16000
AED,20060501,24.14000,24.20001,24.00000,24.00000,43000,24.00000
AED,20060502,24.08000,24.15000,24.01001,24.09001,35700,24.09001
AED,20060503,24.01001,24.15000,23.97000,24.14000,27700,24.14000
AED,20060504,24.05000,24.15000,24.01001,24.05000,76200,24.05000
AED,20060505,24.03001,24.25000,24.03001,24.20001,53700,24.20001
AED,20060508,24.14000,24.24000,24.07000,24.20001,38700,24.20001
AED,20060509,24.18001,24.34001,24.18001,24.30000,96600,24.30000
AED,20060510,24.20001,24.42001,24.20001,24.35001,52000,24.35001
AED,20060511,24.37001,24.37001,24.25000,24.30000,63400,24.30000
AED,20060512,24.30000,24.30000,24.06000,24.10001,32700,24.10001
AED,20060515,24.16000,24.17001,23.95001,24.12001,34000,24.12001
AED,20060516,24.19001,24.19001,23.80000,23.98000,325500,23.98000
AED,20060517,23.82000,23.99000,23.75000,23.75000,65000,23.75000
AED,20060518,24.00000,24.00000,23.75000,23.92001,42100,23.92001
AED,20060519,23.92001,24.05000,23.86001,24.05000,76600,24.05000
AED,20060522,24.10001,24.14000,23.86001,23.95001,86700,23.95001
AED,20060523,23.99000,24.25000,23.87001,24.09001,63800,24.09001
AED,20060524,24.20001,24.20001,23.95001,24.10001,67500,24.10001
AED,20060525,24.02001,24.17001,24.02001,24.13000,18200,24.13000
AED,20060526,24.00000,24.18001,24.00000,24.10001,30000,24.10001
AED,20060530,23.62001,23.99000,23.62001,23.87001,50300,23.87001
AED,20060531,23.87001,24.10001,23.87001,24.07000,67400,24.07000
AED,20060601,24.08000,24.10001,23.88000,23.99000,56100,23.99000
AED,20060602,24.06000,24.32000,24.06000,24.25000,103300,24.25000
AED,20060605,24.35001,24.55000,24.16000,24.20001,45700,24.20001
AED,20060606,24.25000,24.32000,24.14000,24.20001,82000,24.20001
AED,20060607,24.30000,24.35001,24.15000,24.25000,56500,24.25000
AED,20060608,24.25000,24.32000,24.20001,24.26001,29800,24.26001
AED,20060609,24.24000,24.32000,24.22000,24.30000,55200,24.30000
AED,20060612,24.34001,24.39000,24.21000,24.25000,34900,24.25000
AED,20060613,24.23000,24.50000,24.23000,24.34001,35500,24.34001
AED,20060614,24.37001,24.37001,24.23000,24.29001,17800,24.29001
AED,20060615,24.20001,24.24000,24.10001,24.11001,32700,24.11001
AED,20060616,24.30000,24.40000,24.06000,24.23000,118700,24.23000
AED,20060619,24.15000,24.15000,23.74000,23.76001,48300,23.76001
AED,20060620,23.80000,23.80000,23.50000,23.64000,48800,23.64000
AED,20060621,23.70001,23.75000,23.50000,23.74000,26100,23.74000
AED,20060622,23.77001,23.77001,23.51001,23.62001,22500,23.62001
AED,20060623,23.60001,23.65000,23.50000,23.50000,17700,23.50000
AED,20060626,23.51001,23.63000,23.42001,23.42001,45300,23.42001
