Ticker,Date,Open,High,Low,Close,Volume,Open Interest
BDN+D,20040212,25.00000,25.00000,25.00000,25.00000,14000,25.00000
BDN+D,20040219,25.00000,25.00000,25.00000,25.00000,4500,25.00000
BDN+D,20040227,25.20001,25.20001,25.10001,25.15000,16100,25.15000
BDN+D,20040301,25.19001,25.26001,25.15000,25.15000,10900,25.15000
BDN+D,20040302,25.15000,25.20001,25.06000,25.20001,8900,25.20001
BDN+D,20040303,25.24000,25.35001,25.24000,25.35001,2700,25.35001
BDN+D,20040304,25.24000,25.45001,25.24000,25.45001,8900,25.45001
BDN+D,20040305,25.45001,25.55000,25.42001,25.55000,9600,25.55000
BDN+D,20040308,25.60001,25.80000,25.50000,25.70001,18000,25.70001
BDN+D,20040309,25.60001,25.70001,25.60001,25.70001,10700,25.70001
BDN+D,20040310,25.75000,25.78001,25.75000,25.75000,3700,25.75000
BDN+D,20040311,25.80000,26.10001,25.80000,25.87001,26000,25.87001
BDN+D,20040312,25.90000,26.05000,25.90000,26.05000,7600,26.05000
BDN+D,20040315,25.95001,26.00000,25.80000,25.95001,50400,25.95001
BDN+D,20040316,26.14000,26.14000,26.00000,26.00000,5000,26.00000
BDN+D,20040317,26.00000,26.05000,25.75000,25.95001,4700,25.95001
BDN+D,20040318,25.90000,25.90000,25.75000,25.75000,2400,25.75000
BDN+D,20040319,25.90000,25.90000,25.90000,25.90000,4100,25.90000
BDN+D,20040322,25.80000,25.80000,25.80000,25.80000,800,25.80000
BDN+D,20040323,25.90000,25.90000,25.90000,25.90000,800,25.90000
BDN+D,20040326,25.90000,25.98000,25.90000,25.92001,12900,25.92001
BDN+D,20040329,25.76001,25.76001,25.55000,25.72000,3300,25.72000
BDN+D,20040330,25.75000,26.00000,25.75000,26.00000,102300,26.00000
BDN+D,20040331,25.90000,25.90000,25.81000,25.90000,1900,25.90000
BDN+D,20040401,25.85001,26.00000,25.85001,26.00000,1600,26.00000
BDN+D,20040402,25.75000,25.75000,25.30000,25.40000,2300,25.40000
BDN+D,20040405,25.35001,25.35001,24.92001,24.92001,13600,24.92001
BDN+D,20040406,24.80000,24.85001,24.55000,24.80000,7700,24.80000
BDN+D,20040407,24.85001,25.00000,24.82000,24.95001,6800,24.95001
BDN+D,20040408,25.20001,25.20001,25.00000,25.12001,3400,25.12001
BDN+D,20040412,25.00000,25.00000,24.85001,24.95001,12300,24.95001
BDN+D,20040413,24.80000,24.80000,24.75000,24.75000,3200,24.75000
BDN+D,20040414,24.71000,24.75000,24.51001,24.51001,6600,24.51001
BDN+D,20040415,24.51001,24.51001,24.50000,24.50000,3000,24.50000
BDN+D,20040416,24.50000,24.60001,24.40000,24.45001,2600,24.45001
BDN+D,20040419,24.45001,24.60001,24.45001,24.60001,3700,24.60001
BDN+D,20040420,24.70001,24.75000,24.60001,24.75000,45700,24.75000
BDN+D,20040421,24.70001,24.75000,24.70001,24.70001,6100,24.70001
BDN+D,20040423,24.60001,24.60001,24.00000,24.15000,7100,24.15000
BDN+D,20040426,24.25000,24.35001,24.15000,24.25000,2500,24.25000
BDN+D,20040427,24.30000,24.60001,24.30000,24.36001,32800,24.36001
BDN+D,20040428,24.16000,24.25000,24.00000,24.25000,1400,24.25000
BDN+D,20040429,24.30000,24.40000,24.30000,24.40000,2300,24.40000
BDN+D,20040430,24.35001,24.35001,24.15000,24.30000,1900,24.30000
BDN+D,20040503,24.15000,24.40000,24.05000,24.35001,3100,24.35001
BDN+D,20040504,24.25000,24.50000,24.10001,24.50000,12200,24.50000
BDN+D,20040505,24.00000,24.25000,23.85001,23.85001,5000,23.85001
BDN+D,20040506,23.65000,23.65000,23.50000,23.55000,1500,23.55000
BDN+D,20040507,23.40000,23.40000,23.15000,23.15000,13400,23.15000
BDN+D,20040510,23.10001,23.12001,22.85001,22.85001,8200,22.85001
BDN+D,20040511,23.00000,23.10001,23.00000,23.01001,1400,23.01001
BDN+D,20040512,23.10001,23.20001,23.10001,23.20001,4100,23.20001
BDN+D,20040513,23.11001,23.20001,23.00000,23.00000,4200,23.00000
BDN+D,20040514,23.00000,23.00000,23.00000,23.00000,200,23.00000
BDN+D,20040517,22.90000,23.25000,22.90000,23.25000,800,23.25000
BDN+D,20040518,23.50000,23.65000,23.50000,23.65000,1600,23.65000
BDN+D,20040519,23.65000,23.75000,23.38000,23.50000,2600,23.50000
BDN+D,20040520,23.50000,23.50000,23.50000,23.50000,1000,23.50000
BDN+D,20040521,23.50000,23.65000,23.50000,23.65000,700,23.65000
BDN+D,20040524,23.80000,24.25000,23.80000,24.25000,1200,24.25000
BDN+D,20040525,24.20001,24.20001,24.00000,24.00000,3300,24.00000
BDN+D,20040526,24.15000,24.15000,24.15000,24.15000,200,24.15000
BDN+D,20040527,24.10001,24.10001,24.10001,24.10001,1800,24.10001
BDN+D,20040528,24.10001,24.10001,24.10001,24.10001,1400,24.10001
BDN+D,20040601,24.10001,24.10001,24.10001,24.10001,2000,24.10001
BDN+D,20040602,24.25000,24.25000,24.25000,24.25000,500,24.25000
BDN+D,20040603,24.25000,24.25000,24.25000,24.25000,1700,24.25000
BDN+D,20040604,24.40000,24.40000,24.40000,24.40000,1200,24.40000
BDN+D,20040607,24.40000,24.40000,24.40000,24.40000,1000,24.40000
BDN+D,20040608,24.25000,24.25000,24.15000,24.25000,700,24.25000
BDN+D,20040609,24.40000,24.40000,24.25000,24.25000,3000,24.25000
