Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CYH,20000609,13.37500,14.06250,13.06250,13.68750,6502200,13.68750
CYH,20000612,13.56250,14.62500,13.50000,14.43750,995600,14.43750
CYH,20000613,14.50000,14.56250,13.75000,14.18750,491500,14.18750
CYH,20000614,13.87500,14.12500,13.81250,14.00000,500300,14.00000
CYH,20000615,13.87500,14.31250,13.87500,14.06250,428000,14.06250
CYH,20000616,14.00000,14.18750,14.00000,14.06250,128600,14.06250
CYH,20000619,14.31250,15.18750,14.25000,15.06250,870400,15.06250
CYH,20000620,15.06250,15.62500,15.00000,15.56250,560800,15.56250
CYH,20000621,15.43750,15.93750,15.00000,15.25000,311200,15.25000
CYH,20000622,15.75000,15.87500,15.25000,15.37500,238000,15.37500
CYH,20000623,15.25000,15.25000,14.56250,14.87500,150500,14.87500
CYH,20000626,14.81250,15.75000,14.56250,15.56250,280900,15.56250
CYH,20000627,15.31250,16.31250,15.31250,15.87500,388700,15.87500
CYH,20000628,15.87500,16.25000,15.68750,15.87500,340100,15.87500
CYH,20000629,15.75000,15.75000,15.37500,15.50000,264000,15.50000
CYH,20000630,15.50000,16.18750,15.12500,16.18750,229400,16.18750
CYH,20000703,16.00000,16.00000,15.75000,15.81250,39500,15.81250
CYH,20000705,15.62500,17.00000,15.62500,16.18750,492500,16.18750
CYH,20000706,16.18750,16.43750,15.87500,16.12500,69800,16.12500
CYH,20000707,16.12500,16.50000,16.00000,16.37500,236500,16.37500
CYH,20000710,16.18750,17.18750,16.00000,16.81250,432100,16.81250
CYH,20000711,16.87500,17.00000,16.37500,17.00000,189300,17.00000
CYH,20000712,17.37500,19.50000,17.06250,17.75000,812500,17.75000
CYH,20000713,17.87500,18.93750,17.56250,18.62500,75400,18.62500
CYH,20000714,18.62500,18.62500,18.00000,18.00000,106100,18.00000
CYH,20000717,18.00000,18.31250,17.81250,18.18750,55800,18.18750
CYH,20000718,18.12500,18.37500,15.87500,18.25000,230500,18.25000
CYH,20000719,18.00000,18.00000,17.00000,17.25000,47100,17.25000
CYH,20000720,17.25000,17.37500,16.87500,16.87500,63100,16.87500
CYH,20000721,17.12500,17.75000,17.12500,17.50000,115900,17.50000
CYH,20000724,17.50000,17.68750,17.50000,17.68750,51600,17.68750
CYH,20000725,18.00000,18.00000,17.56250,17.56250,40600,17.56250
CYH,20000726,17.56250,18.75000,17.12500,18.50000,164600,18.50000
CYH,20000727,18.25000,18.25000,17.50000,17.75000,111100,17.75000
CYH,20000728,18.00000,18.00000,17.37500,17.37500,57700,17.37500
CYH,20000731,17.37500,17.37500,16.75000,17.25000,50500,17.25000
CYH,20000801,17.25000,18.50000,17.25000,18.12500,230900,18.12500
CYH,20000802,18.12500,18.37500,18.06250,18.18750,122900,18.18750
CYH,20000803,18.00000,18.87500,18.00000,18.81250,246200,18.81250
CYH,20000804,18.81250,19.12500,18.68750,19.00000,40600,19.00000
CYH,20000807,19.00000,19.81250,19.00000,19.50000,110400,19.50000
CYH,20000808,19.50000,20.25000,19.50000,20.06250,25600,20.06250
CYH,20000809,20.25000,21.12500,20.00000,20.81250,121400,20.81250
CYH,20000810,20.62500,21.75000,20.00000,20.25000,332900,20.25000
CYH,20000811,20.12500,20.50000,19.62500,20.12500,126600,20.12500
CYH,20000814,20.00000,20.75000,20.00000,20.37500,130100,20.37500
CYH,20000815,20.50000,20.62500,20.12500,20.31250,85900,20.31250
CYH,20000816,20.12500,20.12500,19.18750,19.18750,61000,19.18750
CYH,20000817,19.00000,19.50000,18.75000,19.37500,37300,19.37500
CYH,20000818,19.37500,19.37500,18.56250,18.62500,360900,18.62500
CYH,20000821,18.00000,18.00000,16.50000,17.00000,209400,17.00000
CYH,20000822,17.00000,20.50000,16.62500,20.25000,391200,20.25000
CYH,20000823,20.25000,20.50000,19.75000,20.25000,95300,20.25000
CYH,20000824,20.12500,20.12500,19.37500,19.37500,126200,19.37500
CYH,20000825,19.12500,20.25000,19.12500,20.12500,139800,20.12500
CYH,20000828,20.12500,20.12500,18.62500,19.43750,176300,19.43750
CYH,20000829,19.43750,20.25000,19.12500,20.25000,156400,20.25000
CYH,20000830,20.50000,21.25000,20.50000,21.06250,59100,21.06250
CYH,20000831,22.00000,25.25000,21.87500,23.75000,404000,23.75000
CYH,20000901,23.75000,23.75000,23.00000,23.31250,35900,23.31250
CYH,20000905,23.37500,23.87500,22.75000,23.62500,290100,23.62500
CYH,20000906,23.62500,24.50000,23.62500,24.18750,153600,24.18750
CYH,20000907,24.18750,24.25000,23.00000,23.00000,83500,23.00000
CYH,20000908,23.25000,23.68750,23.12500,23.50000,121800,23.50000
CYH,20000911,23.37500,24.50000,23.37500,23.75000,149300,23.75000
CYH,20000912,23.75000,28.25000,23.75000,27.62500,156100,27.62500
CYH,20000913,27.37500,27.37500,25.62500,26.00000,212500,26.00000
CYH,20000914,26.25000,27.93750,26.25000,26.81250,66900,26.81250
CYH,20000915,26.87500,26.87500,25.81250,26.25000,247900,26.25000
CYH,20000918,26.12500,26.62500,25.37500,25.75000,64100,25.75000
CYH,20000919,25.75000,26.93750,25.75000,26.62500,362400,26.62500
