Ticker,Date,Open,High,Low,Close,Volume,Open Interest
ANVS,20070319,0.00010,0.00010,0.00010,0.00010,20300,0.00010
ANVS,20080310,0.05001,0.05001,0.05001,0.05001,200,0.05001
ANVS,20080417,0.00010,0.00010,0.00010,0.00010,10000,0.00010
ANVS,20100125,0.15001,1.01000,0.15001,1.01000,5440,1.01000
ANVS,20100126,0.55001,0.55001,0.55001,0.55001,454,0.55001
ANVS,20100201,1.01000,1.01000,1.01000,1.01000,600,1.01000
ANVS,20100208,0.75000,0.75000,0.75000,0.75000,760,0.75000
ANVS,20100212,0.55001,0.55001,0.55001,0.55001,524,0.55001
ANVS,20100216,0.55001,0.55001,0.55001,0.55001,2500,0.55001
ANVS,20100226,0.75000,0.75000,0.75000,0.75000,100,0.75000
ANVS,20100309,0.55001,0.55001,0.55001,0.55001,300,0.55001
ANVS,20100312,0.55001,0.55001,0.55001,0.55001,4702,0.55001
ANVS,20100317,0.71000,0.71000,0.71000,0.71000,500,0.71000
ANVS,20100331,0.35000,0.35000,0.35000,0.35000,5000,0.35000
ANVS,20100408,0.75000,0.75000,0.75000,0.75000,500,0.75000
ANVS,20100420,0.35000,0.35000,0.35000,0.35000,11100,0.35000
ANVS,20100423,0.51000,0.51000,0.51000,0.51000,500,0.51000
ANVS,20100430,0.40001,0.40001,0.40001,0.40001,5200,0.40001
ANVS,20100503,0.45000,0.45000,0.45000,0.45000,5000,0.45000
ANVS,20100504,0.45000,0.45000,0.45000,0.45000,5000,0.45000
ANVS,20100505,0.40001,0.40001,0.40001,0.40001,5300,0.40001
ANVS,20100506,0.42000,0.51000,0.42000,0.51000,7500,0.51000
ANVS,20100507,0.53000,1.05000,0.53000,1.05000,2700,1.05000
ANVS,20100604,0.60001,0.79001,0.60001,0.79001,20400,0.79001
ANVS,20100609,0.60001,0.60001,0.60001,0.60001,2000,0.60001
ANVS,20100611,0.70000,0.70000,0.70000,0.70000,2600,0.70000
ANVS,20100614,0.60001,0.60001,0.60001,0.60001,200,0.60001
ANVS,20100623,0.70000,0.70000,0.70000,0.70000,2600,0.70000
ANVS,20100628,0.75000,0.75000,0.75000,0.75000,2600,0.75000
ANVS,20100629,0.75000,0.75000,0.75000,0.75000,2600,0.75000
ANVS,20100719,0.60001,0.60001,0.60001,0.60001,2000,0.60001
ANVS,20100806,0.52000,0.52000,0.52000,0.52000,2100,0.52000
ANVS,20100809,0.50000,0.50000,0.50000,0.50000,300,0.50000
ANVS,20100819,0.45000,0.45000,0.45000,0.45000,5000,0.45000
ANVS,20100824,0.40001,0.40001,0.40001,0.40001,5000,0.40001
ANVS,20100902,0.35000,0.35000,0.35000,0.35000,5000,0.35000
ANVS,20100913,0.20001,0.20001,0.20001,0.20001,800,0.20001
ANVS,20100914,0.35000,0.35000,0.35000,0.35000,200,0.35000
ANVS,20100924,0.25000,0.25000,0.25000,0.25000,7500,0.25000
ANVS,20101015,0.20001,0.20001,0.20001,0.20001,5000,0.20001
ANVS,20101222,0.35000,0.35000,0.35000,0.35000,5000,0.35000
ANVS,20101223,0.45000,0.45000,0.45000,0.45000,5000,0.45000
ANVS,20101227,0.45000,0.45000,0.25000,0.25000,200,0.25000
ANVS,20101231,0.45000,0.45000,0.45000,0.45000,19600,0.45000
ANVS,20110124,0.20001,0.20001,0.20001,0.20001,1000,0.20001
ANVS,20110228,0.20001,0.20001,0.20001,0.20001,200,0.20001
