Ticker,Date,Open,High,Low,Close,Volume,Open Interest
APRDP,19940414,60.89844,60.89844,60.89844,60.89844,300,60.89844
APRDP,19940415,61.54688,61.54688,61.54688,61.54688,300,61.54688
APRDP,19940510,58.62500,58.62500,58.62500,58.62500,100,58.62500
APRDP,19940527,60.75000,60.75000,60.75000,60.75000,100,60.75000
APRDP,19940705,59.00000,59.00000,59.00000,59.00000,100,59.00000
APRDP,19940711,59.25000,59.25000,59.25000,59.25000,100,59.25000
APRDP,19940714,59.00000,59.00000,59.00000,59.00000,100,59.00000
APRDP,19940718,59.97266,59.97266,59.97266,59.97266,100,59.97266
APRDP,19941101,54.00000,55.25000,54.00000,55.25000,200,55.25000
APRDP,19941123,54.42500,54.42500,54.42500,54.42500,100,54.42500
APRDP,19950131,57.40001,57.40001,57.40001,57.40001,100,57.40001
APRDP,19950508,62.50000,62.50000,62.50000,62.50000,300,62.50000
APRDP,19950509,63.57500,63.57500,63.57500,63.57500,300,63.57500
APRDP,19950510,62.95001,62.95001,62.95001,62.95001,100,62.95001
APRDP,19950511,63.97500,63.97500,63.97500,63.97500,200,63.97500
APRDP,19950512,63.97500,63.97500,63.97500,63.97500,100,63.97500
APRDP,19950516,64.42500,64.42500,64.42500,64.42500,200,64.42500
APRDP,19950517,64.42500,64.42500,64.42500,64.42500,400,64.42500
APRDP,19950606,66.62500,66.62500,66.62500,66.62500,100,66.62500
APRDP,19950705,66.00000,66.00000,66.00000,66.00000,100,66.00000
APRDP,19950712,66.00000,66.00000,66.00000,66.00000,100,66.00000
APRDP,19950718,65.72500,65.72500,65.72500,65.72500,100,65.72500
APRDP,19950719,63.97500,63.97500,63.97500,63.97500,100,63.97500
APRDP,19950821,61.37500,61.37500,61.37500,61.37500,200,61.37500
APRDP,19950823,63.75000,63.75000,63.75000,63.75000,200,63.75000
APRDP,19950824,64.85000,65.30001,63.00000,63.50000,600,63.50000
APRDP,19950825,65.75000,65.75000,65.75000,65.75000,200,65.75000
APRDP,19960116,69.87500,69.87500,69.87500,69.87500,100,69.87500
APRDP,19960117,71.15001,71.15001,71.15001,71.15001,100,71.15001
APRDP,19960131,72.30001,72.30001,72.30001,72.30001,300,72.30001
APRDP,19960208,69.90001,69.90001,69.90001,69.90001,400,69.90001
APRDP,19960209,71.15001,71.15001,71.15001,71.15001,300,71.15001
APRDP,19960401,64.25000,64.25000,64.25000,64.25000,100,64.25000
APRDP,19960402,66.20000,66.20000,66.20000,66.20000,100,66.20000
APRDP,19960410,63.35000,63.35000,63.35000,63.35000,100,63.35000
APRDP,19960411,63.60000,63.60000,63.60000,63.60000,100,63.60000
APRDP,19960520,61.50000,61.50000,61.50000,61.50000,200,61.50000
APRDP,19960521,62.25000,62.25000,62.25000,62.25000,200,62.25000
APRDP,19960726,65.10000,65.10000,65.10000,65.10000,100,65.10000
APRDP,19960801,62.00000,62.00000,62.00000,62.00000,100,62.00000
APRDP,19960802,63.50000,63.50000,63.50000,63.50000,100,63.50000
APRDP,19960812,71.62001,71.93001,71.62001,71.93001,7800,71.93001
APRDP,19960823,64.50000,64.50000,64.50000,64.50000,100,64.50000
APRDP,19960826,66.00000,66.00000,66.00000,66.00000,100,66.00000
APRDP,19960827,66.62500,66.62500,66.62500,66.62500,200,66.62500
APRDP,19960830,62.50000,63.75000,62.50000,63.75000,200,63.75000
APRDP,19961009,66.00000,66.00000,66.00000,66.00000,200,66.00000
APRDP,19961022,62.75000,62.75000,62.75000,62.75000,100,62.75000
APRDP,19961029,64.00000,64.00000,64.00000,64.00000,100,64.00000
APRDP,19961031,66.00000,66.00000,66.00000,66.00000,100,66.00000
APRDP,19961205,68.50000,68.50000,68.50000,68.50000,300,68.50000
APRDP,19961210,71.00000,71.00000,71.00000,71.00000,100,71.00000
APRDP,19961216,67.50000,67.50000,67.50000,67.50000,300,67.50000
APRDP,19970102,69.90001,69.90001,69.90001,69.90001,200,69.90001
APRDP,19970110,65.00000,65.00000,65.00000,65.00000,500,65.00000
APRDP,19970123,66.50000,66.75000,66.50000,66.75000,300,66.75000
APRDP,19970422,67.12500,67.12500,67.12500,67.12500,100,67.12500
APRDP,19970716,70.00000,70.00000,70.00000,70.00000,100,70.00000
APRDP,19970723,72.12500,72.12500,72.12500,72.12500,100,72.12500
APRDP,19970818,67.75000,67.75000,67.75000,67.75000,100,67.75000
APRDP,19970819,70.75000,70.75000,70.75000,70.75000,200,70.75000
APRDP,19970827,67.75000,67.75000,67.75000,67.75000,300,67.75000
APRDP,19970829,74.00000,74.00000,74.00000,74.00000,100,74.00000
APRDP,19970902,71.50000,71.50000,71.50000,71.50000,300,71.50000
APRDP,19970917,72.62500,72.62500,72.62500,72.62500,200,72.62500
APRDP,19971003,72.00000,72.00000,72.00000,72.00000,100,72.00000
APRDP,19971031,72.50000,72.50000,72.50000,72.50000,100,72.50000
APRDP,19971119,69.62500,73.12500,69.62500,73.12500,200,73.12500
APRDP,19971120,76.00000,76.00000,76.00000,76.00000,100,76.00000
APRDP,19971203,80.59000,80.59000,80.59000,80.59000,100,80.59000
APRDP,19971204,72.62500,72.62500,72.62500,72.62500,300,72.62500
APRDP,19971205,75.50000,75.50000,75.50000,75.50000,300,75.50000
APRDP,19971209,69.62500,69.62500,69.62500,69.62500,100,69.62500
APRDP,19971219,74.00000,74.00000,74.00000,74.00000,100,74.00000
APRDP,19980105,84.87500,84.87500,84.87500,84.87500,100,84.87500
APRDP,19980126,74.75000,76.50000,74.75000,76.50000,300,76.50000
APRDP,19980211,84.18000,84.18000,84.18000,84.18000,100,84.18000
APRDP,19980218,75.12500,75.12500,75.12500,75.12500,100,75.12500
APRDP,19980223,75.25000,76.25000,75.25000,76.25000,200,76.25000
APRDP,19980224,78.50000,78.50000,78.50000,78.50000,100,78.50000
APRDP,19980330,76.75000,78.75000,76.75000,78.75000,200,78.75000
APRDP,19980402,75.50000,75.50000,75.50000,75.50000,100,75.50000
APRDP,19980807,80.00000,80.00000,80.00000,80.00000,100,80.00000
APRDP,19980819,78.00000,82.37500,78.00000,82.37500,400,82.37500
APRDP,19980825,85.62500,85.62500,85.62500,85.62500,1500,85.62500
APRDP,19980903,81.00000,81.00000,81.00000,81.00000,100,81.00000
APRDP,19981021,85.00000,85.00000,85.00000,85.00000,1600,85.00000
APRDP,19981027,82.25000,84.12500,82.25000,84.12500,200,84.12500
APRDP,19981109,82.25000,82.25000,82.25000,82.25000,300,82.25000
APRDP,19990225,84.50000,84.50000,84.50000,84.50000,100,84.50000
APRDP,19990412,91.00000,91.00000,91.00000,91.00000,300,91.00000
APRDP,19990611,84.00000,84.50000,84.00000,84.50000,200,84.50000
APRDP,19990617,87.00000,87.00000,87.00000,87.00000,100,87.00000
APRDP,19990618,83.50000,83.50000,83.50000,83.50000,100,83.50000
APRDP,19990624,83.50000,87.00000,83.50000,87.00000,200,87.00000
APRDP,19990628,85.75000,87.75000,85.75000,87.75000,200,87.75000
APRDP,19990707,83.50000,83.50000,83.50000,83.50000,100,83.50000
APRDP,19990708,83.50000,83.50000,83.50000,83.50000,100,83.50000
APRDP,19990819,84.84000,84.84000,84.84000,84.84000,1500,84.84000
APRDP,19990902,81.57000,81.57000,81.57000,81.57000,1500,81.57000
APRDP,19990914,80.12500,80.12500,80.12500,80.12500,100,80.12500
APRDP,19990924,80.62500,80.62500,80.62500,80.62500,100,80.62500
APRDP,19991012,79.75000,79.75000,79.75000,79.75000,300,79.75000
APRDP,19991013,79.75000,80.00000,79.75000,80.00000,300,80.00000
APRDP,19991021,76.00000,77.50000,76.00000,77.50000,200,77.50000
APRDP,19991022,76.00000,76.00000,76.00000,76.00000,100,76.00000
APRDP,19991103,77.00000,77.37500,77.00000,77.37500,200,77.37500
APRDP,20000106,76.00000,76.00000,76.00000,76.00000,200,76.00000
APRDP,20000203,75.37500,75.37500,75.37500,75.37500,100,75.37500
APRDP,20000612,63.87500,63.87500,63.87500,63.87500,100,63.87500
