Ticker,Date,Open,High,Low,Close,Volume,Open Interest
APTCF,20061130,0.14590,0.14590,0.14590,0.14590,1500,0.14590
APTCF,20061201,0.14001,0.14001,0.14001,0.14001,10000,0.14001
APTCF,20061212,0.14001,0.14001,0.14001,0.14001,15000,0.14001
APTCF,20061213,0.14001,0.14101,0.14001,0.14001,25550,0.14001
APTCF,20061220,0.13501,0.13501,0.13501,0.13501,5300,0.13501
APTCF,20061221,0.13000,0.13000,0.13000,0.13000,3000,0.13000
APTCF,20070117,0.16360,0.16860,0.16360,0.16360,7000,0.16360
APTCF,20070122,0.13401,0.13401,0.13401,0.13401,276,0.13401
APTCF,20070215,0.15701,0.15701,0.15701,0.15701,10000,0.15701
APTCF,20070223,0.16280,0.16780,0.16280,0.16280,10000,0.16280
APTCF,20070227,0.16280,0.16671,0.16170,0.16671,10000,0.16671
APTCF,20070228,0.17320,0.17860,0.17320,0.17860,10000,0.17860
APTCF,20070301,0.17860,0.18671,0.17001,0.18671,12500,0.18671
APTCF,20070312,0.31570,0.31570,0.31570,0.31570,1000,0.31570
APTCF,20070316,0.32000,0.32500,0.32000,0.32500,60000,0.32500
APTCF,20070419,0.32000,0.32000,0.30900,0.32000,8000,0.32000
APTCF,20070427,0.31500,0.31500,0.31500,0.31500,500,0.31500
APTCF,20070430,0.31500,0.33650,0.30001,0.30001,47000,0.30001
APTCF,20070502,0.31001,0.31001,0.31001,0.31001,170,0.31001
APTCF,20070504,0.36001,0.36001,0.36001,0.36001,3100,0.36001
APTCF,20070508,0.36001,0.36301,0.34500,0.36301,8000,0.36301
APTCF,20070509,0.36161,0.36161,0.35261,0.36161,6000,0.36161
APTCF,20070515,0.41781,0.41781,0.41781,0.41781,10000,0.41781
APTCF,20070522,0.38101,0.38101,0.38101,0.38101,20000,0.38101
APTCF,20070525,0.38101,0.38390,0.36501,0.37890,8000,0.37890
APTCF,20070530,0.37361,0.37361,0.37361,0.37361,10000,0.37361
APTCF,20070606,0.39630,0.40131,0.39630,0.40131,2000,0.40131
APTCF,20070614,0.35731,0.35731,0.35491,0.35731,5230,0.35731
APTCF,20070618,0.35731,0.37701,0.35331,0.35801,9900,0.35801
APTCF,20070619,0.36101,0.36101,0.36101,0.36101,100,0.36101
APTCF,20070706,0.32801,0.32801,0.32801,0.32801,6000,0.32801
APTCF,20070712,0.31750,0.31750,0.31750,0.31750,4000,0.31750
APTCF,20070713,0.30501,0.30501,0.30501,0.30501,13500,0.30501
APTCF,20070716,0.32000,0.32360,0.32000,0.32000,37600,0.32000
APTCF,20070720,0.31100,0.31100,0.31001,0.31001,17200,0.31001
APTCF,20070723,0.30001,0.30001,0.30001,0.30001,12000,0.30001
APTCF,20070730,0.33701,0.33701,0.33701,0.33701,3000,0.33701
APTCF,20070813,0.29000,0.29000,0.29000,0.29000,300,0.29000
APTCF,20070904,0.29000,0.29000,0.25000,0.29000,97500,0.29000
APTCF,20070905,0.26101,0.26101,0.26101,0.26101,1000,0.26101
APTCF,20070906,0.29000,0.29000,0.29000,0.29000,109000,0.29000
APTCF,20070914,0.27100,0.27100,0.27100,0.27100,800,0.27100
APTCF,20070917,0.27100,0.28901,0.24100,0.24100,78500,0.24100
APTCF,20070918,0.24301,0.24301,0.24301,0.24301,2000,0.24301
APTCF,20070924,0.29000,0.29000,0.29000,0.29000,1100,0.29000
APTCF,20070925,0.29000,0.29200,0.27201,0.27201,2100,0.27201
APTCF,20071004,0.28100,0.30100,0.28100,0.30100,1900,0.30100
APTCF,20071005,0.30100,0.32151,0.27400,0.27400,26758,0.27400
APTCF,20071009,0.28991,0.28991,0.28991,0.28991,20000,0.28991
APTCF,20071010,0.27991,0.27991,0.23150,0.23150,10100,0.23150
APTCF,20071012,0.30001,0.31001,0.30001,0.31001,20000,0.31001
APTCF,20071015,0.31001,0.32230,0.26171,0.32230,31780,0.32230
APTCF,20071017,0.31001,0.31001,0.31001,0.31001,10000,0.31001
APTCF,20071024,0.47500,0.47500,0.47500,0.47500,4000,0.47500
APTCF,20071026,0.48301,0.48321,0.48301,0.48301,15000,0.48301
APTCF,20071031,0.42301,0.42301,0.42301,0.42301,110,0.42301
APTCF,20071101,0.45501,0.45501,0.45501,0.45501,5000,0.45501
APTCF,20071112,0.44201,0.44201,0.44000,0.44000,7726,0.44000
APTCF,20071113,0.39900,0.39900,0.39900,0.39900,326,0.39900
APTCF,20071114,0.39000,0.39000,0.39000,0.39000,100,0.39000
APTCF,20071116,0.43881,0.44941,0.43881,0.44941,71000,0.44941
APTCF,20071119,0.44480,0.44480,0.40001,0.44480,12008,0.44480
APTCF,20071120,0.44480,0.51000,0.43231,0.45000,4264,0.45000
APTCF,20071121,0.47610,0.47610,0.47610,0.47610,10000,0.47610
APTCF,20071127,0.46001,0.46001,0.46001,0.46001,4000,0.46001
APTCF,20071130,0.41000,0.41000,0.41000,0.41000,500,0.41000
APTCF,20071210,0.39641,0.39641,0.39641,0.39641,200,0.39641
APTCF,20071214,0.39641,0.39850,0.39501,0.39850,9000,0.39850
APTCF,20071217,0.38450,0.38450,0.38450,0.38450,200,0.38450
APTCF,20071219,0.38450,0.39321,0.37330,0.37330,600,0.37330
APTCF,20071220,0.39701,0.39701,0.39701,0.39701,8500,0.39701
APTCF,20071224,0.42351,0.42351,0.42351,0.42351,1000,0.42351
APTCF,20080107,0.37300,0.37300,0.37300,0.37300,1000,0.37300
APTCF,20080109,0.32351,0.32351,0.32351,0.32351,1000,0.32351
APTCF,20080111,0.33841,0.33841,0.33841,0.33841,5000,0.33841
APTCF,20080117,0.34521,0.34521,0.34521,0.34521,5000,0.34521
APTCF,20080123,0.30721,0.30721,0.29000,0.30721,39000,0.30721
APTCF,20080129,0.30001,0.30001,0.27001,0.27001,19906,0.27001
APTCF,20080205,0.28800,0.36001,0.28800,0.28800,51550,0.28800
APTCF,20080208,0.32491,0.32491,0.32491,0.32491,1000,0.32491
APTCF,20080212,0.34631,0.34631,0.34631,0.34631,10000,0.34631
APTCF,20080221,0.34951,0.35450,0.34951,0.35450,20000,0.35450
APTCF,20080225,0.35581,0.35900,0.35581,0.35581,80000,0.35581
APTCF,20080226,0.35700,0.35900,0.35700,0.35900,30000,0.35900
APTCF,20080313,0.35801,0.35801,0.35801,0.35801,196,0.35801
APTCF,20080324,0.36001,0.37001,0.36001,0.37001,43000,0.37001
APTCF,20080404,0.34401,0.34401,0.33900,0.33900,20000,0.33900
APTCF,20080415,0.34550,0.34550,0.34550,0.34550,500,0.34550
APTCF,20080501,0.76930,0.78900,0.76930,0.76930,2000,0.76930
APTCF,20080502,0.82790,0.82790,0.82790,0.82790,9000,0.82790
APTCF,20080505,0.82161,0.82161,0.82161,0.82161,5000,0.82161
APTCF,20080506,0.71570,0.71570,0.68621,0.68621,8176,0.68621
APTCF,20080507,0.71311,0.74401,0.71311,0.71311,17340,0.71311
APTCF,20080512,0.77320,0.77320,0.77320,0.77320,15000,0.77320
APTCF,20080514,0.80300,0.80300,0.80300,0.80300,400,0.80300
APTCF,20080515,0.80300,0.82481,0.79480,0.82481,2400,0.82481
APTCF,20080516,0.79800,0.79800,0.73901,0.79800,1230,0.79800
APTCF,20080520,0.79800,0.80100,0.73950,0.73950,3236,0.73950
APTCF,20080522,0.79061,0.80740,0.79061,0.79061,40000,0.79061
APTCF,20080529,0.84870,0.84870,0.84870,0.84870,16000,0.84870
APTCF,20080602,0.84290,0.84290,0.80300,0.80300,4500,0.80300
APTCF,20080604,0.80730,0.80730,0.80730,0.80730,2500,0.80730
APTCF,20080613,0.74541,0.74541,0.71620,0.71620,3776,0.71620
APTCF,20080617,0.72080,0.73060,0.72080,0.72080,3500,0.72080
APTCF,20080625,0.62001,0.64000,0.62001,0.62001,2500,0.62001
APTCF,20080626,0.70000,0.70000,0.70000,0.70000,300,0.70000
APTCF,20080707,0.59000,0.59000,0.59000,0.59000,3500,0.59000
APTCF,20080710,0.61001,0.61001,0.61001,0.61001,5000,0.61001
APTCF,20080711,0.56001,0.60001,0.56001,0.56001,4700,0.56001
APTCF,20080715,0.59000,0.59000,0.59000,0.59000,500,0.59000
APTCF,20080717,0.68001,0.68001,0.68001,0.68001,9000,0.68001
APTCF,20080721,0.55001,0.58000,0.55001,0.55001,800,0.55001
APTCF,20080722,0.56001,0.57000,0.56001,0.56001,7000,0.56001
APTCF,20080725,0.51000,0.56001,0.51000,0.51000,4600,0.51000
APTCF,20080730,0.59000,0.59000,0.59000,0.59000,23000,0.59000
APTCF,20080813,0.48000,0.48000,0.48000,0.48000,500,0.48000
APTCF,20080814,0.53000,0.53000,0.53000,0.53000,500,0.53000
APTCF,20080827,0.52000,0.52000,0.52000,0.52000,10000,0.52000
APTCF,20080828,0.48000,0.48000,0.48000,0.48000,9400,0.48000
