Ticker,Date,Open,High,Low,Close,Volume,Open Interest
AQUNF,20091229,3.89001,3.94001,3.86000,3.87000,9200,3.87000
AQUNF,20091230,3.90001,3.90001,3.80000,3.84000,7400,3.84000
AQUNF,20091231,3.87000,3.88001,3.84000,3.86000,5200,3.86000
AQUNF,20100104,3.96001,3.97001,3.96001,3.97001,12000,3.97001
AQUNF,20100105,4.01001,4.07001,3.97001,4.02000,7400,4.02000
AQUNF,20100106,4.07001,4.07001,3.97001,3.97001,5500,3.97001
AQUNF,20100107,3.93001,4.00000,3.92001,3.96001,6800,3.96001
AQUNF,20100108,4.03001,4.05001,4.01001,4.03001,16200,4.03001
AQUNF,20100111,4.13001,4.27000,4.13001,4.20000,39500,4.20000
AQUNF,20100112,4.13001,4.20000,4.07001,4.13001,56700,4.13001
AQUNF,20100113,4.16000,4.23001,4.16000,4.18000,28000,4.18000
AQUNF,20100114,4.29000,4.31000,4.29000,4.31000,2000,4.31000
AQUNF,20100115,4.37000,4.43000,4.35000,4.43000,25300,4.43000
AQUNF,20100119,4.39000,4.40001,4.28001,4.36001,74100,4.36001
AQUNF,20100120,4.27000,4.27000,4.20000,4.20000,6600,4.20000
AQUNF,20100121,4.28001,4.28001,4.03001,4.14000,16100,4.14000
AQUNF,20100122,4.10000,4.10000,4.02000,4.04000,6000,4.04000
AQUNF,20100125,4.12000,4.12000,4.02000,4.03001,9600,4.03001
AQUNF,20100126,3.95001,3.97001,3.90001,3.97001,7000,3.97001
AQUNF,20100127,3.91001,3.97001,3.90001,3.90001,9500,3.90001
AQUNF,20100128,3.91001,3.91001,3.71001,3.79000,13700,3.79000
AQUNF,20100129,3.91001,3.96001,3.83000,3.83000,14900,3.83000
AQUNF,20100201,3.88001,3.99001,3.88001,3.97001,11700,3.97001
AQUNF,20100202,3.99001,4.10000,3.99001,4.10000,5700,4.10000
AQUNF,20100203,4.16000,4.16000,4.09001,4.10000,12400,4.10000
AQUNF,20100204,4.05001,4.07001,4.01001,4.05001,23500,4.05001
AQUNF,20100205,4.04000,4.08000,4.00000,4.04000,23800,4.04000
AQUNF,20100208,4.06000,4.07001,4.04000,4.07001,1600,4.07001
AQUNF,20100209,4.04000,4.04000,3.96001,3.96001,14800,3.96001
AQUNF,20100210,3.95001,3.95001,3.91001,3.92001,6300,3.92001
AQUNF,20100211,3.93001,3.95001,3.92001,3.95001,8300,3.95001
AQUNF,20100212,3.91001,3.95001,3.89001,3.93001,12200,3.93001
AQUNF,20100216,4.06000,4.11001,4.06000,4.11001,14100,4.11001
AQUNF,20100217,4.04000,4.08000,4.04000,4.06000,8800,4.06000
AQUNF,20100218,4.05001,4.05001,3.98001,3.98001,3600,3.98001
AQUNF,20100219,3.94001,4.01001,3.94001,3.99001,5800,3.99001
AQUNF,20100222,3.98001,4.04000,3.93001,4.04000,16500,4.04000
AQUNF,20100223,4.02000,4.05001,3.94001,3.97001,16600,3.97001
AQUNF,20100224,3.99001,4.01001,3.94001,3.96001,11900,3.96001
AQUNF,20100225,3.91001,3.93001,3.87000,3.93001,3500,3.93001
AQUNF,20100226,3.91001,3.95001,3.90001,3.92001,9500,3.92001
AQUNF,20100301,4.00000,4.08000,3.96001,4.06000,19900,4.06000
AQUNF,20100302,4.06000,4.13001,4.06000,4.13001,4400,4.13001
AQUNF,20100303,4.13001,4.13001,4.11001,4.11001,2200,4.11001
AQUNF,20100304,4.15001,4.15001,4.10000,4.13001,8900,4.13001
AQUNF,20100305,4.15001,4.41000,4.15001,4.35000,38500,4.35000
AQUNF,20100308,4.42001,4.50000,4.39000,4.40001,84400,4.40001
AQUNF,20100309,4.37000,4.50000,4.37000,4.44001,8600,4.44001
AQUNF,20100310,4.47000,4.51001,4.45000,4.51001,6400,4.51001
AQUNF,20100311,4.52000,4.54000,4.50000,4.53001,3200,4.53001
AQUNF,20100312,4.60000,4.71001,4.60000,4.63001,5400,4.63001
AQUNF,20100315,4.66000,4.66000,4.55001,4.56000,3600,4.56000
AQUNF,20100316,4.62000,4.67001,4.62000,4.63001,5500,4.63001
AQUNF,20100317,4.68000,4.68000,4.63001,4.64000,7700,4.64000
AQUNF,20100318,4.60000,4.62000,4.58000,4.58000,4600,4.58000
AQUNF,20100319,4.60000,4.60000,4.45000,4.47000,11800,4.47000
AQUNF,20100322,4.47000,4.48001,4.46001,4.46001,7200,4.46001
AQUNF,20100323,4.46001,4.53001,4.46001,4.53001,24000,4.53001
AQUNF,20100324,4.53001,4.55001,4.53001,4.55001,6900,4.55001
AQUNF,20100325,4.54000,4.56000,4.52000,4.52000,1900,4.52000
AQUNF,20100326,4.48001,4.48001,4.36001,4.43000,11500,4.43000
