Ticker,Date,Open,High,Low,Close,Volume,Open Interest
ATUSF,20031017,1.88000,1.88000,1.88000,1.88000,300,1.88000
ATUSF,20031020,1.88000,1.89000,1.87001,1.89000,3000,1.89000
ATUSF,20031021,1.93000,1.96001,1.93000,1.96001,1500,1.96001
ATUSF,20031022,1.98001,2.07700,1.98001,2.07700,9500,2.07700
ATUSF,20031023,2.07700,2.08000,1.95001,1.95001,8400,1.95001
ATUSF,20031024,1.99001,2.09000,1.99001,2.03000,12000,2.03000
ATUSF,20031027,2.03801,2.06650,2.03801,2.06501,3000,2.06501
ATUSF,20031028,2.06501,2.15001,1.98001,1.99001,18000,1.99001
ATUSF,20031029,2.15001,2.25000,2.15001,2.22001,8500,2.22001
ATUSF,20031030,2.22001,2.26000,2.22001,2.26000,15500,2.26000
ATUSF,20031031,2.19001,2.19001,2.10000,2.10000,2200,2.10000
ATUSF,20031103,2.10000,2.19001,1.96001,2.07000,27560,2.07000
ATUSF,20031104,2.07000,2.09000,1.93000,2.09000,28800,2.09000
ATUSF,20031105,2.07000,2.07000,2.04000,2.04000,7786,2.04000
ATUSF,20031106,2.00000,2.00000,2.00000,2.00000,3000,2.00000
ATUSF,20031110,2.00000,2.09501,1.98001,1.98001,27700,1.98001
ATUSF,20031111,1.98001,1.98001,1.98001,1.98001,2200,1.98001
ATUSF,20031112,1.98001,2.03000,1.95001,1.96001,4470,1.96001
ATUSF,20031113,1.86001,1.86001,1.86001,1.86001,1000,1.86001
ATUSF,20031114,1.86001,1.95001,1.85001,1.86001,14750,1.86001
ATUSF,20031117,1.82001,1.82001,1.77000,1.82001,6300,1.82001
ATUSF,20031118,1.82001,1.92000,1.76000,1.92000,8800,1.92000
ATUSF,20031119,1.86001,1.86001,1.78800,1.78800,40300,1.78800
ATUSF,20031120,1.78800,1.90700,1.78000,1.90700,16000,1.90700
ATUSF,20031121,1.94501,1.95001,1.94501,1.95001,1650,1.95001
ATUSF,20031124,1.95001,2.00000,1.83001,1.86801,17200,1.86801
ATUSF,20031125,1.86501,1.86501,1.85001,1.85001,10000,1.85001
ATUSF,20031126,1.85001,1.90000,1.85001,1.85001,13750,1.85001
ATUSF,20031201,1.79000,1.79000,1.74601,1.76000,9100,1.76000
ATUSF,20031202,1.82001,1.92000,1.82001,1.92000,12000,1.92000
ATUSF,20031203,1.92000,1.92580,1.83001,1.92580,14970,1.92580
ATUSF,20031204,1.92580,1.96980,1.78000,1.96980,5500,1.96980
ATUSF,20031205,1.96980,1.99001,1.85001,1.95001,24000,1.95001
ATUSF,20031208,1.95001,1.99001,1.94001,1.94001,17600,1.94001
ATUSF,20031210,1.90000,1.90000,1.72001,1.77000,10948,1.77000
ATUSF,20031211,1.70001,1.70001,1.62001,1.70001,1100,1.70001
ATUSF,20031212,1.77000,1.77000,1.77000,1.77000,2000,1.77000
ATUSF,20031215,1.77000,1.87001,1.76500,1.82001,21800,1.82001
ATUSF,20031216,1.82001,1.87500,1.77000,1.83001,11472,1.83001
ATUSF,20031217,1.78300,1.78300,1.78300,1.78300,4000,1.78300
ATUSF,20031218,1.82300,1.85501,1.82300,1.85501,1800,1.85501
ATUSF,20031219,1.83001,1.83001,1.79000,1.83001,1726,1.83001
ATUSF,20031222,1.83001,1.84501,1.82701,1.82701,9600,1.82701
ATUSF,20031223,1.82701,1.86001,1.78000,1.86001,17476,1.86001
ATUSF,20031224,1.91500,1.91500,1.91500,1.91500,4600,1.91500
ATUSF,20031230,1.91500,1.98001,1.77000,1.98001,19354,1.98001
ATUSF,20031231,1.95001,1.95001,1.91000,1.93000,8500,1.93000
ATUSF,20040102,1.93000,1.97001,1.91000,1.92701,12120,1.92701
ATUSF,20040105,1.92701,1.92701,1.83001,1.92350,17500,1.92350
ATUSF,20040106,1.92350,1.94001,1.91401,1.94001,7016,1.94001
ATUSF,20040108,1.94001,1.95001,1.91601,1.95001,6000,1.95001
ATUSF,20040109,2.04400,2.05000,2.04400,2.04400,2790,2.04400
ATUSF,20040112,2.17001,2.18001,2.17001,2.18001,2530,2.18001
ATUSF,20040113,2.21001,2.21001,2.21001,2.21001,6500,2.21001
ATUSF,20040114,2.06000,2.06000,1.99001,2.01000,23200,2.01000
ATUSF,20040115,1.86601,1.86601,1.79000,1.86601,12600,1.86601
ATUSF,20040116,1.97001,2.01700,1.97001,2.00000,4400,2.00000
ATUSF,20040120,2.10000,2.21001,2.10000,2.21001,7350,2.21001
ATUSF,20040121,2.17001,2.17001,2.14001,2.14001,500,2.14001
ATUSF,20040122,2.14401,2.22001,2.14401,2.14401,3400,2.14401
ATUSF,20040123,2.23001,2.23001,2.23001,2.23001,3000,2.23001
ATUSF,20040126,2.20001,2.20001,2.14701,2.20001,7600,2.20001
ATUSF,20040127,2.20001,2.27000,2.13130,2.13130,100500,2.13130
ATUSF,20040128,2.15001,2.15001,2.15001,2.15001,1800,2.15001
ATUSF,20040129,2.13001,2.13001,2.05000,2.05000,5100,2.05000
ATUSF,20040130,2.27030,2.27030,2.27030,2.27030,400,2.27030
ATUSF,20040202,2.17001,2.17001,2.12000,2.12000,2400,2.12000
ATUSF,20040203,2.23001,2.23001,2.23001,2.23001,200,2.23001
ATUSF,20040205,2.19701,2.19701,2.19701,2.19701,1000,2.19701
ATUSF,20040206,2.19701,2.20001,2.17001,2.17001,4300,2.17001
ATUSF,20040209,2.17001,2.20001,2.17001,2.17001,9640,2.17001
ATUSF,20040210,2.19001,2.19001,2.19001,2.19001,1400,2.19001
ATUSF,20040211,2.28000,2.28650,2.28000,2.28000,1900,2.28000
ATUSF,20040212,2.28000,2.45001,2.25621,2.45001,3900,2.45001
ATUSF,20040213,2.45001,2.45001,2.35280,2.44480,2700,2.44480
ATUSF,20040217,2.44500,2.56000,2.44500,2.54000,8850,2.54000
ATUSF,20040218,2.54000,2.61501,2.46001,2.50271,8800,2.50271
ATUSF,20040219,2.44971,2.44971,2.41301,2.41301,1800,2.41301
ATUSF,20040220,2.41001,2.41001,2.41001,2.41001,4300,2.41001
ATUSF,20040223,2.38300,2.38300,2.31000,2.33000,8626,2.33000
ATUSF,20040224,2.17091,2.17091,2.11250,2.14001,10700,2.14001
ATUSF,20040225,2.14001,2.15001,2.10000,2.10000,10150,2.10000
ATUSF,20040227,2.08000,2.08000,2.08000,2.08000,5500,2.08000
ATUSF,20040301,2.29201,2.32000,2.29201,2.30000,15500,2.30000
ATUSF,20040302,2.26660,2.26660,2.24001,2.26660,5100,2.26660
ATUSF,20040303,2.21001,2.21001,2.20001,2.21001,1300,2.21001
ATUSF,20040304,2.17001,2.17001,2.17001,2.17001,1000,2.17001
ATUSF,20040305,2.16001,2.16001,2.16001,2.16001,1000,2.16001
ATUSF,20040308,2.32501,2.33000,2.32501,2.32501,15000,2.32501
ATUSF,20040309,2.34000,2.34000,2.34000,2.34000,5000,2.34000
ATUSF,20040310,2.34000,2.37000,2.30000,2.33000,5500,2.33000
ATUSF,20040315,2.33000,2.50000,2.30000,2.30000,13600,2.30000
ATUSF,20040316,2.30000,2.30000,2.16001,2.20001,5826,2.20001
ATUSF,20040317,2.27000,2.27000,2.27000,2.27000,300,2.27000
ATUSF,20040319,2.27000,2.34000,2.26501,2.26501,4500,2.26501
ATUSF,20040322,2.39001,2.39001,2.39001,2.39001,1500,2.39001
ATUSF,20040325,2.54700,2.54700,2.54700,2.54700,200,2.54700
ATUSF,20040326,2.53000,2.53000,2.49001,2.53000,4464,2.53000
ATUSF,20040329,2.66001,2.66001,2.66001,2.66001,1600,2.66001
ATUSF,20040330,2.66001,2.68001,2.27000,2.68001,3100,2.68001
ATUSF,20040331,2.68001,2.70001,2.68001,2.70001,7700,2.70001
ATUSF,20040401,2.68001,2.68001,2.50000,2.50000,3000,2.50000
ATUSF,20040402,2.59000,2.67001,2.59000,2.61790,8800,2.61790
ATUSF,20040405,2.72500,2.80000,2.72500,2.80000,6000,2.80000
ATUSF,20040406,2.80000,2.89001,2.70001,2.89001,19050,2.89001
ATUSF,20040407,2.91001,2.94001,2.91001,2.94001,15900,2.94001
ATUSF,20040408,2.94001,3.09451,2.90301,2.90301,7500,2.90301
ATUSF,20040412,3.03000,3.16500,3.03000,3.16500,1550,3.16500
ATUSF,20040413,3.00000,3.00000,2.96301,2.98001,7340,2.98001
ATUSF,20040414,2.96001,2.96001,2.76000,2.85000,9750,2.85000
ATUSF,20040415,2.85000,2.90740,2.85000,2.90740,4630,2.90740
ATUSF,20040416,2.90740,2.94001,2.84101,2.92301,11702,2.92301
ATUSF,20040419,2.90830,2.90830,2.73001,2.73001,1900,2.73001
ATUSF,20040420,2.73001,2.75000,2.61200,2.75000,1700,2.75000
ATUSF,20040421,2.75000,2.80000,2.62000,2.65001,7900,2.65001
ATUSF,20040422,2.63001,2.63001,2.50000,2.63001,526,2.63001
ATUSF,20040423,2.66001,2.69001,2.66001,2.66001,20000,2.66001
ATUSF,20040426,2.70400,2.87000,2.70400,2.77871,3700,2.77871
ATUSF,20040427,2.78700,2.90001,2.78700,2.78700,2400,2.78700
ATUSF,20040428,2.78700,2.86000,2.72001,2.86000,1700,2.86000
ATUSF,20040429,2.78000,2.78000,2.72001,2.72001,9796,2.72001
ATUSF,20040430,2.72001,2.85000,2.72001,2.81501,6000,2.81501
ATUSF,20040503,2.81501,2.87000,2.70001,2.75000,14200,2.75000
ATUSF,20040504,2.80000,2.89001,2.80000,2.81000,4000,2.81000
ATUSF,20040505,2.77440,2.77440,2.77440,2.77440,1000,2.77440
ATUSF,20040507,2.74520,2.74520,2.74520,2.74520,200,2.74520
ATUSF,20040510,2.74520,2.76000,2.65001,2.67001,20400,2.67001
ATUSF,20040511,2.68001,2.69270,2.68001,2.69001,3800,2.69001
ATUSF,20040517,2.69001,2.82970,2.68951,2.68951,9100,2.68951
ATUSF,20040518,2.68281,2.68281,2.68281,2.68281,1000,2.68281
ATUSF,20040519,2.70001,2.82000,2.70001,2.82000,9624,2.82000
ATUSF,20040520,2.86000,2.86501,2.86000,2.86000,4476,2.86000
ATUSF,20040521,2.86000,2.86000,2.80000,2.85000,5150,2.85000
ATUSF,20040525,2.79000,2.79000,2.71001,2.74500,13700,2.74500
ATUSF,20040526,2.70001,2.70001,2.67001,2.70001,17354,2.70001
ATUSF,20040527,2.65710,2.65710,2.65710,2.65710,100,2.65710
ATUSF,20040528,2.65001,2.65001,2.53431,2.65001,2200,2.65001
ATUSF,20040604,2.78000,2.78000,2.78000,2.78000,300,2.78000
ATUSF,20040607,2.78000,2.78000,2.78000,2.78000,1000,2.78000
