Ticker,Date,Open,High,Low,Close,Volume,Open Interest
AVGCF,20090218,0.16000,0.16000,0.16000,0.16000,10000,0.16000
AVGCF,20090219,0.20001,0.20001,0.20001,0.20001,25000,0.20001
AVGCF,20090220,0.19000,0.19000,0.19000,0.19000,138000,0.19000
AVGCF,20090227,0.15001,0.16000,0.15001,0.16000,20000,0.16000
AVGCF,20090303,0.16000,0.16000,0.16000,0.16000,30000,0.16000
AVGCF,20090305,0.16000,0.16000,0.16000,0.16000,35000,0.16000
AVGCF,20090306,0.14001,0.14001,0.14001,0.14001,200,0.14001
AVGCF,20090311,0.17001,0.17001,0.16000,0.17001,25500,0.17001
AVGCF,20090323,0.21000,0.21000,0.21000,0.21000,20000,0.21000
AVGCF,20090327,0.24000,0.24000,0.24000,0.24000,100000,0.24000
AVGCF,20090330,0.26000,0.30001,0.26000,0.30001,277500,0.30001
AVGCF,20090331,0.28001,0.28001,0.24000,0.24000,90500,0.24000
AVGCF,20090401,0.26000,0.26000,0.26000,0.26000,100000,0.26000
AVGCF,20090403,0.23001,0.23001,0.23001,0.23001,10000,0.23001
AVGCF,20090408,0.26000,0.26000,0.26000,0.26000,83000,0.26000
AVGCF,20090409,0.27001,0.27001,0.26000,0.26000,58000,0.26000
AVGCF,20090413,0.27001,0.27001,0.26000,0.26000,37500,0.26000
AVGCF,20090423,0.25000,0.25000,0.25000,0.25000,2000,0.25000
AVGCF,20090427,0.26000,0.26000,0.26000,0.26000,58000,0.26000
AVGCF,20090506,0.30001,0.32000,0.30001,0.32000,37000,0.32000
AVGCF,20090512,0.35000,0.35000,0.35000,0.35000,125000,0.35000
AVGCF,20090514,0.31001,0.31001,0.31001,0.31001,28000,0.31001
AVGCF,20090515,0.27001,0.28001,0.27001,0.28001,520000,0.28001
AVGCF,20090519,0.30001,0.34001,0.29000,0.33001,662000,0.33001
AVGCF,20090520,0.34001,0.35000,0.33001,0.33001,124800,0.33001
AVGCF,20090521,0.33001,0.33001,0.32000,0.33001,75000,0.33001
AVGCF,20090522,0.32000,0.34001,0.32000,0.33001,290100,0.33001
AVGCF,20090526,0.33001,0.33001,0.33001,0.33001,27500,0.33001
AVGCF,20090527,0.33001,0.33001,0.32000,0.32000,31700,0.32000
AVGCF,20090528,0.31001,0.31001,0.30001,0.31001,35500,0.31001
AVGCF,20090529,0.31001,0.31001,0.30001,0.30001,620000,0.30001
AVGCF,20090601,0.30001,0.32000,0.30001,0.31001,510000,0.31001
AVGCF,20090602,0.32000,0.33001,0.29000,0.32000,509600,0.32000
AVGCF,20090603,0.32000,0.32000,0.29000,0.29000,184000,0.29000
AVGCF,20090604,0.30001,0.33001,0.30001,0.32000,167000,0.32000
AVGCF,20090608,0.31001,0.34001,0.31001,0.33001,17500,0.33001
AVGCF,20090609,0.33001,0.34001,0.31001,0.34001,65000,0.34001
AVGCF,20090610,0.34001,0.35000,0.33001,0.33001,62500,0.33001
AVGCF,20090611,0.32000,0.32000,0.32000,0.32000,59000,0.32000
AVGCF,20090612,0.31001,0.31001,0.30001,0.30001,7400,0.30001
AVGCF,20090615,0.30001,0.30001,0.30001,0.30001,3200,0.30001
AVGCF,20090616,0.28001,0.28001,0.28001,0.28001,2000,0.28001
AVGCF,20090617,0.28001,0.28001,0.28001,0.28001,3500,0.28001
AVGCF,20090622,0.28001,0.28001,0.27001,0.27001,26500,0.27001
AVGCF,20090623,0.27001,0.28001,0.27001,0.28001,15500,0.28001
AVGCF,20090624,0.28001,0.28001,0.27001,0.27001,7000,0.27001
AVGCF,20090629,0.28001,0.28001,0.28001,0.28001,10000,0.28001
AVGCF,20090630,0.27001,0.27001,0.27001,0.27001,15000,0.27001
AVGCF,20090702,0.27001,0.27001,0.27001,0.27001,10000,0.27001
AVGCF,20090706,0.26000,0.26000,0.26000,0.26000,5000,0.26000
AVGCF,20090708,0.25000,0.25000,0.24000,0.24000,1100,0.24000
AVGCF,20090709,0.23001,0.23001,0.23001,0.23001,2300,0.23001
AVGCF,20090713,0.22000,0.22000,0.22000,0.22000,25000,0.22000
AVGCF,20090715,0.24000,0.24000,0.24000,0.24000,2000,0.24000
AVGCF,20090717,0.26000,0.26000,0.26000,0.26000,6500,0.26000
AVGCF,20090720,0.30001,0.31001,0.30001,0.31001,2500,0.31001
AVGCF,20090721,0.30001,0.30001,0.30001,0.30001,22500,0.30001
AVGCF,20090723,0.32000,0.33001,0.32000,0.33001,3200,0.33001
AVGCF,20090724,0.32000,0.32000,0.32000,0.32000,15000,0.32000
AVGCF,20090727,0.32000,0.32000,0.32000,0.32000,12500,0.32000
AVGCF,20090728,0.31001,0.31001,0.31001,0.31001,1200,0.31001
AVGCF,20090730,0.29000,0.30001,0.29000,0.30001,80700,0.30001
AVGCF,20090804,0.31001,0.31001,0.29000,0.29000,14300,0.29000
AVGCF,20090805,0.30001,0.30001,0.30001,0.30001,1300,0.30001
AVGCF,20090806,0.29000,0.29000,0.29000,0.29000,5000,0.29000
AVGCF,20090810,0.30001,0.32000,0.30001,0.32000,26000,0.32000
AVGCF,20090811,0.31001,0.31001,0.31001,0.31001,5000,0.31001
AVGCF,20090812,0.32000,0.32000,0.29000,0.29000,8300,0.29000
AVGCF,20090814,0.27001,0.27001,0.27001,0.27001,75000,0.27001
AVGCF,20090817,0.27001,0.30001,0.27001,0.28001,171700,0.28001
AVGCF,20090818,0.29000,0.29000,0.29000,0.29000,45000,0.29000
AVGCF,20090819,0.28001,0.28001,0.27001,0.27001,49000,0.27001
AVGCF,20090820,0.28001,0.28001,0.28001,0.28001,12000,0.28001
AVGCF,20090821,0.31001,0.31001,0.31001,0.31001,4000,0.31001
AVGCF,20090824,0.29000,0.29000,0.29000,0.29000,4000,0.29000
AVGCF,20090825,0.30001,0.30001,0.30001,0.30001,7000,0.30001
AVGCF,20090827,0.28001,0.28001,0.28001,0.28001,68000,0.28001
AVGCF,20090828,0.28001,0.29000,0.28001,0.28001,50000,0.28001
AVGCF,20090902,0.28001,0.28001,0.27001,0.27001,99000,0.27001
AVGCF,20090903,0.29000,0.29000,0.29000,0.29000,79000,0.29000
AVGCF,20090904,0.30001,0.30001,0.29000,0.30001,22000,0.30001
