Ticker,Date,Open,High,Low,Close,Volume,Open Interest
BRGXF,20090217,15.05001,15.05001,15.05001,15.05001,500,15.05001
BRGXF,20090306,13.45000,13.45000,13.45000,13.45000,100,13.45000
BRGXF,20090310,13.30001,13.30001,13.30001,13.30001,1200,13.30001
BRGXF,20090316,14.65000,14.65000,14.65000,14.65000,3900,14.65000
BRGXF,20090327,14.85001,14.85001,14.85001,14.85001,300,14.85001
BRGXF,20090402,16.40000,16.40000,16.40000,16.40000,1600,16.40000
BRGXF,20090406,16.35001,16.35001,16.35001,16.35001,100,16.35001
BRGXF,20090420,15.13001,15.13001,15.13001,15.13001,1800,15.13001
BRGXF,20090421,14.65000,14.65000,14.65000,14.65000,100,14.65000
BRGXF,20090423,15.32000,15.32000,15.32000,15.32000,9000,15.32000
BRGXF,20090511,16.60001,16.60001,16.60001,16.60001,400,16.60001
BRGXF,20090515,16.65000,16.65000,16.65000,16.65000,100,16.65000
BRGXF,20090601,19.15000,19.25000,19.15000,19.25000,600,19.25000
BRGXF,20090602,19.22000,19.35001,19.22000,19.35001,1100,19.35001
BRGXF,20090604,18.40000,18.40000,17.90000,18.35001,3300,18.35001
BRGXF,20090608,18.30000,18.55000,18.30000,18.55000,1100,18.55000
BRGXF,20090625,16.20001,16.20001,16.20001,16.20001,700,16.20001
BRGXF,20090706,16.15000,16.15000,16.15000,16.15000,2200,16.15000
BRGXF,20090708,16.06000,16.06000,16.06000,16.06000,300,16.06000
BRGXF,20090709,16.00000,16.00000,16.00000,16.00000,1800,16.00000
BRGXF,20090729,17.20001,17.20001,17.20001,17.20001,500,17.20001
BRGXF,20090805,16.80000,16.80000,16.75000,16.75000,1000,16.75000
BRGXF,20090806,17.28001,17.28001,17.28001,17.28001,500,17.28001
BRGXF,20090807,16.55000,16.55000,16.55000,16.55000,100,16.55000
BRGXF,20090811,16.40000,16.40000,16.10001,16.10001,7600,16.10001
BRGXF,20090812,17.20001,17.20001,16.95001,16.95001,2400,16.95001
BRGXF,20090814,16.60001,16.60001,16.60001,16.60001,400,16.60001
BRGXF,20090817,16.51001,16.51001,16.51001,16.51001,1100,16.51001
BRGXF,20090818,16.70001,16.70001,16.70001,16.70001,1600,16.70001
BRGXF,20090819,16.70001,16.70001,16.70001,16.70001,500,16.70001
BRGXF,20090820,17.20001,17.20001,17.20001,17.20001,1500,17.20001
BRGXF,20090824,17.85001,17.85001,17.00000,17.00000,7600,17.00000
BRGXF,20090831,16.70001,16.70001,16.70001,16.70001,1000,16.70001
BRGXF,20090909,18.25000,18.25000,18.25000,18.25000,600,18.25000
BRGXF,20090910,18.53001,18.65000,18.53001,18.65000,1400,18.65000
BRGXF,20090915,18.40000,18.40000,18.40000,18.40000,200,18.40000
BRGXF,20090916,19.23000,19.23000,19.23000,19.23000,200,19.23000
BRGXF,20090922,18.30000,18.30000,18.00000,18.00000,5100,18.00000
BRGXF,20090923,18.05000,18.05000,18.05000,18.05000,200,18.05000
BRGXF,20090925,17.60001,17.60001,17.60001,17.60001,600,17.60001
BRGXF,20090928,17.27001,17.46000,17.15000,17.15000,6300,17.15000
BRGXF,20090929,17.25000,17.65000,17.25000,17.65000,700,17.65000
BRGXF,20091005,16.80000,16.80000,16.80000,16.80000,1800,16.80000
BRGXF,20091006,17.38000,17.38000,17.38000,17.38000,5000,17.38000
BRGXF,20091009,17.40000,17.40000,17.40000,17.40000,300,17.40000
BRGXF,20091012,17.57000,17.57000,17.57000,17.57000,600,17.57000
BRGXF,20091013,17.50000,17.50000,17.50000,17.50000,600,17.50000
BRGXF,20091020,18.80000,18.80000,18.75000,18.75000,500,18.75000
BRGXF,20091021,19.25000,19.25000,19.25000,19.25000,500,19.25000
BRGXF,20091023,19.14000,19.14000,19.14000,19.14000,1500,19.14000
BRGXF,20091026,18.95001,18.95001,18.05000,18.95001,500,18.95001
BRGXF,20091027,18.80000,18.80000,18.80000,18.80000,200,18.80000
BRGXF,20091029,18.00000,18.00000,18.00000,18.00000,1000,18.00000
BRGXF,20091104,18.22000,18.22000,17.70001,17.70001,3200,17.70001
BRGXF,20091109,18.43001,18.43001,18.43001,18.43001,1700,18.43001
BRGXF,20091112,16.20001,16.20001,16.20001,16.20001,500,16.20001
BRGXF,20091116,18.90000,18.90000,18.90000,18.90000,100,18.90000
BRGXF,20091120,18.80000,18.80000,18.80000,18.80000,200,18.80000
BRGXF,20091123,19.15000,19.15000,19.15000,19.15000,150200,19.15000
BRGXF,20091124,19.05000,19.05000,19.05000,19.05000,200,19.05000
BRGXF,20091208,17.85001,17.85001,17.85001,17.85001,200,17.85001
BRGXF,20091210,17.52001,17.52001,17.52001,17.52001,400,17.52001
BRGXF,20091216,18.05000,18.05000,18.05000,18.05000,305000,18.05000
BRGXF,20091222,17.90000,17.90000,17.57000,17.85001,1000,17.85001
BRGXF,20100105,18.45001,18.75000,18.45001,18.75000,600,18.75000
BRGXF,20100106,18.70001,18.70001,18.70001,18.70001,100,18.70001
BRGXF,20100111,19.84001,19.84001,19.65000,19.65000,1000,19.65000
BRGXF,20100112,19.85001,19.85001,19.85001,19.85001,800,19.85001
BRGXF,20100119,20.15000,20.15000,19.80000,19.80000,3000,19.80000
BRGXF,20100125,19.25000,19.25000,19.25000,19.25000,300,19.25000
BRGXF,20100203,18.60001,18.60001,18.60001,18.60001,600,18.60001
BRGXF,20100209,17.45001,17.55000,17.45001,17.55000,8000,17.55000
BRGXF,20100211,18.10001,18.10001,18.10001,18.10001,200,18.10001
BRGXF,20100212,18.00000,18.00000,18.00000,18.00000,200,18.00000
BRGXF,20100225,17.28001,17.28001,17.28001,17.28001,200,17.28001
BRGXF,20100301,17.45001,17.45001,17.45001,17.45001,200,17.45001
BRGXF,20100302,17.78001,17.78001,17.78001,17.78001,800,17.78001
BRGXF,20100305,17.50000,17.50000,17.50000,17.50000,2000,17.50000
BRGXF,20100308,18.00000,18.00000,18.00000,18.00000,200,18.00000
BRGXF,20100312,17.50000,17.90000,17.50000,17.90000,500,17.90000
BRGXF,20100315,17.60001,17.60001,17.60001,17.60001,1000,17.60001
BRGXF,20100317,18.15000,18.15000,18.15000,18.15000,200,18.15000
BRGXF,20100319,18.20001,18.20001,17.95001,17.95001,600,17.95001
BRGXF,20100322,17.80000,17.80000,17.80000,17.80000,200,17.80000
BRGXF,20100324,17.60001,17.60001,17.55000,17.55000,400,17.55000
BRGXF,20100326,16.50000,17.60001,16.50000,17.60001,700,17.60001
BRGXF,20100330,17.30000,17.30000,16.95001,16.95001,400,16.95001
BRGXF,20100401,17.70001,17.70001,17.70001,17.70001,200,17.70001
BRGXF,20100409,17.70001,17.80000,17.70001,17.80000,1700,17.80000
BRGXF,20100414,17.82000,17.82000,17.82000,17.82000,1200,17.82000
BRGXF,20100415,18.02001,18.02001,18.02001,18.02001,400,18.02001
BRGXF,20100426,17.00000,17.00000,17.00000,17.00000,400,17.00000
BRGXF,20100429,17.01001,17.01001,17.01001,17.01001,500,17.01001
BRGXF,20100430,17.04001,17.50000,17.04001,17.50000,1900,17.50000
BRGXF,20100506,15.50000,15.50000,15.50000,15.50000,1700,15.50000
BRGXF,20100513,15.77001,15.77001,15.77001,15.77001,3100,15.77001
BRGXF,20100514,15.50000,15.50000,14.80001,14.80001,900,14.80001
BRGXF,20100520,14.30001,14.30001,14.30001,14.30001,200,14.30001
BRGXF,20100521,14.35001,14.35001,14.35001,14.35001,300,14.35001
BRGXF,20100527,15.35001,15.35001,15.35001,15.35001,4500,15.35001
BRGXF,20100607,14.95000,14.95000,14.95000,14.95000,300,14.95000
BRGXF,20100615,16.30000,16.30000,16.30000,16.30000,300,16.30000
BRGXF,20100616,16.50000,16.50000,16.50000,16.50000,200,16.50000
BRGXF,20100617,16.58000,16.58000,16.58000,16.58000,500,16.58000
BRGXF,20100624,15.85001,15.85001,15.85001,15.85001,1500,15.85001
BRGXF,20100625,15.55001,15.55001,15.55001,15.55001,1400,15.55001
BRGXF,20100630,14.85001,14.85001,14.85001,14.85001,700,14.85001
BRGXF,20100702,15.40000,15.40000,15.40000,15.40000,600,15.40000
BRGXF,20100709,16.20001,16.20001,16.20001,16.20001,500,16.20001
BRGXF,20100712,16.20001,16.20001,16.20001,16.20001,300,16.20001
BRGXF,20100713,16.40000,16.40000,16.40000,16.40000,700,16.40000
BRGXF,20100719,16.00000,16.00000,15.90000,15.90000,700,15.90000
BRGXF,20100820,16.70001,16.70001,16.70001,16.70001,600,16.70001
BRGXF,20100901,16.50000,16.50000,16.50000,16.50000,900,16.50000
BRGXF,20100910,16.90000,16.90000,16.90000,16.90000,500,16.90000
BRGXF,20100916,17.18001,17.18001,17.18001,17.18001,200,17.18001
BRGXF,20100920,17.18001,17.18001,17.00000,17.00000,17400,17.00000
BRGXF,20100921,17.46000,17.46000,17.46000,17.46000,17300,17.46000
BRGXF,20100929,17.80000,17.80000,17.80000,17.80000,300,17.80000
BRGXF,20100930,17.45001,17.45001,17.45001,17.45001,300,17.45001
BRGXF,20101004,18.35001,18.35001,18.35001,18.35001,800,18.35001
BRGXF,20101006,18.50000,18.50000,18.50000,18.50000,1600,18.50000
BRGXF,20101014,18.74000,18.74000,18.74000,18.74000,109100,18.74000
BRGXF,20101015,18.55000,18.55000,18.55000,18.55000,400,18.55000
BRGXF,20101022,18.86001,18.86001,18.86001,18.86001,2700,18.86001
BRGXF,20101025,18.65000,18.65000,18.65000,18.65000,800,18.65000
BRGXF,20101101,19.77001,19.77001,19.77001,19.77001,300,19.77001
BRGXF,20101102,20.10001,20.10001,20.10001,20.10001,4000,20.10001
BRGXF,20101103,20.00000,20.00000,20.00000,20.00000,900,20.00000
BRGXF,20101104,20.70001,21.20001,20.70001,21.20001,10500,21.20001
BRGXF,20101105,20.85001,20.85001,20.85001,20.85001,200,20.85001
BRGXF,20101111,20.45001,20.55000,20.45001,20.50000,2500,20.50000
BRGXF,20101206,19.70001,19.70001,19.70001,19.70001,200,19.70001
BRGXF,20101209,20.89000,20.89000,20.89000,20.89000,2400,20.89000
BRGXF,20101213,20.70001,20.70001,20.70001,20.70001,1100,20.70001
BRGXF,20101215,20.25000,20.25000,20.15000,20.15000,1000,20.15000
BRGXF,20101216,20.40000,20.40000,20.40000,20.40000,4000,20.40000
BRGXF,20101220,21.20001,21.20001,21.20001,21.20001,500,21.20001
BRGXF,20101221,20.15000,20.15000,20.15000,20.15000,500,20.15000
