Ticker,Date,Open,High,Low,Close,Volume,Open Interest
BSHI,19990609,2.25000,2.50000,2.12500,2.50000,7000,2.50000
BSHI,19990610,2.25000,2.25000,2.25000,2.25000,200,2.25000
BSHI,19990611,2.25000,2.25000,2.25000,2.25000,200,2.25000
BSHI,19990615,2.37500,2.37500,2.37500,2.37500,100,2.37500
BSHI,19990616,2.37500,2.37500,2.37500,2.37500,300,2.37500
BSHI,19990617,2.37500,2.37500,2.37500,2.37500,200,2.37500
BSHI,19990621,2.37500,2.50000,2.37500,2.50000,800,2.50000
BSHI,19990622,2.50000,2.50000,2.50000,2.50000,1000,2.50000
BSHI,19990623,2.50000,2.50000,2.50000,2.50000,700,2.50000
BSHI,19990625,2.56250,2.56250,2.56250,2.56250,700,2.56250
BSHI,19990702,2.56250,2.62500,2.56250,2.62500,500,2.62500
BSHI,19990706,2.75000,3.00000,2.75000,3.00000,1400,3.00000
BSHI,19990707,2.75000,3.00000,2.75000,2.87500,2800,2.87500
BSHI,19990708,3.12500,3.12500,3.06250,3.06250,3600,3.06250
BSHI,19990709,3.06250,3.25000,3.06250,3.25000,7500,3.25000
BSHI,19990712,3.25000,3.31250,3.25000,3.25000,11900,3.25000
BSHI,19990713,3.25000,3.25000,3.25000,3.25000,100,3.25000
BSHI,19990714,3.50000,3.50000,3.50000,3.50000,100,3.50000
BSHI,19990715,3.37500,3.50000,3.37500,3.50000,1100,3.50000
BSHI,19990716,3.50000,3.75000,3.50000,3.75000,15000,3.75000
BSHI,19990719,3.81250,3.81250,3.50000,3.50000,700,3.50000
BSHI,19990720,3.50000,3.50000,3.50000,3.50000,1000,3.50000
BSHI,19990721,3.56250,3.56250,3.50000,3.56250,6500,3.56250
BSHI,19990722,3.62500,3.62500,3.62500,3.62500,800,3.62500
BSHI,19990726,3.37500,3.37500,3.37500,3.37500,2100,3.37500
BSHI,19990727,3.43750,3.43750,3.37500,3.37500,6100,3.37500
BSHI,19990728,3.31250,3.31250,3.31250,3.31250,1000,3.31250
BSHI,19990729,3.31250,3.31250,3.12500,3.12500,4200,3.12500
BSHI,19990803,3.12500,3.18750,2.75000,2.75000,20900,2.75000
BSHI,19990805,2.75000,2.75000,2.75000,2.75000,1200,2.75000
BSHI,19990806,2.68750,2.75000,2.68750,2.75000,5600,2.75000
BSHI,19990811,2.68750,2.68750,2.68750,2.68750,100,2.68750
BSHI,19990812,2.68750,2.68750,2.68750,2.68750,200,2.68750
BSHI,19990813,2.68750,2.68750,2.68750,2.68750,300,2.68750
BSHI,19990817,2.68750,2.68750,2.68750,2.68750,200,2.68750
BSHI,19990818,2.68750,2.68750,2.68750,2.68750,1600,2.68750
BSHI,19990819,2.81250,3.12500,2.81250,3.12500,10000,3.12500
BSHI,19990820,3.12500,3.12500,3.12500,3.12500,200,3.12500
BSHI,19990823,3.12500,3.31250,2.87500,3.31250,8000,3.31250
BSHI,19990824,3.12500,3.12500,3.12500,3.12500,3900,3.12500
BSHI,19990825,3.25000,3.25000,3.06250,3.06250,600,3.06250
BSHI,19990826,3.12500,3.12500,3.12500,3.12500,100,3.12500
BSHI,19990827,3.12500,3.12500,3.12500,3.12500,1000,3.12500
BSHI,19990901,3.00000,3.12500,3.00000,3.12500,5700,3.12500
BSHI,19990903,3.25000,3.31250,3.18750,3.31250,17400,3.31250
BSHI,19990907,3.18750,3.31250,3.18750,3.31250,2600,3.31250
BSHI,19990908,3.31250,3.31250,3.25000,3.25000,10100,3.25000
BSHI,19990909,3.31250,3.31250,3.31250,3.31250,600,3.31250
BSHI,19990910,3.31250,3.37500,3.31250,3.37500,9100,3.37500
BSHI,19990914,3.25000,3.37500,3.18750,3.31250,103900,3.31250
BSHI,19990915,3.25000,3.31250,3.25000,3.31250,4900,3.31250
BSHI,19990916,3.31250,3.31250,3.31250,3.31250,300,3.31250
BSHI,19990917,3.37500,3.37500,3.37500,3.37500,3000,3.37500
BSHI,19990921,3.31250,3.31250,3.31250,3.31250,200,3.31250
BSHI,19990922,3.31250,3.31250,3.31250,3.31250,1000,3.31250
BSHI,19990924,3.31250,3.31250,3.25000,3.31250,8700,3.31250
BSHI,19990927,3.31250,3.31250,3.31250,3.31250,1300,3.31250
BSHI,19990928,3.31250,3.31250,3.31250,3.31250,100,3.31250
BSHI,19990929,3.31250,3.31250,3.31250,3.31250,1300,3.31250
BSHI,19990930,3.37500,3.75000,3.31250,3.75000,20200,3.75000
BSHI,19991001,3.56250,3.56250,3.56250,3.56250,300,3.56250
BSHI,19991004,3.75000,3.75000,3.75000,3.75000,500,3.75000
BSHI,19991005,3.68750,3.68750,3.68750,3.68750,200,3.68750
BSHI,19991006,3.75000,3.75000,3.75000,3.75000,100,3.75000
BSHI,19991007,3.75000,3.75000,3.75000,3.75000,500,3.75000
BSHI,19991008,3.75000,3.75000,3.75000,3.75000,400,3.75000
BSHI,19991011,3.75000,3.75000,3.75000,3.75000,100,3.75000
BSHI,19991013,3.75000,3.93750,3.75000,3.93750,6000,3.93750
BSHI,19991014,3.87500,3.87500,3.87500,3.87500,600,3.87500
BSHI,19991015,3.87500,4.00000,3.87500,4.00000,6200,4.00000
BSHI,19991018,3.96876,4.00000,3.96876,4.00000,600,4.00000
BSHI,19991019,4.06250,4.25000,4.00000,4.25000,55200,4.25000
BSHI,19991020,4.50000,4.56250,4.50000,4.56250,2000,4.56250
BSHI,19991021,4.62500,4.62500,4.50000,4.62500,900,4.62500
BSHI,19991022,4.62500,4.62500,4.62500,4.62500,1000,4.62500
BSHI,19991025,4.56250,4.56250,4.56250,4.56250,100,4.56250
BSHI,19991026,4.56250,4.56250,4.56250,4.56250,1200,4.56250
BSHI,19991027,4.56250,4.68750,4.56250,4.56250,8900,4.56250
BSHI,19991028,4.68750,4.68750,4.68750,4.68750,5100,4.68750
BSHI,19991029,4.56250,4.56250,4.56250,4.56250,800,4.56250
BSHI,19991101,4.56250,4.56250,4.56250,4.56250,100,4.56250
BSHI,19991102,4.56250,4.56250,4.56250,4.56250,100,4.56250
BSHI,19991103,4.56250,4.56250,4.56250,4.56250,100,4.56250
BSHI,19991104,4.56250,4.56250,4.56250,4.56250,700,4.56250
BSHI,19991105,4.56250,4.75000,4.50000,4.68750,12500,4.68750
BSHI,19991108,4.50000,4.50000,4.50000,4.50000,3000,4.50000
BSHI,19991109,4.75000,4.75000,4.75000,4.75000,2000,4.75000
BSHI,19991110,4.81250,4.81250,4.81250,4.81250,400,4.81250
BSHI,19991111,4.50000,4.50000,4.50000,4.50000,2800,4.50000
BSHI,19991112,4.50000,4.50000,4.50000,4.50000,1500,4.50000
BSHI,19991115,4.50000,4.81250,4.50000,4.75000,9400,4.75000
BSHI,19991116,4.68750,4.68750,4.68750,4.68750,100,4.68750
BSHI,19991117,4.81250,5.12500,4.81250,5.12500,5600,5.12500
BSHI,19991118,4.87500,5.12500,4.87500,5.12500,500,5.12500
BSHI,19991119,4.87500,4.87500,4.87500,4.87500,100,4.87500
BSHI,19991123,4.87500,4.87500,4.87500,4.87500,100,4.87500
BSHI,19991124,4.87500,4.87500,4.87500,4.87500,9500,4.87500
BSHI,19991129,4.87500,4.87500,4.87500,4.87500,2000,4.87500
BSHI,19991130,4.87500,4.87500,4.87500,4.87500,500,4.87500
BSHI,19991201,4.87500,5.00000,4.87500,5.00000,7100,5.00000
BSHI,19991203,4.87500,5.00000,4.87500,5.00000,9100,5.00000
BSHI,19991206,4.87500,4.87500,4.87500,4.87500,500,4.87500
BSHI,19991207,4.87500,5.00000,4.87500,5.00000,5100,5.00000
BSHI,19991208,4.87500,5.00000,4.87500,4.87500,2600,4.87500
BSHI,19991209,4.87500,4.87500,4.87500,4.87500,500,4.87500
BSHI,19991210,4.87500,5.00000,4.62500,4.62500,24900,4.62500
BSHI,19991213,4.62500,4.75000,4.37500,4.37500,10000,4.37500
BSHI,19991215,4.37500,4.50000,4.37500,4.50000,9000,4.50000
BSHI,19991216,4.25000,4.37500,4.12500,4.12500,14400,4.12500
BSHI,19991217,4.25000,4.25000,4.12500,4.25000,10900,4.25000
BSHI,19991220,3.87500,3.87500,3.87500,3.87500,300,3.87500
BSHI,19991221,3.87500,3.87500,3.87500,3.87500,2000,3.87500
BSHI,19991222,3.81250,3.81250,3.81250,3.81250,1100,3.81250
BSHI,19991223,3.81250,3.87500,3.81250,3.87500,6700,3.87500
BSHI,19991227,3.81250,3.81250,3.81250,3.81250,4900,3.81250
BSHI,19991228,3.75000,3.75000,3.75000,3.75000,300,3.75000
BSHI,19991229,3.75000,3.75000,3.75000,3.75000,1500,3.75000
BSHI,19991230,3.87500,3.87500,3.62500,3.62500,8400,3.62500
BSHI,19991231,3.75000,3.75000,3.62500,3.62500,3700,3.62500
BSHI,20000103,3.62500,3.62500,3.62500,3.62500,700,3.62500
BSHI,20000104,3.62500,3.62500,3.62500,3.62500,1000,3.62500
BSHI,20000105,3.75000,3.75000,3.62500,3.75000,5000,3.75000
BSHI,20000107,3.75000,3.75000,3.50000,3.50000,1100,3.50000
BSHI,20000110,3.62500,3.75000,3.62500,3.75000,2500,3.75000
BSHI,20000111,3.75000,3.75000,3.75000,3.75000,1300,3.75000
BSHI,20000112,3.87500,4.00000,3.81250,4.00000,6400,4.00000
BSHI,20000113,3.87500,3.87500,3.87500,3.87500,100,3.87500
BSHI,20000114,3.87500,3.87500,3.87500,3.87500,1100,3.87500
BSHI,20000118,3.87500,3.87500,3.87500,3.87500,100,3.87500
BSHI,20000119,4.00000,4.12500,4.00000,4.12500,12000,4.12500
BSHI,20000121,4.37500,4.37500,4.25000,4.25000,1600,4.25000
BSHI,20000124,4.25000,4.25000,4.25000,4.25000,900,4.25000
BSHI,20000125,4.25000,4.25000,4.25000,4.25000,4700,4.25000
BSHI,20000126,4.25000,4.37500,4.25000,4.37500,3000,4.37500
BSHI,20000127,4.50000,4.50000,4.37500,4.37500,2300,4.37500
BSHI,20000128,4.37500,4.37500,4.37500,4.37500,2000,4.37500
BSHI,20000131,4.37500,4.37500,4.37500,4.37500,100,4.37500
BSHI,20000201,4.37500,4.50000,4.37500,4.50000,9500,4.50000
BSHI,20000202,4.37500,4.37500,4.37500,4.37500,100,4.37500
BSHI,20000203,4.37500,4.37500,4.37500,4.37500,3000,4.37500
