Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CGLJF,20110104,0.08000,0.09001,0.08000,0.09001,3000,0.09001
CGLJF,20110105,0.08000,0.08000,0.08000,0.08000,10000,0.08000
CGLJF,20110107,0.08000,0.08000,0.08000,0.08000,7700,0.08000
CGLJF,20110111,0.08101,0.08101,0.08101,0.08101,10000,0.08101
CGLJF,20110118,0.09100,0.09100,0.09100,0.09100,7000,0.09100
CGLJF,20110125,0.07501,0.07501,0.07300,0.07300,13000,0.07300
CGLJF,20110126,0.06200,0.06200,0.06000,0.06000,20000,0.06000
CGLJF,20110127,0.06000,0.07300,0.06000,0.07300,14000,0.07300
CGLJF,20110128,0.06701,0.06701,0.06701,0.06701,20000,0.06701
CGLJF,20110131,0.07001,0.07001,0.06500,0.06500,32000,0.06500
CGLJF,20110201,0.05500,0.06000,0.05500,0.06000,87500,0.06000
CGLJF,20110202,0.06101,0.06101,0.06101,0.06101,10000,0.06101
CGLJF,20110203,0.05601,0.05800,0.05500,0.05500,113000,0.05500
CGLJF,20110204,0.05800,0.05800,0.05800,0.05800,10000,0.05800
CGLJF,20110211,0.05500,0.05800,0.05500,0.05800,60000,0.05800
CGLJF,20110214,0.05800,0.05800,0.05800,0.05800,10000,0.05800
CGLJF,20110217,0.05300,0.05300,0.05100,0.05100,6000,0.05100
CGLJF,20110218,0.05300,0.05300,0.05300,0.05300,32500,0.05300
CGLJF,20110222,0.05300,0.05300,0.05100,0.05100,7000,0.05100
CGLJF,20110223,0.05500,0.06301,0.05500,0.06301,38500,0.06301
CGLJF,20110224,0.07501,0.07501,0.07501,0.07501,3200,0.07501
CGLJF,20110225,0.10200,0.10701,0.09701,0.09701,197500,0.09701
