Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CGPVF,20070919,302.00000,302.50000,302.00000,302.00000,2100,302.00000
CGPVF,20071003,303.25000,303.25000,303.25000,303.25000,700,303.25000
CGPVF,20071018,330.00000,330.00000,330.00000,330.00000,100,330.00000
CGPVF,20071119,265.69001,265.69001,264.96000,265.69001,600,265.69001
CGPVF,20071205,302.04999,302.15000,302.04999,302.04999,3000,302.04999
CGPVF,20080122,223.38001,223.38001,222.00000,223.38001,700,223.38001
CGPVF,20080305,248.57001,248.64000,248.57001,248.57001,6000,248.57001
CGPVF,20080428,260.00000,260.00000,260.00000,260.00000,100,260.00000
CGPVF,20080429,246.00000,246.00000,246.00000,246.00000,100,246.00000
CGPVF,20080501,248.00000,248.00000,248.00000,248.00000,200,248.00000
CGPVF,20080506,258.65000,258.65000,258.65000,258.65000,200,258.65000
CGPVF,20080513,268.50000,268.50000,268.50000,268.50000,200,268.50000
CGPVF,20080519,266.00000,266.00000,266.00000,266.00000,200,266.00000
CGPVF,20080521,283.00000,283.00000,283.00000,283.00000,100,283.00000
CGPVF,20080522,282.50000,282.50000,282.50000,282.50000,200,282.50000
CGPVF,20080603,55.50000,55.50000,55.50000,55.50000,200,55.50000
CGPVF,20080610,50.65001,50.65001,50.65001,50.65001,500,50.65001
CGPVF,20080617,46.84001,46.84001,46.84001,46.84001,500,46.84001
CGPVF,20080703,40.50000,40.50000,40.50000,40.50000,500,40.50000
CGPVF,20080715,35.00000,35.00000,34.75000,35.00000,1000,35.00000
CGPVF,20080804,36.93001,36.93001,36.93001,36.93001,10000,36.93001
CGPVF,20080806,36.54001,36.54001,36.54001,36.54001,13600,36.54001
CGPVF,20080808,37.00000,37.00000,37.00000,37.00000,100,37.00000
CGPVF,20080821,40.50000,40.50000,40.45001,40.50000,5600,40.50000
CGPVF,20080822,39.75000,39.75000,39.65001,39.75000,2700,39.75000
CGPVF,20080827,39.80000,39.80000,39.80000,39.80000,400,39.80000
CGPVF,20080903,36.80000,36.80000,36.80000,36.80000,400,36.80000
CGPVF,20080918,31.75000,31.75000,31.70001,31.75000,700,31.75000
CGPVF,20080919,35.22001,35.22001,35.22001,35.22001,170000,35.22001
