Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CLNW,19970509,6.75000,7.26564,6.75000,6.75000,8500,2.25000
CLNW,19970515,6.75000,6.89064,6.75000,6.89064,7167,2.29689
CLNW,19970519,6.89064,6.89064,6.75000,6.75000,1500,2.25000
CLNW,19970520,6.89064,6.89064,6.75000,6.75000,5334,2.25000
CLNW,19970521,6.75000,6.75000,6.75000,6.75000,1167,2.25000
CLNW,19970522,6.75000,6.75000,6.75000,6.75000,2000,2.25000
CLNW,19970527,6.75000,6.75000,6.37500,6.75000,2167,2.25000
CLNW,19970528,6.00000,6.00000,6.00000,6.00000,334,2.00000
CLNW,19970602,6.00000,6.00000,5.62500,5.62500,8167,1.87500
CLNW,19970603,5.62500,6.14064,5.01564,6.14064,30300,2.04689
CLNW,19970604,6.00000,6.00000,6.00000,6.00000,3500,2.00000
CLNW,19970605,6.00000,6.14064,6.00000,6.00000,9667,2.00000
CLNW,19970606,6.00000,6.14064,6.00000,6.00000,4334,2.00000
CLNW,19970609,6.14064,6.14064,5.62500,5.76564,6100,1.92189
CLNW,19970610,5.62500,5.62500,4.87500,5.25000,10667,1.75000
CLNW,19970611,5.39064,5.76564,5.39064,5.76564,6667,1.92189
CLNW,19970612,6.00000,6.37500,6.00000,6.37500,4700,2.12500
CLNW,19970616,5.76564,6.37500,5.76564,6.37500,2967,2.12500
CLNW,19970617,5.62500,5.62500,5.62500,5.62500,334,1.87500
CLNW,19970618,5.76564,6.00000,5.76564,6.00000,3834,2.00000
CLNW,19970620,5.62500,6.37500,5.62500,6.37500,3500,2.12500
CLNW,19970625,6.00000,6.00000,6.00000,6.00000,334,2.00000
CLNW,19970626,5.62500,5.62500,5.62500,5.62500,334,1.87500
CLNW,19970702,5.39064,5.39064,5.25000,5.39064,2000,1.79689
CLNW,19970707,5.62500,5.62500,5.25000,5.25000,3500,1.75000
CLNW,19970708,5.62500,5.62500,5.62500,5.62500,500,1.87500
CLNW,19970711,5.39064,5.62500,5.25000,5.25000,6167,1.75000
CLNW,19970715,5.62500,5.62500,5.25000,5.25000,1200,1.75000
CLNW,19970716,5.39064,5.62500,5.39064,5.39064,20500,1.79689
CLNW,19970717,5.62500,5.76564,5.39064,5.62500,11334,1.87500
CLNW,19970718,5.76564,8.25000,5.76564,7.50000,12334,2.50000
CLNW,19970721,8.25000,9.00000,8.25000,8.76565,4700,2.92189
CLNW,19970722,8.76565,8.76565,8.25000,8.25000,6467,2.75000
CLNW,19970724,8.25000,9.00000,8.01565,9.00000,7234,3.00000
CLNW,19970725,9.00000,9.14065,9.00000,9.00000,5500,3.00000
CLNW,19970728,8.62500,9.37500,8.62500,9.37500,1934,3.12500
CLNW,19970729,9.37500,9.37500,8.62500,8.62500,16667,2.87500
CLNW,19970730,9.00000,9.00000,9.00000,9.00000,2334,3.00000
CLNW,19970731,9.14065,10.87500,9.14065,10.87500,43134,3.62500
CLNW,19970801,10.87500,10.87500,10.87500,10.87500,4834,3.62500
CLNW,19970804,11.25000,11.25000,10.87500,11.01565,10867,3.67189
CLNW,19970805,11.01565,11.01565,11.01565,11.01565,10834,3.67189
CLNW,19970806,11.62500,11.62500,11.01565,11.01565,5367,3.67189
CLNW,19970807,11.25000,11.25000,10.87500,10.87500,3234,3.62500
CLNW,19970808,10.73440,11.25000,10.73440,11.25000,1834,3.75000
CLNW,19970811,11.62500,11.62500,11.25000,11.25000,534,3.75000
CLNW,19970812,10.87500,11.25000,10.87500,10.87500,1000,3.62500
CLNW,19970813,11.62500,11.62500,10.87500,10.87500,2000,3.62500
CLNW,19970814,10.64065,10.64065,10.64065,10.64065,8967,3.54689
CLNW,19970815,10.50000,10.50000,10.12500,10.12500,5634,3.37500
CLNW,19970818,9.75000,10.26565,9.75000,10.26565,20534,3.42189
CLNW,19970819,9.75000,9.75000,9.75000,9.75000,334,3.25000
CLNW,19970820,9.75000,9.75000,9.75000,9.75000,467,3.25000
CLNW,19970822,9.75000,9.75000,8.62500,9.00000,5000,3.00000
CLNW,19970825,9.75000,9.75000,8.62500,8.62500,734,2.87500
CLNW,19970826,9.00000,9.00000,8.62500,8.62500,2167,2.87500
CLNW,19970827,9.00000,9.37500,9.00000,9.37500,1834,3.12500
CLNW,19970828,9.00000,9.37500,9.00000,9.37500,1000,3.12500
CLNW,19970829,9.00000,9.00000,8.62500,9.00000,4167,3.00000
CLNW,19970902,9.00000,9.37500,9.00000,9.00000,4167,3.00000
CLNW,19970903,9.00000,9.00000,8.25000,8.25000,9167,2.75000
CLNW,19970904,8.25000,8.62500,8.25000,8.62500,11667,2.87500
CLNW,19970905,8.25000,8.25000,8.25000,8.25000,1667,2.75000
CLNW,19970910,7.50000,8.25000,7.50000,7.50000,3334,2.50000
CLNW,19970911,8.25000,8.25000,8.25000,8.25000,3334,2.75000
CLNW,19970912,8.76565,8.76565,8.25000,8.76565,2000,2.92189
CLNW,19970915,8.25000,8.25000,8.25000,8.25000,400,2.75000
CLNW,19970916,8.25000,9.37500,8.25000,9.37500,3067,3.12500
CLNW,19970917,9.75000,9.89065,9.00000,9.75000,10967,3.25000
CLNW,19970918,10.35940,11.25000,10.35940,10.35940,7500,3.45314
CLNW,19970919,10.35940,10.35940,10.35940,10.35940,667,3.45314
CLNW,19970922,10.87500,11.62500,10.87500,10.87500,3667,3.62500
CLNW,19970923,10.50000,11.25000,10.12500,10.50000,2767,3.50000
CLNW,19970924,9.00000,9.37500,9.00000,9.00000,1667,3.00000
CLNW,19970925,9.51565,9.51565,9.51565,9.51565,134,3.17189
CLNW,19970926,9.89065,9.89065,9.89065,9.89065,1234,3.29689
CLNW,19970929,9.89065,9.89065,9.89065,9.89065,334,3.29689
CLNW,19970930,10.12500,10.12500,10.12500,10.12500,500,3.37500
CLNW,19971001,9.14065,9.37500,9.14065,9.14065,2500,3.04689
CLNW,19971003,9.75000,10.64065,9.37500,9.75000,3200,3.25000
CLNW,19971007,9.51565,9.75000,9.51565,9.51565,10900,3.17189
CLNW,19971008,9.51565,9.51565,9.51565,9.51565,734,3.17189
CLNW,19971010,9.51565,9.51565,9.51565,9.51565,134,3.17189
CLNW,19971014,9.51565,9.51565,9.51565,9.51565,34,3.17189
CLNW,19971015,10.26565,10.26565,9.51565,10.26565,834,3.42189
CLNW,19971017,9.51565,9.51565,9.51565,9.51565,334,3.17189
CLNW,19971020,8.76565,9.37500,8.76565,8.76565,4667,2.92189
CLNW,19971021,8.25000,8.25000,8.25000,8.25000,467,2.75000
CLNW,19971027,8.76565,8.76565,8.76565,8.76565,167,2.92189
CLNW,19971029,7.87500,7.87500,7.87500,7.87500,334,2.62500
CLNW,19971031,7.50000,7.50000,7.50000,7.50000,167,2.50000
CLNW,19971106,8.01565,8.01565,8.01565,8.01565,2334,2.67189
CLNW,19971107,7.26564,7.50000,7.12500,7.26564,2334,2.42189
CLNW,19971111,7.64064,7.64064,7.64064,7.64064,134,2.54689
CLNW,19971112,6.00000,7.12500,6.00000,6.00000,3967,2.00000
CLNW,19971117,5.01564,5.25000,4.87500,5.01564,5334,1.67189
CLNW,19971118,6.89064,6.89064,4.26564,6.89064,40667,2.29689
CLNW,19971119,7.12500,7.12500,6.75000,7.12500,9667,2.37500
CLNW,19971120,6.75000,7.50000,6.75000,6.75000,4000,2.25000
CLNW,19971121,6.89064,6.89064,6.89064,6.89064,534,2.29689
CLNW,19971124,6.75000,6.89064,6.75000,6.75000,3334,2.25000
CLNW,19971128,6.14064,6.75000,6.14064,6.14064,1500,2.04689
