Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CSOF,20020516,5.26001,5.75000,5.25000,5.32001,127700,5.32001
CSOF,20020517,5.34001,5.40001,5.27000,5.37000,118400,5.37000
CSOF,20020520,5.37000,5.37000,5.27000,5.27000,28900,5.27000
CSOF,20020521,5.27000,5.29000,5.27000,5.28001,26200,5.28001
CSOF,20020522,5.27000,5.30001,5.27000,5.27000,9200,5.27000
CSOF,20020523,5.27000,5.28001,5.27000,5.27000,12700,5.27000
CSOF,20020524,5.27000,5.32001,5.27000,5.27000,12100,5.27000
CSOF,20020528,5.32001,5.32001,5.27000,5.27000,10200,5.27000
CSOF,20020529,5.27000,5.27000,5.27000,5.27000,12800,5.27000
CSOF,20020530,5.28001,5.33000,5.27000,5.33000,13200,5.33000
CSOF,20020531,5.27000,5.34001,5.27000,5.27000,18100,5.27000
CSOF,20020603,5.34001,5.35000,5.27000,5.27000,23600,5.27000
CSOF,20020604,5.35000,5.35000,5.27000,5.27000,4800,5.27000
CSOF,20020605,5.27000,5.40001,5.27000,5.30001,32300,5.30001
CSOF,20020606,5.30001,5.55001,5.30001,5.45000,38000,5.45000
CSOF,20020607,5.45000,5.49000,5.30001,5.30001,38600,5.30001
CSOF,20020610,5.36001,5.41000,5.30001,5.31000,8600,5.31000
CSOF,20020611,5.35000,5.40001,5.30001,5.34001,3800,5.34001
CSOF,20020612,5.30001,5.45000,5.30001,5.30001,15000,5.30001
CSOF,20020613,5.30001,5.45000,5.30001,5.37500,12200,5.37500
CSOF,20020614,5.30001,5.43500,5.30001,5.30001,10100,5.30001
CSOF,20020617,5.30001,5.35000,5.30001,5.30001,8300,5.30001
CSOF,20020618,5.45000,5.45000,5.30001,5.30001,7000,5.30001
CSOF,20020619,5.45000,5.45000,5.30001,5.30001,12900,5.30001
CSOF,20020620,5.30001,5.35000,5.10000,5.30001,42400,5.30001
CSOF,20020621,5.30001,5.40001,5.30001,5.30001,13500,5.30001
CSOF,20020624,5.30001,5.40001,5.30001,5.30001,14000,5.30001
CSOF,20020625,5.30001,5.49000,5.30001,5.45000,32900,5.45000
CSOF,20020626,5.30001,5.60000,5.30001,5.30001,14000,5.30001
CSOF,20020627,5.40001,5.85000,5.29000,5.29000,3600,5.29000
CSOF,20020628,5.29000,5.60000,5.29000,5.55001,10900,5.55001
CSOF,20020701,5.54751,5.55001,5.30001,5.31000,6300,5.31000
CSOF,20020702,5.45000,5.45000,4.81000,4.83000,14000,4.83000
CSOF,20020703,4.98001,5.02000,3.75000,4.11001,10500,4.11001
CSOF,20020705,4.99000,5.35000,4.98601,5.00000,4500,5.00000
CSOF,20020708,5.01001,5.01001,4.81000,4.81000,700,4.81000
CSOF,20020709,4.81000,4.81000,4.61001,4.61001,1200,4.61001
CSOF,20020710,4.31000,4.95000,4.20000,4.95000,10300,4.95000
CSOF,20020711,4.58000,4.58000,3.95001,3.95001,6400,3.95001
CSOF,20020712,4.44001,4.70000,4.44001,4.70000,4500,4.70000
CSOF,20020716,4.50000,4.50000,4.04000,4.04000,5300,4.04000
CSOF,20020717,4.22000,4.22000,4.05001,4.05001,5200,4.05001
CSOF,20020718,4.05001,4.25000,3.99001,4.25000,1700,4.25000
CSOF,20020719,4.01001,4.01001,4.01001,4.01001,1800,4.01001
CSOF,20020722,4.00000,4.25000,4.00000,4.25000,2700,4.25000
CSOF,20020723,3.98001,3.98001,3.83000,3.83000,700,3.83000
CSOF,20020724,4.00000,4.00000,3.10000,3.10000,3500,3.10000
CSOF,20020726,3.13001,3.13001,3.13001,3.13001,2000,3.13001
CSOF,20020729,3.12000,3.12000,3.12000,3.12000,1000,3.12000
CSOF,20020730,3.63001,3.63001,3.33000,3.33000,1100,3.33000
CSOF,20020731,3.70001,4.30001,3.70001,4.23001,21100,4.23001
CSOF,20020801,4.30001,4.40001,4.05001,4.05001,2600,4.05001
CSOF,20020802,4.05001,4.05001,4.05001,4.05001,1200,4.05001
CSOF,20020805,4.40001,4.40001,4.40001,4.40001,100,4.40001
CSOF,20020806,4.40001,4.55001,4.07001,4.30001,13800,4.30001
CSOF,20020807,4.30001,4.79000,4.30001,4.40001,11200,4.40001
CSOF,20020808,4.75000,4.75000,4.36001,4.36001,6300,4.36001
CSOF,20020809,4.45000,4.45000,4.11001,4.11001,8000,4.11001
