Ticker,Date,Open,High,Low,Close,Volume,Open Interest
CUOSF,20070320,1.06000,1.06000,1.06000,1.06000,1000,1.06000
CUOSF,20070321,1.09001,1.10001,1.03000,1.09001,36000,1.09001
CUOSF,20070322,1.01000,1.02000,1.01000,1.01000,10000,1.01000
CUOSF,20070323,1.01000,1.02000,1.01000,1.01000,10000,1.01000
CUOSF,20070329,1.17000,1.17000,1.17000,1.17000,9000,1.17000
CUOSF,20070330,1.10001,1.17000,1.10001,1.10001,24500,1.10001
CUOSF,20070402,1.20001,1.20001,1.20001,1.20001,2000,1.20001
CUOSF,20070403,1.11001,1.12001,1.11001,1.11001,1800,1.11001
CUOSF,20070404,1.10001,1.10001,1.10001,1.10001,5000,1.10001
CUOSF,20070405,0.82000,1.10001,0.78000,0.82000,55800,0.82000
CUOSF,20070409,0.78000,0.82000,0.78000,0.78000,6000,0.78000
CUOSF,20070412,0.86001,0.86001,0.78000,0.86001,2600,0.86001
CUOSF,20070413,0.84000,0.84000,0.84000,0.84000,500,0.84000
CUOSF,20070417,0.89000,0.89000,0.89000,0.89000,400,0.89000
CUOSF,20070418,0.87001,0.87001,0.87001,0.87001,2000,0.87001
CUOSF,20070423,0.87001,0.87001,0.87001,0.87001,2000,0.87001
CUOSF,20070424,0.86001,0.86001,0.86001,0.86001,5000,0.86001
CUOSF,20070425,0.87001,0.87001,0.87001,0.87001,2000,0.87001
CUOSF,20070430,0.85001,0.85001,0.85001,0.85001,200,0.85001
CUOSF,20070503,0.86001,0.86001,0.86001,0.86001,7500,0.86001
CUOSF,20070504,0.83000,0.85001,0.83000,0.83000,700,0.83000
CUOSF,20070508,0.86001,0.86001,0.86001,0.86001,500,0.86001
CUOSF,20070509,0.90000,0.90000,0.90000,0.90000,8000,0.90000
CUOSF,20070510,0.92001,0.92001,0.89000,0.92001,2800,0.92001
CUOSF,20070511,0.85001,0.85001,0.84000,0.85001,8000,0.85001
CUOSF,20070515,0.84000,0.91001,0.84000,0.84000,12000,0.84000
CUOSF,20070516,0.87001,0.87001,0.87001,0.87001,10000,0.87001
CUOSF,20070517,0.86001,0.86001,0.86001,0.86001,1000,0.86001
CUOSF,20070518,0.88000,0.88000,0.88000,0.88000,2500,0.88000
CUOSF,20070522,0.87001,0.87001,0.86001,0.87001,15500,0.87001
CUOSF,20070523,0.83000,0.85001,0.83000,0.83000,56000,0.83000
CUOSF,20070524,0.83000,0.83000,0.83000,0.83000,1000,0.83000
CUOSF,20070525,0.83000,0.84000,0.77000,0.83000,15000,0.83000
CUOSF,20070601,0.67001,0.67001,0.66001,0.67001,6000,0.67001
CUOSF,20070604,0.66001,0.66001,0.66001,0.66001,2000,0.66001
CUOSF,20070605,0.65000,0.65000,0.65000,0.65000,5000,0.65000
CUOSF,20070606,0.57000,0.57000,0.57000,0.57000,4600,0.57000
CUOSF,20070607,0.54001,0.57000,0.54001,0.54001,12000,0.54001
CUOSF,20070614,0.53000,0.55001,0.53000,0.53000,17000,0.53000
CUOSF,20070618,0.54001,0.56001,0.54001,0.54001,130000,0.54001
CUOSF,20070619,0.57000,0.57000,0.57000,0.57000,10000,0.57000
CUOSF,20070620,0.62001,0.62001,0.55001,0.62001,11500,0.62001
CUOSF,20070621,0.73001,0.73001,0.66001,0.73001,19000,0.73001
CUOSF,20070622,0.68001,0.68001,0.68001,0.68001,4000,0.68001
CUOSF,20070625,0.76000,0.76000,0.66001,0.76000,11600,0.76000
CUOSF,20070626,0.73001,0.73001,0.73001,0.73001,2000,0.73001
CUOSF,20070702,0.65000,0.65000,0.65000,0.65000,4000,0.65000
CUOSF,20070703,0.61001,0.61001,0.61001,0.61001,4000,0.61001
CUOSF,20070705,0.72001,0.72001,0.71000,0.72001,6000,0.72001
